"ServiceAgencyName_val","ServiceAgencyName_@footnote","ProcQuantity_@footnote","ProcQuantity_val","MonthlyDeliveryList_MonthlyDelivery","ServiceAgencySuffix_val","ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule","AcceptedBeforeOct1_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Navy","","Due to program efficiencies, an additional 200 units were placed on contract in FY2014 utilizing the FY2012 funding to procure BLU-111's to meet inventory objectives.","200","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-d34764fcd20546a04f17d785e789f8519b691285","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-adcc6cfe3752ee050712f6153f2e553b8ce39066","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-0-694eaaf545ee5d8a43bcae510100ba07e09c261a"
"Navy","","","934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-8dc71b0f1a3ee2701fb5b433b4bda1aab9f39c55","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-d698e63853f997a671bacadba686d0daa0384e31","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-1-66299bdfe5f2798cdefa2bd73e5947a8553c921d"
"Navy","","","11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-457a3c6611f4dbdeecd3fac11f352e0cc73e0cff","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-ebae7b42d40713245b77b09ddbcd52c88008f26f","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-0-dd6d57143abf816a3dd2161003d51094127b6551"
"Navy","","National Forge produces BLU-109 bombs for both Navy and Air Force. The production rate for bombs is based on the total number of bombs in production collectively across types and services.","301","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-5fc11f5571136e07d889e8d869aca670bfd2efac","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-a83711485de8518464c0e58e69473e32b789a5fb","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-0-88e94e46144a69c65a471df17aa5f5774b81c0ac"
"Navy","","Fluctuations and gaps in delivery schedules for the BLU-109 are due to Multi-Service deliveries.","106","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-6e6fa4593038c8b26fb8c17a7fc12b8f35e5672d","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-adc1fe8c3964c7e3e589ef500457f9c94546de93","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-1-fc3f2abccddfb643659b62e0eb8d2852014e8149"
"Navy","","","196","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-4499c91db01480ae170a6633c686edbdfed29923","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-dad9857597d347515fb9665cc4edc05424961a65","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-2-2cec12722c15e447f0103ef33ef8caf1e8408ec4"
"Navy","","","77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-ca820450cdbbe7701e1af2f0b94e5b32dd27b572","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-2c03ead9968be877c5515146de7c21abdf71c137","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-0-00537dd85e6e14fc2f09b6b0e0be5f706d974a49"
"Navy","","","46","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-f9d2d376d7835e031cd990e255d6fce45d68f1a8","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-38a6a6d2883dc3fecee576775bace775488b95e9","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-1-d9b65ed095017336ddd923b5e6cefd0294783a50"
"Navy","","","1677","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-f035a9ee04a94b108076a085f40068231170d394","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-a298df07d08f4d784a1bca275e03b88385fecd8a","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-0-4a724d1cede9908560cb16e69233f2be4e016dc4"
"Navy","","","960","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01a66471d57444735bcfe046df410bd9488b9810-0-1a45fce06b3616ebc7d86b940fa77f6d2ee33747","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-906b8a0a6173cbde584151da9a46f8b169f59eb8","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01a66471d57444735bcfe046df410bd9488b9810-1-3b37bf4a086474e1b76944aeef2ea23fa30ec1b2"
