"ServiceAgencyName_val","ProcQuantity_val","MonthlyDeliveryList_MonthlyDelivery","Name_val","AcceptedBeforeOct1_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army","961","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-eccd3c2f8415deafef7d9726f90350d7a3150277","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8b345ac6ff04632942bce222ad04da81f900a0a5"
"Air Force","590","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-1-0abe64c1ed0352ddcd6db9340151dfea8f6b703f","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-39a008ad2d89bfb34387809b8c466b326a3368e0","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8b345ac6ff04632942bce222ad04da81f900a0a5"
"Marine Corps","86","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-2-59886c74e6f7256999ab10d1eea47af1bfc8dd15","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-f47e13ebe7bf041a7aba66cc7459a810f84b571f","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8b345ac6ff04632942bce222ad04da81f900a0a5"
"Navy","64","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-3-a3dcfe08cc4d41a0bb99f254af90bea7d201eb04","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-0a85fd59bfb2497da4e2b5cb9d52fb70ce023531","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8b345ac6ff04632942bce222ad04da81f900a0a5"
"Air Force","510","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-d3c2af756bf92376268401a3ad934ea7ab88b77f","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8854edad050401ab2d76d71864d7e41ea92fa502","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-dce0409f4370c73e3c0b0dacbfcfb5834e4127ff"
"Marine Corps","60","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-1-969e849e0bf3f388c0a76fcc21090a6c9e62ddef","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-69eada6a84861ee19536372a867aa27e6df6fd6d","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-dce0409f4370c73e3c0b0dacbfcfb5834e4127ff"
"Navy","30","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-2-e89f9b145f5f5299fc6ba57c6b18cc69a66fdee9","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-48cd214e77b49cc6b309135e4320f2642f5ddfd1","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-dce0409f4370c73e3c0b0dacbfcfb5834e4127ff"
"Army","280","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-56a7b67fa9a06124dbdb603eabd5738a196ee1b5","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b11a5c376a796a771a8c66a47e976e9688a6e6f4","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-623e1391b34e82417a2f1b6c1b2ce891e90cf4c8"
"Air Force","278","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-1-96ca45c7507832b238393c071364ed3994543469","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-843c5b23de92ea69089f5575106ecc7bcf8e8003","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-623e1391b34e82417a2f1b6c1b2ce891e90cf4c8"
"Air Force","1275","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-5654f5e7facdf00a7c173d5c0d0c6afe277a6a2c","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-3fb15402bc95358334675ab169a1262219302cc0","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b2efb1526cde2b36265f610823407dc8e3bbf32c"
