"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2016-07","1.000","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-7457d02f01a2bf1904fecfb3ac7d74de1effb304","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-dc1bb3a6b3d78fd029ac9f74c8dbb83afad85f86"
"2017-01","1.000","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-5904a656711b8f11dc483e692ba052695182e286","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-dc1bb3a6b3d78fd029ac9f74c8dbb83afad85f86"
"2017-07","1.000","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-76c35d419de4988430b3d6582234b35f5ba006bf","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-62da962db0db6bcbab4f9bf8773cc1cf5003e2ad"
"2018-01","1.000","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-a52e73013064cc8e31b233cbf6340ff65845cb0f","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-62da962db0db6bcbab4f9bf8773cc1cf5003e2ad"
"2011-09","800","40d365317c2695995273930668a57d384a824c91-0-e3001e89cdbcaafb441068f971be98593e3cd8a8","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-0-e22c1586edc3e6307d8c58db44699cc4139d323a"
"2011-10","800","40d365317c2695995273930668a57d384a824c91-1-ac01db78374c4fa431b7218e0e973c3f1a765c6d","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-0-e22c1586edc3e6307d8c58db44699cc4139d323a"
"2011-11","800","40d365317c2695995273930668a57d384a824c91-2-64b8ef9001bdd9bf405e044415d12113a0a00e99","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-0-e22c1586edc3e6307d8c58db44699cc4139d323a"
"2011-12","800","40d365317c2695995273930668a57d384a824c91-3-28802d3ff4c48f4fee02ea4bee15d03f7b761ba9","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-0-e22c1586edc3e6307d8c58db44699cc4139d323a"
"2012-01","800","40d365317c2695995273930668a57d384a824c91-4-16facc249d7f78ed8255ac52906c3726c86b8fda","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-0-e22c1586edc3e6307d8c58db44699cc4139d323a"
"2012-05","1000","40d365317c2695995273930668a57d384a824c91-0-09f5020c6b7cf5e5de61f9a20d9266924af8ee08","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-1-e0f47b89d39bb9381161a117a0cb57e2d24693cc"
"2012-06","1000","40d365317c2695995273930668a57d384a824c91-1-0ec238bb1d83c049750e98fec39935f49c6d9eeb","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-1-e0f47b89d39bb9381161a117a0cb57e2d24693cc"
"2012-07","1000","40d365317c2695995273930668a57d384a824c91-2-fb891381bce0d98574b0e4018103985fa77e870a","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-1-e0f47b89d39bb9381161a117a0cb57e2d24693cc"
"2012-08","1000","40d365317c2695995273930668a57d384a824c91-3-80b09af844cd2c6ac49265293da7a94a0683e2f0","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-1-e0f47b89d39bb9381161a117a0cb57e2d24693cc"
"2012-09","1000","40d365317c2695995273930668a57d384a824c91-4-82652083503bb664629f5dfb22c5bd892b04cf9e","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-1-e0f47b89d39bb9381161a117a0cb57e2d24693cc"
"2013-03","1000","40d365317c2695995273930668a57d384a824c91-0-db2f357925de928146cc35d95b8de4ccfb55ca0a","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-2-05a744425b3e0adaf7af748b2ded877ed6d293e4"
"2013-04","1000","40d365317c2695995273930668a57d384a824c91-1-948d885701d163c457e88a3ea7c91c2b7082cb56","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-2-05a744425b3e0adaf7af748b2ded877ed6d293e4"
"2013-05","1000","40d365317c2695995273930668a57d384a824c91-2-6a484b17c33265230df9fce06d25e37ba012fa54","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","40d365317c2695995273930668a57d384a824c91-2-05a744425b3e0adaf7af748b2ded877ed6d293e4"
