"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-11","11","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-0fac1ab470ef4817469735d40164ed026b23077e","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2017-12","200","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-7c843ff95016c67bc554ad617a8b85de42d893d6","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2018-01","200","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-d738232b2328661a98967948f0f24bf9cc4dc18c","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2018-02","200","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-4efb916114acae95ee6a7ca3b75a7dcf94f8dcaa","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2018-03","205","7decf4224a630959b1809fe5ae8cec39ef0c991f-4-020be952218a4aba760582e51c5765c86dafcda8","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2018-04","45","7decf4224a630959b1809fe5ae8cec39ef0c991f-5-c13d1a086de0ee031dfef74d52d77743b76819cf","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2018-05","50","7decf4224a630959b1809fe5ae8cec39ef0c991f-6-ea61148cfd8a7f9b580354e388caff6582ef315a","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2018-06","50","7decf4224a630959b1809fe5ae8cec39ef0c991f-7-756eb91daa6619d79df0e436707a718ef53d382b","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5e1f9ecc080cb049bed7b6ffdd80de37e3f3312"
"2017-08","150","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8a1349a6175c9b91a4a45c436397a718847863a4","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-39a008ad2d89bfb34387809b8c466b326a3368e0"
"2017-09","150","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-1950afdf4ca64cd4ab2f25ac14ecb9c53927f4c5","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-39a008ad2d89bfb34387809b8c466b326a3368e0"
"2017-10","150","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-74356f60cba0ec94acfa6d95dd524801eb2844c3","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-39a008ad2d89bfb34387809b8c466b326a3368e0"
"2017-11","140","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-929bfb63eef0f8ae26e40342514b211dcd0b4885","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-39a008ad2d89bfb34387809b8c466b326a3368e0"
"2018-04","25","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-f197070c7eb07565918ce89c226c48bb48e7fa63","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-f47e13ebe7bf041a7aba66cc7459a810f84b571f"
"2018-05","25","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-c4f2f51cc7e9b947244db5e74bb184664a4d0458","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-f47e13ebe7bf041a7aba66cc7459a810f84b571f"
"2018-06","36","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-6a07fe472afb7c40b5e46152f3dd7d6470072799","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-f47e13ebe7bf041a7aba66cc7459a810f84b571f"
"2018-04","25","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-950f4193d093237aef6f73a8125ec5d410f311e6","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-0a85fd59bfb2497da4e2b5cb9d52fb70ce023531"
"2018-05","25","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-20c6316f08bdb6af5aea75bc603ba02ebceb86bb","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-0a85fd59bfb2497da4e2b5cb9d52fb70ce023531"
