"ServiceAgencyName_val","ServiceAgencyName_@footnote","ServiceAgencySuffix_val","ProcQuantity_val","ProcQuantity_@footnote","MonthlyDeliveryList_MonthlyDelivery","AcceptedBeforeOct1_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army","","2017","662","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-1f6b233b0715931d79cb08be5519e0eabe327f06","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-9cb3730a3b6598e610a2d1f441afcb846fbcac3c"
"Army","","2017","1112","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-989094f67a9e1cd5be4f82fb0561f1e6e29e20a2","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-5e455dc6c4771bd2ecccb0676b564f0ba2888ede","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-70bd3dd78727879a8ee9e363393baa4db1509fc6"
"Army","","2017","2500","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-46a924e9a7533cc2785d886b402de0ee5edf79e7","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-12de8cb6c4557c2382d8a654f0c135a29b5baab5","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-12365c0477108a8b69dacdb717de91eca1b55056"
"Army","","2017","3309","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-312da11daf896256b62a288c2d3e6048f9966dc7","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-025f5a983dc4917b0a244a95d7f0a17e0b9a91c6","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-27124d99a34630809d9d72682e46742633504e12"
"Navy","","","100","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-34016b661d774e05fd8e219ad23c6c45050602ae-0-80a180420aaeed696fe2cc8e6e5f50d8b92b2782","","34016b661d774e05fd8e219ad23c6c45050602ae-0-b757d5a14df74e95084512326b896270bdce741e","34016b661d774e05fd8e219ad23c6c45050602ae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34016b661d774e05fd8e219ad23c6c45050602ae-0-c4f6f57af6ab27c022c6fc1f73e70bae8c674dc8"
"Navy","","","42","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-45d50773c225a35c31c43f762075caa6696eb811","","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-70901d56cfa125635b7d4713ed2e5b285dd5a5e9","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"Air Force","","","42","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-373deff7260d97f1c86a9f03e1beae9d7d27a3a7","","c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-9734f8b1639612d6d79299c4b450b4d505212cc5","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"Foreign Military Sales","","","65","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-4e4bc73e922f6b1040c46493fbe58b7b3eca9045","","c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-3e6c4e581b325b78a49639be07fc3b47c9ea9917","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"Navy","","","59","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-2c28a1d54d879aa0d4b1a7958b2b1ca8bfe5b00b","","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-bc1c72d0832ed67d94b86194197c25b8c26f3519","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-bf102c9b8d2faa5552758da391e694858429edfd"
"Air Force","","","63","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-82fcd942193c377ab4acb8304b7fb97c081908be","","c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-091d22917ef744b04e91131707171dee93ec92f8","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-bf102c9b8d2faa5552758da391e694858429edfd"
