"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2016-07","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-40b34ec1e1d21ed128a833d586abffb6289748e6","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2016-08","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-4d6d2e267879c6a7dbf52e5b60f17bcce801c23a","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2016-09","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-4679fb3f9e5aac7af9acfc44a5ad7d12cf902bee","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2016-10","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-3-160a27e826088149ec1222dda5ada5cbe4396283","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2016-11","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-4-f0259538ad0d643557a642b77985dbb63a503e5d","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2016-12","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-5-8e5bbd54d845dae5c4274e3109aa3bd6fff3e92f","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2017-01","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-6-25b87df51d3e6bf4e94c9318108766e82b5d28db","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2017-02","96.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-7-407859719f4754749636c2f5ce365b39d8ef1bb8","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2017-03","94.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-8-60a868ee3b4bfd333088d921d9f93b7cb01d4529","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2017-04","94.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-9-76dcfcca707ecca3236cd6651cab85522bd89797","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2017-05","94.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-10-261f00e5ca545ca64256698324b4c33052b9bd0b","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2017-06","94.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-11-532ae1b7ca09f829fc7991810e9c0f22970b5342","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"2017-07","142.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-6e950a272802b97458ffffaf22c6e8fdf40bca37","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-28108104e2ffb2bdf210501ac67018f8986a55c7"
"2017-08","142.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-a7d920a82d8e00d1fe5d61b4137264ad5f23e005","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-28108104e2ffb2bdf210501ac67018f8986a55c7"
"2017-09","142.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-0749b8556d2b7832f277c1838ae113426d781fcb","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-28108104e2ffb2bdf210501ac67018f8986a55c7"
"2017-10","142.000","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-3-85c9ed1e8d840d87c8b919996536c6b05489613b","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-28108104e2ffb2bdf210501ac67018f8986a55c7"
