"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015-06","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-53d3e5ab346c475cd9e19b02db00412134239191","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2015-07","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-1-75f095de94b23f0c13a525c552c3332795781549","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2015-08","2175","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-2-28263529c224d9533d8fd4e099afc80f4cfbc31d","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2015-10","3668","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-3-265f3beda06947eb2c81a22e68dd4a5b305a9411","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2015-11","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-4-9c5a41cc2897b81cd6003c08a2e15c5eff924fcf","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2015-12","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-5-f3b704d7242243424bd68c01cee4cf043dd2461d","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2016-01","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-6-02ae62be1d3b62ff1661493d2a635cfeb580c905","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2016-02","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-7-bbaf8dde3f079147be403bf31d200d796aa28b65","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2016-03","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-8-f59d79fc5322cc9329153132390f4d68b2d98dc8","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
"2016-04","8400","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-9-893054dc1dab09c3549d14ada61a73098d475668","4462bb5437bb7aa550caf40d7bc2b0650f188b6b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4462bb5437bb7aa550caf40d7bc2b0650f188b6b-0-f6ce18167bb84f08336e322700b3784b5b5387cc"
