"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","4","8","8","8","","1.833","5.603","5.704","5.704","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-7092b9cb9cb9c3d6ffeea605db6bdf4657c9e654","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-a73725794f0a1b12776524706753925186466b22"
"Air Force Active","16","10","8","8","","2.044","4.347","0.000","0.000","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-34b639694fc993e58940e01e80276de45b8e5c62","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-afc37884c8092de2cc471de994c6256df7745f9e"
"Air National Guard","8","7","13","13","","0.000","0.000","0.000","0.000","","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-9b1c8e12a0b125b89b5df94f8fb7193a11617b1d","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-afc37884c8092de2cc471de994c6256df7745f9e"
"Air Force Active","6","","","","","0.000","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-01865a86bb708b9c4f37f2f67fff5e04c3cb84ce","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-c66e771ceae1cd0755be2a533d86a60e5a48d945"
"Air Force Active","","25","","","","","0.615","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-c69aa1b1896fd16f9074b96c24eb31713bb6f375","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b2fa83648fac0c80f6afbf5c14d6af542b1f9dd6"
"Air National Guard","","25","","","","","0.615","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-9efacd4a42551bc080793395b5c3842c0183156a","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b2fa83648fac0c80f6afbf5c14d6af542b1f9dd6"
"Air Force Active","","15","","","","","7.25","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-ba4f5df45f5732dfae146a2b262afab6b8367f59","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-58275a75e6c6a716cbb530c11335e5f773f3a1ca"
"Air Force Active","","","7","7","","","","43.127","43.127","","155b73cac5251bfdf00c8af13d0212d9077b3f66-0-9305f3ff57e562584b43cc84ace21f47e472d7d0","155b73cac5251bfdf00c8af13d0212d9077b3f66","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","155b73cac5251bfdf00c8af13d0212d9077b3f66-0-11b3789bdcbd1e09534aae7b9d1b7a635da53630"
"Air Force Active","","3","","","","","0.334","","","","287cfe335b97c43b198f0d680705134c5536e8a2-0-f9742ead86cac120f8449a5b6e65c572c3b159e2","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-6eff7795566ccdc5540bc83303a36a927696b852"
"Air Force Active","0","","","","","0.000","","","","","2eec920b80ceae7e9897fe687155bf36efdde32b-0-677a4dd7b3f1338d048508751356807f88454908","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Active","1","1","2","2","","2.557","2.716","5.534","5.534","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-06b462dd19abb7f46204f25765e185e5b484cd11","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-c261f200a56da035c674564753df40b13d20c83d"
"Air Force Active","4","2","","","","10.585","6.045","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-1d41b6d0e689735792f677e73ea5b600d79ac3c7","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-48d7a7a594be2590cd7bfb1ad529e8b6f31ae905"
"Air Force Active","1","1","1","1","","2.6","2.6","2.6","2.6","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-8f7b99e0e6eda99eeda0b5b0972ce4d2a4a90a6c","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-eeafd563a50f89810841ad350d363b6d62389da6"
"Air Force Active","1","2","6","6","","0.000","4.75","9.864","9.864","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-b070e81c831619917360ac48b64d4b518ea1079e","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-fd31fc51d17e207ed9637cff1e136ed31fe196ab"
"Air Force Active","10","28","5","5","","1.496","3.007","1.131","1.131","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b26a178b4e6e96d396f0311fe990a02a0e3d7d78","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air National Guard","5","1","","","","0.748","0.107","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-9ca3b4cbb89fd773a7ea5eee0ab12a3912e349dd","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Reserve","","1","","","","","0.108","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-e097ae7b90f5db0960c7adf9400c32e807789d23","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Active","144","73","","","","90.713","6.262","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-d027db9708fb6c6fdfbce5129afdb2492641a2e6","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
"Air National Guard","14","55","45","45","","9.833","10.044","14.975","14.975","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-2e418a0b232429191c9bca63e1dd4df0a27dd282","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
