"Name_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearFour_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","12","12","","","","0.756","0.756","","","","2eec920b80ceae7e9897fe687155bf36efdde32b-0-db0e76c1b579948da7b5db297d4bace84e0d03b5","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Reserve","3","3","","","","0.189","0.189","","","","2eec920b80ceae7e9897fe687155bf36efdde32b-1-89511553adc6f9b5de9ac08f3abc61b8e11f4a70","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Active","6","6","","","","1.961","1.961","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-4a8fe6baa64cfa8538eab8f861a23e975b3f7be3","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-0c84465e89f81828314b9f85aeb5b6c28b3156f7"
"Air Force Active","","","1","","","","","0.213","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-382d6d9c1800b5842eac4dfff2150e211c0e4435","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air National Guard","","","13","","","","","2.767","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-043bc8b8a1126ee0d1e562c6ec0e1d55fd4a7967","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Reserve","","","3","","","","","0.638","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-96f210f5c69534d7ac3e45f392c2f3a533f9b116","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Active","","","","33","","","","","3.04","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-819f42b5695140f5fc63b0811eeb25163d01775a","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-c38f57ab5ff7d5d71eb2a59df00b15faef129ad6"
"Air Force Active","","","","2","","","","","3.47","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e456c8a642764fcb090b80fb4260ecab345e8be4","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-acace73f1e956e8854b8317f495a8a7c098ec11f"
"Air Force Active","","","3","","","","","10.003","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-a35a043eefa74d516ee45ebe367f1c67f999cadd","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-13d581e0a154b2ae763267c6ff75f96650e3151b"
"Air Force Active","","","","54","","","","","0.801","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-6bdd8fba810bbea0848681709155997eb0e2f4d6","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-4e3f2a9fd91a1281cfaf19253946d99083b8494a"
