"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","2","1.9","2","1.9","6","5.7","18","3.55","18","3.55","18","3.6","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-6785adcc9c3f9facd47fb3a213b81f826abacb71","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-79c58117b4b85b569908c22efd1ccc41b3057d50"
"Air Force Active","4","9.697","4","9.697","4","9.644","2","5.113","","","","","76","176.883","2","4.989","8","18.648","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-c5052b095fd42b0acfa15540393569789ef0d6c3","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-18d529c6bdab690a387d807a8fd7e4b7b0b1ab46"
"Air Force Reserve","","","","","","","","","3","7.717","","","1","2.207","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-99381ec7dbf3dc2cc9e240143c72eb16b73d7fa1","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-18d529c6bdab690a387d807a8fd7e4b7b0b1ab46"
"Air Force Active","67","1.04","67","1.04","64","0.308","","","","","","","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-4b280c2884739a76f77174c6a7f9474d8677551e","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-057a9cde88980bb809c6c169fbeee3fc93b3ba60"
"Air National Guard","53","1.04","53","1.04","0","0.551","","","","","","","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-396f9c5c8a949ce772173a7519567fd1262623b1","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-057a9cde88980bb809c6c169fbeee3fc93b3ba60"
"Air Force Reserve","36","0.729","36","0.729","0","0.202","","","","","","","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-365cfde9157aa750f9c3b49ee8ef1ba7f3e0de3d","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-057a9cde88980bb809c6c169fbeee3fc93b3ba60"
"Air Force Active","0","0.222","0","0.222","","","","","","","","","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-1604b5c8e9471dc2edf112c557c017a7eb064baa","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-cb669ffbc6c0038abecc3cc4c38980370ccd6d5b"
"Air Force Active","","","","","","","14","0.358","14","0.358","","","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-40f512b66a185b072f50e77406aec6b7fec9c912","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-e2f97c3ab707d88e64b7b619502d6cc49892b454"
"Air National Guard","","","","","","","16","0.41","12","0.307","80","2.048","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-fa519331822c6df633f756b195e4435756579919","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-e2f97c3ab707d88e64b7b619502d6cc49892b454"
"Air Force Reserve","","","","","","","","","10","0.256","38","0.973","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-3d61239f1c062411716ab5f15d5c6e633c327dd1","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-e2f97c3ab707d88e64b7b619502d6cc49892b454"
"Air Force Active","0","0.7","4","11.6","8","1.409","0","1.781","1","1.239","1","1.072","","","","","0","10.7","4","10.9","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-192ae61d56701e6111017e95a2da830f24aebade","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-3a38f95a7a62352e92419f80c6cad0c4c76e9c8f"
"Air Force Active","0","1.826","0","1.826","1","0.913","1","0.913","1","0.913","1","0.913","","","","","","","","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-233cc8e8e45197d20e260e4551ce82cf74877bac","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-df624c079710a0e6497ec0b39d0ea036b4112f2a"
