"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-04","1","a384c921a3658d23e1478565f6db78daff1bb44f-0-bb9cae60732804de0944b59e071db7ce9b5eb68e","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-3014216f6bb00fe45e7a5b41b1794f0c7700f32a"
"2017-01","1","a384c921a3658d23e1478565f6db78daff1bb44f-0-89657a7d961eebaab9cff8cbc2845d9b9e141bd0","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-b45a3141ba408922ef03b340f9e1ca8e6f87f51b"
"2017-04","1","a384c921a3658d23e1478565f6db78daff1bb44f-1-22ec1b6f031124bc701c7a5e019448de90c074cf","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-b45a3141ba408922ef03b340f9e1ca8e6f87f51b"
"2017-06","1","a384c921a3658d23e1478565f6db78daff1bb44f-2-f61c415d82f950c0c7e18a8ba0be817144df030e","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-b45a3141ba408922ef03b340f9e1ca8e6f87f51b"
"2012-06","1","59c5754610b14faaaeebf1930117e601da5553e9-0-021a3f67839a166328af6e655637733f9125f1c0","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","59c5754610b14faaaeebf1930117e601da5553e9-0-23e9194b6cea255a51c0e80bd058d6716e71994d"
"2012-11","1","59c5754610b14faaaeebf1930117e601da5553e9-1-6f1ee65baf8c74ba46e7f8b958cd27b50f58a698","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","59c5754610b14faaaeebf1930117e601da5553e9-0-23e9194b6cea255a51c0e80bd058d6716e71994d"
"2014-03","1","59c5754610b14faaaeebf1930117e601da5553e9-0-f6daca972c9d01016be2ade7c021c83b79735cce","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","59c5754610b14faaaeebf1930117e601da5553e9-1-0144805897dc05121af2ee56826b0aa2b6586977"
"2014-07","1","59c5754610b14faaaeebf1930117e601da5553e9-1-e47ea5ebb37f29af6025b1468e53199f0104568a","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","59c5754610b14faaaeebf1930117e601da5553e9-1-0144805897dc05121af2ee56826b0aa2b6586977"
"2013-03","1","59c5754610b14faaaeebf1930117e601da5553e9-0-6081ed312b651dd9a50397808f6672afcb7661c3","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","59c5754610b14faaaeebf1930117e601da5553e9-0-0beaf6a6062f256b08ff3e62adb8a6dc537064ef"
"2013-06","1","59c5754610b14faaaeebf1930117e601da5553e9-1-6ccc2484799c9d9f3406304ccc5ea7d0c88ee90c","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","59c5754610b14faaaeebf1930117e601da5553e9-0-0beaf6a6062f256b08ff3e62adb8a6dc537064ef"
