"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015-12","1","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-0-386f1a1db3d90984080b96fb9223abecbae129ce","64c2085b24f7871ccd17fccf20ceb6dd29a8837f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-0-3521ba5360efdb01ac697e2f56f6b1a2113e5f76"
"2016-01","70","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-afc9331e84a93a580ab4d9a5de31abb89b2d89d9","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-f03a37317ef316494ffac0850458a0da1fb4b6dd"
"2016-02","70","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-4e26defdcf56957dd0e1cda10f5e8843bd67c3db","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-f03a37317ef316494ffac0850458a0da1fb4b6dd"
"2018-06","90","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-c94c62f032113eb76a34c532436f787c7ef4f514","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-094ace72816e235d46983f86739741d45981c99d"
"2018-07","90","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-1-b1e7368e9f13a72af5d6d7497cc805129e4becb3","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-094ace72816e235d46983f86739741d45981c99d"
"2018-08","90","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-2-ee301e51c14e69bfd0e3a252a09924d5cfec0ab6","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-094ace72816e235d46983f86739741d45981c99d"
"2018-09","90","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-3-df55863e42051a4780722020074ecdbc51c4cecd","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-094ace72816e235d46983f86739741d45981c99d"
"2018-10","90","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-4-06861e73323be6962d8adbf1714f0e161d6681ab","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-094ace72816e235d46983f86739741d45981c99d"
"2018-11","90","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-5-e839820b11668f299f0621665ebc9919ac37426d","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-094ace72816e235d46983f86739741d45981c99d"
"2018-12","62","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-6-9f5693cb4e3085b09a6a031e7b53b6a392cc635b","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-094ace72816e235d46983f86739741d45981c99d"
