"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","4","8","15","15","","","","","1.833","5.603","10.695","10.695","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b32fb8628253cdc6394b556f099a832cc076811d","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-a73725794f0a1b12776524706753925186466b22"
"Air Force Active","16","10","8","8","","","","","2.044","4.347","0.000","0.000","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-c24d708017a094940347b8ce27ad8d8a4fc14bdf","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-afc37884c8092de2cc471de994c6256df7745f9e"
"Air National Guard","8","7","13","13","","","","","0.000","0.000","0.000","0.000","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-5f7b8db8cd0b471656124728ade42651f6cf9409","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-afc37884c8092de2cc471de994c6256df7745f9e"
"Air Force Active","6","","45","45","","","","","0.000","","3.072","3.072","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b71173a3338cdb77302d52dd24e53cbd88c1d771","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-c66e771ceae1cd0755be2a533d86a60e5a48d945"
"Air Force Active","","75","44","44","","","","","","2.817","2.279","2.279","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-71a0f73dc964d5c0d2bc5d409fec3c778830cca4","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b2fa83648fac0c80f6afbf5c14d6af542b1f9dd6"
"Air National Guard","","25","","","","","","","","0.615","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-34c6ca9c9eb57ea2f79d09287b268c3d392725e3","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b2fa83648fac0c80f6afbf5c14d6af542b1f9dd6"
"Air Force Active","","15","8","8","","","","","","7.25","4.179","4.179","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-4bdc788e0a41f2bd63d86c3254cabf8cdccd16d2","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-58275a75e6c6a716cbb530c11335e5f773f3a1ca"
"Air National Guard","","","8","8","","","","","","","4.179","4.179","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-1-0d9f34e570dc3d7e1dc95a53c938f6df8d7c2519","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-58275a75e6c6a716cbb530c11335e5f773f3a1ca"
"Air Force Reserve","","","3","3","","","","","","","1.568","1.568","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-2-e1231225890cde8468acfd7f55c97b84350eb2de","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-58275a75e6c6a716cbb530c11335e5f773f3a1ca"
"Air Force Active","","","7","7","","","","","","","43.127","43.127","","","","","155b73cac5251bfdf00c8af13d0212d9077b3f66-0-2b7abc9bdea519bb98678bd55f50d4c1021b7ac2","155b73cac5251bfdf00c8af13d0212d9077b3f66","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","155b73cac5251bfdf00c8af13d0212d9077b3f66-0-11b3789bdcbd1e09534aae7b9d1b7a635da53630"
"Air Force Active","","3","","","","","","","","0.334","","","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-0-7949ce3e99ad186cc29d8949f13b74c6f23b2b30","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-6eff7795566ccdc5540bc83303a36a927696b852"
"Air Force Active","0","0","0","0","","","","","4.992","0.913","0.913","0.913","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-0-4a0c436b8e321a17c27f6543c752a14a4216b384","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-378a3c4e225fa34d9fc8a4161f6101c85a5be264"
"Air National Guard","0","","","","","","","","1.664","","","","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-1-2806ed05e2b9f7f966925b5ebfba00f1ffcc37a5","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-378a3c4e225fa34d9fc8a4161f6101c85a5be264"
