"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-07","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-178ffcdeb35446bb413192ae2beb2cdf094d5b6a","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-cd8cdbd83c11ee81ca8d15fd4a8674e568a0db31"
"2016-05","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-01c2e7033cbcfb179edc205997f06e381d9b15e0","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-1-05d18b62ceab10394602db3068c20a68e59ea058"
"2020-09","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-58278d19627c9e3db98b9dcf2bcbe42b8d95342a","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-efc9a0733caa4847eec09b4e8bfc76a122de388e"
"2021-07","1","01cb48bdd8dbef542f320b0ec82544b015318621-1-200d5911d5d9921c1b8296a1c5d04c5fd5f25385","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-efc9a0733caa4847eec09b4e8bfc76a122de388e"
"2013-06","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-f4925eae8cc08ec925b1f5891e90930490227327","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-09f8ff423896c206941883c1a8baf77d258dcf39"
"2015-05","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-dc36f8bda1e1696077226521166d4173a181795f","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-1-114030bcbe73df9801a59e7f9442aed7962a4231"
"2016-09","1","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-63185942bdbe944d93b8d41f1e7b0d6951b6ff00","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-8d1d2745302a0c641e00f33bb2154ee78af18f6f"
"2017-12","1","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-70b08f134efdcd3e2e6e10a5a872550b25f9b531","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-4bec516366e8e9a57d50914f921c0cca1d9996e7"
"2021-09","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-39cfaeb0b165bd5f983c4643cba7f928d4900668","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-2b566840e20f925b80b0432c60a187cd3e3c70a8"
"2023-02","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-0117d18253b2dd5820aabc767db6519b6b2a9bfc","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-f08fddc2c076c4664dd0dfe14ee8e3bba0fd0452"
