"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-03","3316.000","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-13c765deb3cb6c67a60b2a001281a25019fb5f00","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-9a5ac18fc0f272b2dd22cebc6ccbaf827b82b2bc"
"2017-02","513.000","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-4365c3fbfd223df0545ffc64676e03c7e3173a45","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-9a5ac18fc0f272b2dd22cebc6ccbaf827b82b2bc"
"2016-09","856.000","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-40609b0627261dca825a62cb21803bba0253f1ae","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-49f5f897010a67d38d7ced77dd33839f2bced772"
"2016-10","2460.000","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-1c2bbb2df6588a3410bd84dc81acecd352e29645","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-49f5f897010a67d38d7ced77dd33839f2bced772"
"2017-02","513.000","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-33fb8e246a9e6ce5fa0d78551920261a187d9f25","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-49f5f897010a67d38d7ced77dd33839f2bced772"
"2018-01","1","1c63816929dfc727b7833fbe3cf54c67b2a6a3ea-0-5a55e3fbf9e49525c3bedad4988dfbed398633fe","1c63816929dfc727b7833fbe3cf54c67b2a6a3ea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1c63816929dfc727b7833fbe3cf54c67b2a6a3ea-0-522614b0570e93c526a39a1160af38250171a58a"
"2017-03","12392.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-516faf3b0625abadb52c368bb7465b73624de16e","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-c11736fa9d14049aeaba17c3565046a82e11396e"
"2017-03","15834.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-905d2c8d572dec3d9d72990207bd2c714e65d44a","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-90bdcaaacad2e2dcacb4c375ac1f491b17fd1661"
"2018-02","25000.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-cf19aca1cc59613d8a3d75ed4f69e90cc0bac9ef","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-68d119c48f29f299874cddc8beea172895948419"
"2018-03","8120.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-1-c7f7b15b4af2e1e3b648aae267dc821284774109","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-68d119c48f29f299874cddc8beea172895948419"
"2018-04","25000.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-01e1eb159ce03356d3d20cffee017740435e1731","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-1-c77fe83ca7f9a38cfd623af13df8e12104cbd826"
"2018-05","25000.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-1-f2e6b80387592845338ee5e67e05afda150b2b3a","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-1-c77fe83ca7f9a38cfd623af13df8e12104cbd826"
"2018-06","25000.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-2-00973dea488c5acb478c21b5e56fd824b288f284","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-1-c77fe83ca7f9a38cfd623af13df8e12104cbd826"
"2018-07","12596.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-3-e3bcc93ab43c2f5da22c2b9ebfef7b661ac1baed","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-1-c77fe83ca7f9a38cfd623af13df8e12104cbd826"
"2019-03","25000.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-0-04455c7051b1d24341bedc975ad301bc1dcd20aa","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-2-d11f234a990856897549ffe824ccf9fbdcea35dc"
"2019-04","25000.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-1-8c6900d3fec4a9ec66f7ffcea70f09c104ff7e06","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-2-d11f234a990856897549ffe824ccf9fbdcea35dc"
"2019-05","25000.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-2-88c7b8e81c204a60d76c8d44607543591446425c","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-2-d11f234a990856897549ffe824ccf9fbdcea35dc"
"2019-06","18313.000","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-3-f40b9d51c1461559f01160e840230a37027b22ad","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1ff3a80710bbeecc74f16c403ef21698e1e7f2f5-2-d11f234a990856897549ffe824ccf9fbdcea35dc"
"2017-09","12091.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-7eefc7a0d6940155dd1db054affda8fe32861fca","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-8a68e59229a1c873644a9445220a8545f1fa7ee4"
"2017-10","10000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-633411ee39ead2e4d1052a73b99951ad2cc0decd","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-8a68e59229a1c873644a9445220a8545f1fa7ee4"
"2017-11","15000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-2-2f5e98a686bad8663839b6b93be3d190d9362014","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-8a68e59229a1c873644a9445220a8545f1fa7ee4"
"2017-12","20000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-3-7b63533fe8b7bbfa70163c7302c672a237c9bcf7","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-8a68e59229a1c873644a9445220a8545f1fa7ee4"
"2018-01","25000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-4-224ea3def439c3b47f996702f502d3d048b8ef81","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-8a68e59229a1c873644a9445220a8545f1fa7ee4"
"2018-02","25854.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-5-dc5024b0ba81d76b489445be53da14c357c00332","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-8a68e59229a1c873644a9445220a8545f1fa7ee4"
"2018-09","50000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-0-57d06f33b6dc638b6854793fc07de4f08da174a0","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74d777151ab8663e080d25f6240f1ff7240da87f"
"2018-10","50000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74f5bf506980126709ed77246a719de5973fa2e5","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74d777151ab8663e080d25f6240f1ff7240da87f"
"2018-11","50000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-2-7d447d93348df6f4252fcbec086fa02d750e1c23","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74d777151ab8663e080d25f6240f1ff7240da87f"
"2018-12","50000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-3-a01f2beb526eb3e6edb61de32b5bf9eca556a90d","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74d777151ab8663e080d25f6240f1ff7240da87f"
"2019-01","50000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-4-907d4290f7411a66999f8bb9d535bc14a0ee8d24","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74d777151ab8663e080d25f6240f1ff7240da87f"
"2019-02","50000.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-5-75849067c6a654ae1bfabd3d385f94f02f37562a","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74d777151ab8663e080d25f6240f1ff7240da87f"
"2019-03","50645.000","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-6-af029c0331ce43706bd02075bae75a7c31de6f6b","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2293d26b56cd7d4b1d79b9ec29b5dc77e3911352-1-74d777151ab8663e080d25f6240f1ff7240da87f"
"2018-06","2","2d933631ee14289b442fec2827a5e38259c90482-0-0f8a18e5ed0d57ae02d097f5e13febf9147141b4","2d933631ee14289b442fec2827a5e38259c90482","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2d933631ee14289b442fec2827a5e38259c90482-0-ca95b18b559c518d8884e63221dd9f732b3fb9d1"
"2018-07","4","2d933631ee14289b442fec2827a5e38259c90482-1-df5e0eb562f5199e9a87142179611a9bb953f6e5","2d933631ee14289b442fec2827a5e38259c90482","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2d933631ee14289b442fec2827a5e38259c90482-0-ca95b18b559c518d8884e63221dd9f732b3fb9d1"
"2018-08","4","2d933631ee14289b442fec2827a5e38259c90482-2-e88895a6708d5c3168783f0b62533a3014f5b294","2d933631ee14289b442fec2827a5e38259c90482","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2d933631ee14289b442fec2827a5e38259c90482-0-ca95b18b559c518d8884e63221dd9f732b3fb9d1"
"2018-09","4","2d933631ee14289b442fec2827a5e38259c90482-3-a08b45614035f17334feee97ee0bd4321decafad","2d933631ee14289b442fec2827a5e38259c90482","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2d933631ee14289b442fec2827a5e38259c90482-0-ca95b18b559c518d8884e63221dd9f732b3fb9d1"
"2018-10","4","2d933631ee14289b442fec2827a5e38259c90482-4-5a81df1bd55bd2d06ff4ee2609bff4d6b7f0b3be","2d933631ee14289b442fec2827a5e38259c90482","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2d933631ee14289b442fec2827a5e38259c90482-0-ca95b18b559c518d8884e63221dd9f732b3fb9d1"
"2018-11","2","2d933631ee14289b442fec2827a5e38259c90482-5-c77f8ffd902e51f7524942ad4ab0913edd56fc9d","2d933631ee14289b442fec2827a5e38259c90482","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","2d933631ee14289b442fec2827a5e38259c90482-0-ca95b18b559c518d8884e63221dd9f732b3fb9d1"
