"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-04","1","a384c921a3658d23e1478565f6db78daff1bb44f-0-7d699c3914fcc5bbb62b1e4a59802134785ef470","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-3014216f6bb00fe45e7a5b41b1794f0c7700f32a"
"2017-01","1","a384c921a3658d23e1478565f6db78daff1bb44f-0-d0387223bdbbf812183ca4c615b27c08a4397ac8","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-b45a3141ba408922ef03b340f9e1ca8e6f87f51b"
"2017-04","1","a384c921a3658d23e1478565f6db78daff1bb44f-1-eaa4965c030366781ef3c3ab78a9dc2420709569","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-b45a3141ba408922ef03b340f9e1ca8e6f87f51b"
"2017-06","1","a384c921a3658d23e1478565f6db78daff1bb44f-2-8b670da2d083eaba5b95bc018923a4daa3c6e77a","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a384c921a3658d23e1478565f6db78daff1bb44f-0-b45a3141ba408922ef03b340f9e1ca8e6f87f51b"
"2012-06","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-13ce8ec287041d5fc03ea03d402099d5b026e414","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-55d36fa7009d0e847e091a03603799637c54229e"
"2012-11","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-fb1386e30bf912892bc753c210fda788adbd1566","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-55d36fa7009d0e847e091a03603799637c54229e"
"2013-11","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-9bdcd436a06266e41f8f6f82c8a4a5e0c8134627","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-de73df53750fe69943ef7ed4d4661c70121971fb"
"2014-07","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-3621bb13c25e6ea33b1bf7676ad0000ba90d18b9","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-de73df53750fe69943ef7ed4d4661c70121971fb"
"2017-01","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-be42e28ef182204d095e3e3d7fc803e9bbbf9a7f","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-29d9eb638bdc53ac19761c0d08e9ec4547abb1e9"
"2017-04","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-6d66fc2babf1ca30142c0aa4845539715754fff2","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-29d9eb638bdc53ac19761c0d08e9ec4547abb1e9"
"2017-06","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-1b05fd0332439e2c2200c9968919c202282a443c","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-29d9eb638bdc53ac19761c0d08e9ec4547abb1e9"
"2013-02","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-a91408c223340428d919e01abe9ddef4107b83cc","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-2f9aeeccdbd34a1c574f1e8d27dcb93cf519ccfc"
"2013-08","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-c890da0545115ddb9803a8fb922f0c51a56293c9","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-2f9aeeccdbd34a1c574f1e8d27dcb93cf519ccfc"
"2014-04","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-d03f2e8dd7297eb800028947e6f02c28170ec7db","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-bd848c8efc48c8ed1bf2a9f79ffa03a442c37149"
"2014-08","1","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-a1b90e7c35b024f0341619791a30afacdd8bab87","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-bd848c8efc48c8ed1bf2a9f79ffa03a442c37149"
"2017-04","1","e0337fe81202243d7e66e7920d9691c0970369f3-0-f574436904fde5d48533bc2add3091039212c2ce","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","e0337fe81202243d7e66e7920d9691c0970369f3-0-8ecce33acef4e9890e150758522a2bd201e11ea7"
"2018-04","1","e0337fe81202243d7e66e7920d9691c0970369f3-0-3f7a6a2010f9191d4075b9115ee3b3d20bde1551","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","e0337fe81202243d7e66e7920d9691c0970369f3-1-f19fd53cfbe6fc9deade18392dd3f53e7b68c9f9"
"2017-01","1","e0337fe81202243d7e66e7920d9691c0970369f3-0-ce2217fbc2c6d43c9e4ec8048b9e3220a1d124dd","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","e0337fe81202243d7e66e7920d9691c0970369f3-0-41c3ac7b79fb5bf0e1e41a9d80a525cd2d08819e"
"2017-04","1","e0337fe81202243d7e66e7920d9691c0970369f3-1-ee1914326975f15ee4900e064867a867a7cae440","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","e0337fe81202243d7e66e7920d9691c0970369f3-0-41c3ac7b79fb5bf0e1e41a9d80a525cd2d08819e"
"2017-06","1","e0337fe81202243d7e66e7920d9691c0970369f3-2-e80bef17a904eb225381b5e660c7a967c4cc2c0d","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","e0337fe81202243d7e66e7920d9691c0970369f3-0-41c3ac7b79fb5bf0e1e41a9d80a525cd2d08819e"
