"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","76","176.883","2","4.989","8","18.648","4","9.697","4","9.697","4","9.644","2","5.113","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-5e42bf4a4976eb31bccdea3da556c91812c5d9c6","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-18d529c6bdab690a387d807a8fd7e4b7b0b1ab46"
"Air Force Reserve","1","2.207","","","","","","","","","","","","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-9eec5066aaca86b5745d6fdbfbadfef38e83cafb","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-18d529c6bdab690a387d807a8fd7e4b7b0b1ab46"
"Air Force Active","","","","","12","3.16","2","1.12","2","1.12","","","","","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-92f843c4322b42febe88f029797f2c78bcbac97a","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-2ea359caf32ffad4fbf677b1bce57fb0cfdfd717"
"Air Force Active","21","12.474","","","","","","","","","","","","","159534d0b57648a4377405fd524fece23ff28718-0-6b489db8dac322a524c0f5235025cfb24bc31173","159534d0b57648a4377405fd524fece23ff28718","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","159534d0b57648a4377405fd524fece23ff28718-0-12b97abbcc135ac27f1d11105c6eea73a923b0b2"
"Air Force Active","7","1.865","23","5.368","24","7.512","31","12.333","31","12.333","15","6.07","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-bf29abd471be65bb6bc8aa2eb302bcc7b05b0582","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-a58090d8df482f202c96b6cd3be42b30f602a0a2"
"Air Force Active","955","124.989","","","","","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-75ac73a484a56908b4a9e80ccff0d61dffac0c68","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air National Guard","119","18.206","","","","","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-fd2ca29c0abe2b9fee85fab9653898b3b7ff7c7f","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air Force Active","476","0.543","609","0.438","","","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-69a2ac5b588a766a5367ca00b180b2752f8582fd","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air National Guard","","","68","0.053","","","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-c2e5924fe29721341fc351c82e1746a8353d1132","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air Force Active","17","48.5","23","45.064","11","16.084","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-13f97ba20349cd10f85d44d52703726bf24fe508","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
