"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2014-09","10","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-f02d227336fc239900b43c79f3788b33a6d61f55","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2014-10","11","c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-b3165b67404472ccc06ae4b9ac79db1b4b7b121e","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2014-11","20","c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-6106d8fcc42563cefe4b507b1f7de0c53e289697","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2014-12","14","c98d59c0701902dcd423cbadd821f8e3f3c1e083-3-b629487a03b6f7760671a8b8d2dac9be6c1f3051","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2015-01","14","c98d59c0701902dcd423cbadd821f8e3f3c1e083-4-492870c20ece8d26cd69538ac606919843d4408c","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2015-02","13","c98d59c0701902dcd423cbadd821f8e3f3c1e083-5-c6d63372a5e1a267bb229aa8ffc6ce5ee6cabb03","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2015-03","13","c98d59c0701902dcd423cbadd821f8e3f3c1e083-6-da8c4035c78d83da295c2e7187d334ebf48ad2fd","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2015-04","12","c98d59c0701902dcd423cbadd821f8e3f3c1e083-7-c3a92f73171fffec579771a45be4a179adff62e7","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2015-05","11","c98d59c0701902dcd423cbadd821f8e3f3c1e083-8-6b3d8151acbab15fab1a9e37b357668d6494819b","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
"2015-06","10","c98d59c0701902dcd423cbadd821f8e3f3c1e083-9-a1c90282cb4a572dbcad71700e63c14317035975","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7"
