"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-07","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-9d796d12689620dfcd68f18db45a736eea650ec1","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-cd8cdbd83c11ee81ca8d15fd4a8674e568a0db31"
"2016-05","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-3acf19f04678f32445d15b087e67375ace44cf54","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-1-05d18b62ceab10394602db3068c20a68e59ea058"
"2020-09","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-a52f9b49e119aba2e75544d24270a303734d6d72","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-efc9a0733caa4847eec09b4e8bfc76a122de388e"
"2021-07","1","01cb48bdd8dbef542f320b0ec82544b015318621-1-fe63758d29cf17e42ef58bb1c029a88fc5e5afe8","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-efc9a0733caa4847eec09b4e8bfc76a122de388e"
"2013-06","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-31db548d4f5706c89165682cfeee621818d59757","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-0-09f8ff423896c206941883c1a8baf77d258dcf39"
"2015-05","1","01cb48bdd8dbef542f320b0ec82544b015318621-0-aa7dd0bc14eeb0d94615bfd33480fdd5ec441d87","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","01cb48bdd8dbef542f320b0ec82544b015318621-1-114030bcbe73df9801a59e7f9442aed7962a4231"
"2016-09","1","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-207c5a407a3b39318bfe528aa03f4e0935e4a51c","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-8d1d2745302a0c641e00f33bb2154ee78af18f6f"
"2017-12","1","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-e1787198a4fa7789fea4088bb2d4ce9c47f9ce4a","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-4bec516366e8e9a57d50914f921c0cca1d9996e7"
"2021-09","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-6474e09be4b056eaa071129ed51232e52429bcad","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-2b566840e20f925b80b0432c60a187cd3e3c70a8"
"2023-02","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-86600b5f9c42b747eec1ac7d17e1fbc88a95f9a1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-f08fddc2c076c4664dd0dfe14ee8e3bba0fd0452"
"2023-06","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-bbcc1a09a10ccff1cb8b276658ef89245e470873","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-f08fddc2c076c4664dd0dfe14ee8e3bba0fd0452"
"2024-02","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-e8dce25505e37319f127547a48d339cc8c0d8b05","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-beed745d32fcd2873be94fd7c5158d81e0e8c69b"
"2024-06","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-22575bff8f6f87caf099df96542fa9341cb29075","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-beed745d32fcd2873be94fd7c5158d81e0e8c69b"
"2024-10","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-46059e7c54e55d07a6de709151102458a084ef01","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-beed745d32fcd2873be94fd7c5158d81e0e8c69b"
"2025-02","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-864fa40734d89ca36e5af4285bc70062f042d025","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-09c91fd46221cfc0ba850d8eee3d7df8da650989"
"2025-06","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-9b7159a0092c87465e3a3d8eeebdac08effe7505","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-09c91fd46221cfc0ba850d8eee3d7df8da650989"
"2025-10","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-a47d8d4d126804b9effba99790051459e41ab36c","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-09c91fd46221cfc0ba850d8eee3d7df8da650989"
"2026-02","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-baa46764841db88701d8a8a688628c47538b44b9","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-3-fb0d6a772f138e828b001e06005953845a758a9e"
"2026-06","1","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-843896632edbd51e9b63af39a614ed195e644687","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-3-fb0d6a772f138e828b001e06005953845a758a9e"
"2017-02","1","76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-e760d0ab8da6a8c08564d297e81c353f1d72b83f","76154ffd64abb4e2a0420aed9169e1fe85f4712c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-e7d8cd5fd0330387db5e063a766d4e7cedd85e95"
"2018-06","1","76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-9f15048c8a40ddc5478ad20bf8cadcb8defdd9f3","76154ffd64abb4e2a0420aed9169e1fe85f4712c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-64d9817356286e0d60be62987dd8b96134037720"
