"Name_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_PriorYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","7","7","","","","","","","4.991","4.991","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-f20c57633b0a00811ecec551e6150913d80b2abc","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-a73725794f0a1b12776524706753925186466b22"
"Air Force Active","10","10","","","","","","","1.217","1.217","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-da88053ff49d6cc45cda14dfd288cf7460776919","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-c66e771ceae1cd0755be2a533d86a60e5a48d945"
"Air Force Active","","","50","","","","","","","","2.202","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-429860756aeec67f6ca9d0dcb280666451e703a4","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b2fa83648fac0c80f6afbf5c14d6af542b1f9dd6"
"Air Force Active","8","8","","","","","","","4.179","4.179","","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-6c19a98fb181581698df16ec64ab92fb10ef4437","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-58275a75e6c6a716cbb530c11335e5f773f3a1ca"
"Air National Guard","8","8","","","","","","","4.179","4.179","","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-1-377d8eb65c365c3182b19b3f0fe610b34295dfe2","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-58275a75e6c6a716cbb530c11335e5f773f3a1ca"
"Air Force Reserve","3","3","","","","","","","1.568","1.568","","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-2-b01e3eac7007401c90d26f104c59d589497dcd33","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-58275a75e6c6a716cbb530c11335e5f773f3a1ca"
"Air Force Active","0","0","","0","","","","","0.913","0.913","","4.992","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-0-fad0c385e8e44ee9955bb044bfc51d22913c5631","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-378a3c4e225fa34d9fc8a4161f6101c85a5be264"
"Air National Guard","","","","0","","","","","","","","1.664","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-1-55152bc99cbb33185939f1c6a270826b781b404b","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-378a3c4e225fa34d9fc8a4161f6101c85a5be264"
"Air Force Reserve","","","","0","","","","","","","","0.832","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-2-11d14c7dedd0952309987cf4bf9b4e5f99d4e65d","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-378a3c4e225fa34d9fc8a4161f6101c85a5be264"
"Air Force Active","","","","0","","","","","","","","0.385","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-0-d840d5b6f0080af72ee7e01b64cf95d1e1b1c19d","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-4fe62abca95585f4eacd716ec157043cb690cc29"
"Air Force Active","","","","20","","","","","","","","0.98","","","","","2eec920b80ceae7e9897fe687155bf36efdde32b-0-2618856fe686812e791096a8585cfbadda64d363","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Active","0","0","","","2","3","0","0","4.975","4.975","","","12.483","0.000","0.000","0.000","789cdf19fd0b4da61a331bbc1ceed5bb917c591c-0-d767416ae589b619b4d1b83f68e742060635e5d1","789cdf19fd0b4da61a331bbc1ceed5bb917c591c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","789cdf19fd0b4da61a331bbc1ceed5bb917c591c-0-c9091ede2117d1287751cffd2377444e3aa4cb8f"
"Air Force Active","17","17","","","","","","","3.844","3.844","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-1174a5424c57fb1aff36d81936434833e6a97c1c","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air National Guard","3","3","","","","","","","0.678","0.678","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-dc3b96da5ac49d4aa2567cbfba35b7f5ac61074d","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Reserve","4","4","","","","","","","0.906","0.906","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-f9869d8f493969238bbc42d632b1051a3932dd7c","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Active","30","30","6","","","","","","9.615","9.615","2.187","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-a20df7f9c4c16269a8e0fcb874f3d762012d6ff2","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
"Air National Guard","6","6","","","","","","","1.923","1.923","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-b58a1e0ec7bd7ffedfdb556c0883939b5c01662f","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
"Air Force Reserve","30","30","","","","","","","9.615","9.615","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-e908ba8b4227d615d43bd794d9010ee6ecd10889","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
