"Name_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearTwo_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","35","35","","","1.855","1.855","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-a9f1dd3e3e5526eb83beb485bc73cc349d03bece","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-c66e771ceae1cd0755be2a533d86a60e5a48d945"
"Air Force Active","44","44","","","2.279","2.279","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-32a1d3496c77f999ad144378d755eec783ecc428","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-b2fa83648fac0c80f6afbf5c14d6af542b1f9dd6"
"Air Force Active","","","0","","","","0.913","","287cfe335b97c43b198f0d680705134c5536e8a2-0-b4575e916d03d00c9c9e5fc2e351eb16e2388172","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-378a3c4e225fa34d9fc8a4161f6101c85a5be264"
"Air Force Active","","","31","","","","1.922","","2eec920b80ceae7e9897fe687155bf36efdde32b-0-1b6720c407a836aaf82d7a80e741a2dc29649ea7","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air National Guard","","","2","","","","0.124","","2eec920b80ceae7e9897fe687155bf36efdde32b-1-48f5835333e4f60f1b9924a3868ed8718bca48f2","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Reserve","","","6","","","","0.372","","2eec920b80ceae7e9897fe687155bf36efdde32b-2-dd197149a356fe80b9c5f5342974d084da5a2903","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Active","12","12","","","0.32","0.32","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-3830e166d6847e9e622e4ea4fd8862246e93ecb5","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-37f6631280edf4b6212a5c23f99dba8493655cca"
"Air Force Reserve","3","3","","","0.08","0.08","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-1-40b6d7ed473be621cf918fc86be1348b61f9baef","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-37f6631280edf4b6212a5c23f99dba8493655cca"
"Air Force Active","3","3","","","4.932","4.932","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-8a9b82b82d55dedf81e5f6e27ffdcbccece59ef8","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-fd31fc51d17e207ed9637cff1e136ed31fe196ab"
"Air Force Reserve","1","1","","","1.644","1.644","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-1-c455c4e316d07e4d39917743d4c88e12c38efc6a","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-fd31fc51d17e207ed9637cff1e136ed31fe196ab"
"Air Force Active","12","12","","","2.351","2.351","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-c65080b2a45d6d504408102ce58fbc09d1b3b7db","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-2d733e7eee5a72e28f5093b81f8b2774b03f797b"
"Air Force Active","","","","28","","","","5.787","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-3be35dc4f4c0199707dc162275f9b3dfef5d3565","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Reserve","","","","1","","","","0.207","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-5f7af0bfc4ced9f9fe3f8adfcc79af4d1cd05183","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Active","33","33","","","2.95","2.95","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-cfce3250f9584185e4d2fcd5c815b5396ce21ec3","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-c38f57ab5ff7d5d71eb2a59df00b15faef129ad6"
"Air Force Active","","","","2","","","","5.53","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-04633ab5d919575957effadce937b758897941d0","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-13d581e0a154b2ae763267c6ff75f96650e3151b"
"Air Force Active","160","160","","","1.588","1.588","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-908bee0e08ad8709e25bd550cda86d2c8a7aaf69","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-4e3f2a9fd91a1281cfaf19253946d99083b8494a"
"Air Force Active","","","1733","","","","44.927","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-4780adf51f7d5498518a4dc89b5f54d8e42240fb","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-fca085bdf6a6b791641a76ea7fabcc2fe58cc1ec"
"Air National Guard","","","324","","","","10.335","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-d8174ae65af9605ddee76a9d27bbddfea23fc5af","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-fca085bdf6a6b791641a76ea7fabcc2fe58cc1ec"
"Air Force Active","234","234","","","0.571","0.571","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-76a0a6936e3b9ef9db6e334c51a73bbf6f0e1a0b","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-6377be9d8cc79d026c7cf0e296b595717af376e9"
"Air Force Active","938","938","","","2.282","2.282","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5371aa4e4835848de02d4d6386b31c1f5d339134","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-006d3c118fae97417a9ce1e9a038b5ba2492e38e"
"Air National Guard","104","104","","","0.31","0.31","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-f092286044e5561e9f16dfa83e92aba3f9bcbb0d","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-006d3c118fae97417a9ce1e9a038b5ba2492e38e"
"Air Force Active","10","10","","","12.013","12.013","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-d1d44ad6d2942f54427f5c9a33a1078b8241be3c","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-3391076311372087e46245f853488cecc5bb6f71"
"Air Force Active","8","8","10","","6.925","6.925","0.35","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-f050fe9bf7ab7c533f3b93d06f71b0c4b2fdff19","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-7b3aaf63e82f4d37c4834c152c70dd270af9b546"
"Air Force Reserve","11","11","","","254.23","254.23","","","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-d064d34bec4a9dcb103d548fb13d82f4a838a874","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-3c4c5cbc4c1a63096b01ac03c58a326f1e38dc8b"
