"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0101113F","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-ff6431e579835657aec65cc58329297f2312e20d","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root","00a7ac30601f89dbd482dd9b3d95bc21c4349755-33831026485083448e9ee9bb3d5225edf6c2dcc8"
"0207142F","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-8ec7562a7a7fdf8c4daba00046a0b9dba74aefca","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-98b5869479309f51546660417725f19e06e9eb57"
"0804741F","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-ea289cf8a0c6774a24b13b3397d78c56431fe79b","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-ecc2e03ad9387c1c61d07219ee9c216486a815e4"
"0401130F","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-8f512b3a0a6c479371a841795899dda04ad8a93d","0989a56b20ac2bbaec61f72a12dd4289276b0790","root","0989a56b20ac2bbaec61f72a12dd4289276b0790-7137d152d0bb9a55ce8c628c7c12c89e62656622"
"0205219F","0c303713906fb08c29285b8efb9bfdc10f041a82-0-c5812491c8cf45c7ab78a9df12fc8e5733ad4cbb","0c303713906fb08c29285b8efb9bfdc10f041a82","root","0c303713906fb08c29285b8efb9bfdc10f041a82-fc584dd73661964488713a51a0bf2341e778c3c5"
"0303140K","0c7706780b04655dba8b2c3cd1b6151cff6c31a8-0-5bb6162088d4dec1b2eee76bfd41536198781ada","0c7706780b04655dba8b2c3cd1b6151cff6c31a8","root","0c7706780b04655dba8b2c3cd1b6151cff6c31a8-8631eb0a5b22db6b35570536a73e10a2fc113d97"
"0207224F","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-7532e21226a3cc57b9bae4e8490d4ba9153bf902","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-e7d4116a6a88233dabdb8a4f4621dcfdaa6f0251"
"0401115F","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-12c72b3ca5cac3b517fdd3d70e7ffe905e02ca0d","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-e7d4116a6a88233dabdb8a4f4621dcfdaa6f0251"
"0305903F","0f261a6fd7b3518fdcc369133607071628fa1c40-0-975812f621c5bbfd4d600ddac2dc92491d258ebe","0f261a6fd7b3518fdcc369133607071628fa1c40","root","0f261a6fd7b3518fdcc369133607071628fa1c40-ee4f00517a5ea3b7051ec1beba7645e7c652df37"
"0204112N","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-43c25ffba8ab481074469ca60f80bdb0cd3f0e0c","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0c3aee10f20d9d54c3da8708249a7a19399129c1"
"0605458F","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-d94f3090dfb10fc9aa90250be78252d34ae16bd7","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a","root","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-206606bbf37334afb557ae0ced6de781ccff4102"
"0401314F","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-6506db09be818fc47cff8f97a34ccdf337e59524","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-3aa0a75b059fbfbfd7110480e550416fb049b09c"
"0102110F","12de57fd9a6eb7a80b56604cff8f942215f69508-0-2e1bbfb8edb6fc47d263e5e48dd7cddca0a74db6","12de57fd9a6eb7a80b56604cff8f942215f69508","root","12de57fd9a6eb7a80b56604cff8f942215f69508-344edfacc4aa97c24805053016fc3835e58e7f93"
"0604933F","13c303358d96b5d5ea8905f55f1067bdf4b5ff21-0-e26db8d31fa1bf18da8d7cac519770d75f96285c","13c303358d96b5d5ea8905f55f1067bdf4b5ff21","root","13c303358d96b5d5ea8905f55f1067bdf4b5ff21-c27a4d80d039a600323a702594a541a191581df7"
"0708012N","142bd1241ab2685930fd07bb86ddd375e8b67364-0-5cc06e56f4153472515dcf995cbac64c704c739c","142bd1241ab2685930fd07bb86ddd375e8b67364","root","142bd1241ab2685930fd07bb86ddd375e8b67364-bf0add77e78cd78e09883f66575d63707c8bc8e3"
"0604445F","1480dd01679979cbefb064943c42cb87f8750350-0-9dffb4a59418cb48e01c41740b650324ef0628d9","1480dd01679979cbefb064943c42cb87f8750350","root","1480dd01679979cbefb064943c42cb87f8750350-2aa29a23610ce57ce88df15b21cbb1e19ccd975e"
"0101122F","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-f5b53a7d1f9570e7ade5c164af5061b4b60845c6","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-24c1116d913e81fd1b8c13c3706a662c54053111"
"0101125F","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-1-56b35de8b3bbaaddf5cd8cf1baf07f5afef019d6","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-24c1116d913e81fd1b8c13c3706a662c54053111"
"0204154N","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-c69e161315ab71b27127fa4b3f00fd4ec9d55d34","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa","root","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-eca37e09ea1051b212e30242b8c0456bec2a07a9"
"0401218F","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-9ed8cbab4321a7f2f05fa8903053465c9946df15","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root","1d689f0f36258fe897c6ef0040b400c62cdda1ee-851fe8bff0e0581a810e08bdae8e87dfc60e09c8"
"0305220F","1d9f1a4d303cc8a3fd75971300776822fbe16431-0-f7149cfbce62178092199aba5a419ad41d74c5e1","1d9f1a4d303cc8a3fd75971300776822fbe16431","root","1d9f1a4d303cc8a3fd75971300776822fbe16431-ef3aa770ecdd93b717b9e8f08ae85fd125c53b84"
"0207224F","1f74a43f0d0b6e827da7cc03b4983ca0f6cba4bf-0-90651ab2c9f15c2e0a10eec75e51ce44ed831077","1f74a43f0d0b6e827da7cc03b4983ca0f6cba4bf","root","1f74a43f0d0b6e827da7cc03b4983ca0f6cba4bf-ab2248582a7a223bc07fc1180155913225c7dfbd"
"0102326F","21b4f88672a4050b1ffd05cee1644230dbe80de8-0-5339b96fa2c4764c47b5e7fae3f29a21b66c9d5f","21b4f88672a4050b1ffd05cee1644230dbe80de8","root","21b4f88672a4050b1ffd05cee1644230dbe80de8-d117293f2cf0ea17cf9ae695c22d23a8de50eaa4"
"0401119F","230542bd9da9a930c944f91de0a720a98bcfc5e4-0-24e66f96e850c68bacb93bf45fe19bd0e0ab1b1a","230542bd9da9a930c944f91de0a720a98bcfc5e4","root","230542bd9da9a930c944f91de0a720a98bcfc5e4-7e704c0515168d17a4d8041f336a59b37759e42e"
"0303122K","2370ba6ce510a6945e0c6792437cd1979e437058-0-b8315fbdba34c63b3b5683fcfb2d4bdb60acb37b","2370ba6ce510a6945e0c6792437cd1979e437058","root","2370ba6ce510a6945e0c6792437cd1979e437058-67e977bbf46b6e24e5ca8798846cdabc66a63d6e"
"0305165F","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-b74757f0af0797bbf0840fa0bc9d1dd2e0ae901c","24b82fd52542f468799e4648ad2b9e79fd8205d5","root","24b82fd52542f468799e4648ad2b9e79fd8205d5-0f306c905d186bbdfc10689f42751ad9a1691160"
"0204460M","24febab206f12e49a266ce58bec118a0b5f41773-0-b92fa7beb1702d1654b663da5c1f5c45394a2867","24febab206f12e49a266ce58bec118a0b5f41773","root","24febab206f12e49a266ce58bec118a0b5f41773-1195c7937653144889fe538fd31368b067da9e3b"
