"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","1788","237.216","383","39.045","2171","276.261","","","","","","","","","","","","","","18a7bd201efe5e627c5fe9ca31452c7559105bcd-0-1053629ab708813bb6a0ccd9848307fac4c999d3","18a7bd201efe5e627c5fe9ca31452c7559105bcd","root","18a7bd201efe5e627c5fe9ca31452c7559105bcd-9cc627487001ac61115e2244331e79fdee72b787"
"Army Active","10","163.526","4","85.83","14","249.356","14","227.66","9","193.935","5","77.563","9","124.156","15","217.831","22.5","","","1aec33e09429109b0c081525995730d17c579d78-0-7bcda8f5cebb21c6d43c66598ed4c6575d7a8cbe","1aec33e09429109b0c081525995730d17c579d78","root","1aec33e09429109b0c081525995730d17c579d78-b452f228322096d9b50150868d70bef1489d5a46"
"Army National Guard","9","149.201","","","9","149.201","8","110.517","6","105.059","19","270.61","12","155.195","4","62.237","","","","1aec33e09429109b0c081525995730d17c579d78-1-0de2ece23c66379ed4fe66daa82879db7d3de309","1aec33e09429109b0c081525995730d17c579d78","root","1aec33e09429109b0c081525995730d17c579d78-b452f228322096d9b50150868d70bef1489d5a46"
"Army Active","11","25.9","34","40.46","45","66.36","21","49.255","45","67.868","10","31.4","10","32.905","1","5.074","25.6","9","","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-0-d7158477d107a171ae8b9504dc01c7484e4389ef","2230e8caed2c34d8ec27861c8d58f8ac51bcee85","root","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-1a00d9d64c7de4f81a0de5c01df5df44064e74ba"
"Army National Guard","7","14.835","15","17.34","22","32.175","17","38.655","22","32.372","5","13.829","4","11.595","9","34.807","15.09","5","","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-1-d8e29ad38694623a66b71eabb37b8f31ed754564","2230e8caed2c34d8ec27861c8d58f8ac51bcee85","root","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-1a00d9d64c7de4f81a0de5c01df5df44064e74ba"
"Air Force Active","","47.484","","6","","53.484","","112.861","","52.495","","8","","8","","8","8.144","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-a42f9f2448863518c196c1ddc8d97ab167a1431b","47095650b1c28567be35fb43aaf8b0d60d3068ea","root","47095650b1c28567be35fb43aaf8b0d60d3068ea-bae5eeb657969ff7aa4c61af6a6f22acec0c876c"
"Air National Guard","","1.26","","0.000","","1.26","","14.148","","2.26","","0.000","","0.000","","0.000","0.000","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-fee2930057f1ea87d649e9bd14dca9dc64dbeb27","47095650b1c28567be35fb43aaf8b0d60d3068ea","root","47095650b1c28567be35fb43aaf8b0d60d3068ea-bae5eeb657969ff7aa4c61af6a6f22acec0c876c"
"Air Force Reserve","","0.397","","0.000","","0.397","","6.11","","1.787","","0.000","","0.000","","0.000","0.000","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-2-eb85b50a1eb55272e0e4e1bf0ecf4e79137cbf64","47095650b1c28567be35fb43aaf8b0d60d3068ea","root","47095650b1c28567be35fb43aaf8b0d60d3068ea-bae5eeb657969ff7aa4c61af6a6f22acec0c876c"
"Army Active","","","38","35.6","38","35.6","","","","","","","","","","","","","","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051-0-d4b13f5a4987c0b020f9ddde345f29a12d40dcea","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051","root","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051-e965fd51a5beb996e5597b03a3a1dd0b9233359e"
"Air Force Active","","31.383","","0.322","","31.705","","185.498","","59.005","","25.264","","23.195","","35.145","49.782","","1169.889","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-563f1834d72186900c65799957d88f6fb9434efb","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-8dfee838831f1e1afdbd801239042fb629e41a60"
