"Name_val","Location_val","Type_val","FacilityProjectList_FacilityProject_Type_val","FacilityProjectList_FacilityProject_Contractor_val","FacilityProjectList_FacilityProject_Description_val","FacilityProjectList_FacilityProject_CostList_Maintenance_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Other_PriorYear_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2014 Base procurement dollars in the amount of $0.336 million support the care and maintenance of laid-away ammunition industrial facilities.  This effort includes non-severable equipment, plant equipment, special tooling, and special test equipment being retained as part of approved plant equipment packages, which are required to support future replenishment requirements.","0.331","0.336","0.336","","0.331","0.336","0.336","","","","","","","","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-7fccf02d695992e8657a135d3e6a88aa9c0c9734","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2014 Base procurement dollars in the amount of $0.096 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.094","0.096","0.096","0.058","0.094","0.096","0.096","0.058","","","","","","","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-edaa3b09175cb2ef1de977da983246630b62c8e6","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2014 Base procurement dollars in the amount of $0.107 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.","0.282","0.107","0.107","0.056","0.282","0.107","0.107","0.056","","","","","","","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-c4f1f590c187e9cded36b9901cbb332e672cd5ce","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2014 Base procurement dollars in the amount of $0.708 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant. They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation touchup, asbestos management, and minimum maintenance of specialized production equipment.  These efforts are responsible for associated MIF costs and provide for monitoring of excess facilities until they can be disposed.  These efforts also provide for well monitoring at the inert landfill, trench 5, in order to comply with a signed consent agreement between the plant, State of Iowa, and Environmental Protection Agency.","0.225","0.229","0.229","0.075","0.697","0.708","0.708","0.324","0.165","0.311","0.316","0.316","0.084","0.161","0.163","0.163","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-25d41685deff2002a9846061e46a90dfde1ca067","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2014 Base procurement dollars in the amount of $0.166 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling, and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes associated maintenance of inactive facilities costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.106","0.086","0.086","0.102","0.204","0.166","0.166","0.152","0.05","0.098","0.08","0.08","","","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-367cd2f2539c50c2d9fe049963e82b6ec3bb8b2a","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2014 Base procurement dollars in the amount of $0.162 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling, and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.08","0.081","0.081","0.073","0.16","0.162","0.162","0.15","0.031","0.032","0.032","0.032","0.046","0.048","0.049","0.049","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-701b6d9c10233146f40f3b6deab8307e50c413c7","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2014 Base procurement dollars in the amount of $0.333 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.17","0.173","0.173","0.162","0.327","0.333","0.333","0.313","0.151","0.157","0.16","0.16","","","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-01bf42c16544d3a4294f164cff73374fe5f5a1ed","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Quad City Cartridge Case Facility","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Norris Industries","FY 2014 Base procurement dollars in the amount of $0.500 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, and minimum maintenance of specialized production equipment.","1.878","0.5","0.5","","1.878","0.5","0.5","","","","","","","","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-7-a09d605d39ba878656a7eee96572ddc63f26993d","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2014 Base procurement dollars in the amount of $0.422 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.  These efforts support associated MIF costs and provide monitoring of excess facilities.","0.125","0.422","0.422","0.103","0.415","0.422","0.422","0.103","","0.249","","","","0.041","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-8-37ea2a80222eeaf5b85405365ae3374bba802a0f","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","Inactive Lines at Active Plants","General Dynamics Ordnance and Tactical System (GD-OTS)","FY 2014 Base procurement dollars in the amount of $0.051 million support the care and maintenance of large caliber metal parts equipment at Scranton Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment.","","0.051","0.051","","","0.051","0.051","","","","","","","","","","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-9-88455e5aba73cf7380f663324cb877bad5d77675","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
