"Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Number_val","Title_val","ProductionLinesLayaway_Name_val","ProductionLinesLayaway_Location_val","LayawayCost_val","Description_val","ProductionEnd_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1.135","0.699","0.781","0.781","","5XX8000","Layaway of Industrial Facilities, Minor Efforts Less Than $0.100 Million","Various","","781","FY 2014 Base procurement dollars in the amount of $0.781 million support various minor efforts at active and inactive facilities that preserve and store industrial facilities for reserve capacity.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-195ee66d4d9f334faba999e15c62199ea88a9476","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-0b512c84a2dc380ae5ed3e991e7dbd81d6ea65d0"
"4.251","","","","","5XX8100","Decontamination and Disposal of Excess Buildings/Equipment","Buildings: K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2","","4251","Procurement dollars in the amount of $4.251 million support this effort to continue the decontamination and disposal of excess buildings that have become a safety and environmental concern.  The buildings contained in this phase are: K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2, as well as abandoned steam lines, fences, supports, piping, electrical lines, etc. in Area B.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-af480eced1a0d572181f6ef74291beac5ed45e9c","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-afcfc0567104619b18d8340eb0357dfb8aeebb66"
"0.851","1.061","1.079","1.079","","5XX8049","Decontamination and Disposal of Excess Production Equipment","Various","","1079","FY 2014 Base procurement dollars in the amount of $1.079 million support decontamination and disposal of excess equipment no longer required for production at Iowa Army Ammunition Plant.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-4104e1ecf87cccae1dcfd297e0e5ed0358ca5f43","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-c950630b6177eaff2f692b24f6bbaaed62cca52e"
"","2.863","3.639","3.639","","5138051","Facility Disposal/Demolition","Various","","3639","FY 2014 Base procurement dollars in the amount of $3.639 million support efforts to decontaminate, remove asbestos, and demolish facilities plant wide, due to unsafe conditions and environmental risks at Iowa Army Ammunition Plant.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-c32a242d75fbe6a4df0b2b864088a099a530f47d","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-c950630b6177eaff2f692b24f6bbaaed62cca52e"
"","","0.511","0.511","","5148052","Facility Disposal/Demolition","Various","","511","FY 2014 Base procurement dollars in the amount of $0.511 million support efforts to decontaminate, remove asbestos, and demolish facilities plant wide, due to unsafe conditions and environmental risks at Milan Army Ammunition Plant.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-9b640a90802512034882b043ff94e52c998b3938","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-8b8dd5bc0059d97bf85818ed910e4a6b63365173"
"","","1.531","1.531","","5148055","Remove/Dispose of Hexachlorethane (HC)/Zinc Chloride Mix Equipment, Building 34-640","Large Mix Load, Assemble and Pack (LAP), HC smoke munitions.","Building 34-640","1531","FY 2014 Base procurement dollars in the amount of $1.531 million support this effort to remove, decontaminate, and dispose of HC / Zinc Chloride mix equipment in building 34-640 at Pine Bluff Arsenal.  HC has been determined to be a toxic carcinogen and will no longer support program objective memorandum (POM) buys.  All equipment must be flashed to level 5X prior to disposal.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-36351ec755278fa2f8d8890626160b339b4a7398","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-f66b503ae0879c642f4866bcfa6a1782abdaa925"
"1.512","","","","","5128053","Layaway of Steel Cartridge Case Equipment","105mm M148A1B1, 155mm Advanced Gun System (AGS), 5 54 MK9","","1512","Procurement dollars in the amount of $1.512 million support this effort to layaway the deep drawn steel cartridge case equipment at the Quad City Cartridge Case Facility.  This includes environmental decontamination and disposal of the chemicals used in the plater and heat treat equipment.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-a2341aa6cdfa5349110f8d5a1e3b25837790eb27","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-e19039429383572df4c34fd77ec1dc8b1c14a9d4"
"","0.582","2.265","2.265","","5XX8440","Decontamination and Disposal of Facilities/Excess Production Equipment","Various","","2265","FY 2014 Base procurement dollars in the amount of $2.265 million support this continued effort to decontaminate and dispose of excess production equipment and facilities at Radford Army Ammunition Plant.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-7bb1fd26f73bb94c5cd86b9a7e5dc0bacb739cc8","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-02695d2aac970860be90b61d9a83b529e7877c20"
"","4.425","","","","5138047","Remove Nitrocellulose (NC) Hill Tanks","Nitrocellulose","Recovered Water Tank #417","4425","FY 2013 Base procurement dollars in the amount of $4.425 million support efforts to remove waste NC from recovered water tanks, decontaminate, demolish, remove and dispose of the tanks, foundation pad and associated piping at Radford Army Ammunition Plant.  These efforts will significantly reduce environmental and safety issues associated with large quantities of legacy NC.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-526040ca05d166c134f7bf7d9a582447bbd56c03","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-02695d2aac970860be90b61d9a83b529e7877c20"
"1.72","","","","","5128054","Demolish Old Nitric Acid Concentrator/Sulfuric Acid Concentrator (NAC/SAC) Facilities and Firehouse","Nitrocellulose, Single Base Propellant","","1720","Procurement dollars in the amount of $1.720 million support this effort to demolish the old NAC/SAC buildings and firehouse at Radford Army Ammunition Plant.  These facilities no longer support production and have been replaced with centrally located operations.  Demolition of these buildings will open strategic space for future modernization.","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-4ebb8a90ac2947448d12fc478de745a5ddecb5d0","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.LayawayFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-02695d2aac970860be90b61d9a83b529e7877c20"
"0.555","0.577","0.602","0.602","417.984","U7667","Layaway of Industrial Facilities (LIF)","","","","","","e5ba122276593ba1e4077f83c1b8384f180921b7-0-ed7801a11e5e1986cb154356754b1dad6c8935b4","e5ba122276593ba1e4077f83c1b8384f180921b7","root.record.FacilityList.LayawayFacility","e5ba122276593ba1e4077f83c1b8384f180921b7-0-c0804883f107dee43d5533395fcd9d38e6e39c28"
"0.576","0.602","0.619","0.619","418.539","U7667","Layaway of Industrial Facilities (LIF)","","","","","","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-fd45475f536e4b581273ffde196b538b0f1b698b","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768","root.record.FacilityList.LayawayFacility","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-fcb250a6a21427c34894df9fa7b50b786707d0cb"
