"Name_val","Location_val","Type_val","FacilityProjectList_FacilityProject","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Active and Inactive Government-Owned Facilities","Various","GOCO","root.record.FacilityList.LayawayFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-951c83465486cd5239074e9fa6af22e76e5615b9","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-0b512c84a2dc380ae5ed3e991e7dbd81d6ea65d0","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","root.record.FacilityList.LayawayFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-065d60e1545d5c94f821a8716ab474ef0c6625e2","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-afcfc0567104619b18d8340eb0357dfb8aeebb66","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","root.record.FacilityList.LayawayFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-b4406afc5c00e09de21d28ab45d855c86afdd374","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-c950630b6177eaff2f692b24f6bbaaed62cca52e","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","root.record.FacilityList.LayawayFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-1b3320edb988d3f7e44451a1ae5f37fbaff12265","db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-8b8dd5bc0059d97bf85818ed910e4a6b63365173","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","root.record.FacilityList.LayawayFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-aa9ff3b129d951488df9ff5969b8ec8971cd43a5","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-f66b503ae0879c642f4866bcfa6a1782abdaa925","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Quad City Cartridge Case Facility","Rock Island, Illinois","GOCO","root.record.FacilityList.LayawayFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-a5bf754d27b4b3f4f5f83db4d90d18e90bf68d04","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-e19039429383572df4c34fd77ec1dc8b1c14a9d4","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","root.record.FacilityList.LayawayFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-c68653a550a4e627ad0d22d7e71f4423b465997c","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-02695d2aac970860be90b61d9a83b529e7877c20","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Watervliet","Watervliet,  Arsenal Watervliet, New York","GOGO","root.record.FacilityList.LayawayFacility.FacilityProjectList-e5ba122276593ba1e4077f83c1b8384f180921b7-0-424d66aa015e5d540fb773f4c2e07b4904c07651","e5ba122276593ba1e4077f83c1b8384f180921b7-0-c0804883f107dee43d5533395fcd9d38e6e39c28","e5ba122276593ba1e4077f83c1b8384f180921b7","root","e5ba122276593ba1e4077f83c1b8384f180921b7-c437bb6f63a408aaaba5552b5b9e8cfe3e48f5b4"
"Watervliet","Watervliet,  Arsenal Watervliet, New York","GOGO","root.record.FacilityList.LayawayFacility.FacilityProjectList-eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-22c92ab4c77778321b5a26097ada3ce2df9e6f95","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-fcb250a6a21427c34894df9fa7b50b786707d0cb","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768","root","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-68b86722b5001c893a9aff49841ed680705f39f8"
"Active and Inactive Government-Owned Facilities","Various","GOCO","root.record.FacilityList.LayawayFacility.FacilityProjectList-fc8a91254bf10ee57809906eaedb4fccfba99546-0-420348ca50f1ba238fba2d9e57cd423eff1b8a58","fc8a91254bf10ee57809906eaedb4fccfba99546-0-efee5aee7da6383239cb3b96e5b9fe27088796f2","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
