"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"EOQ/Long Lead (Prior Years)","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-0ae1ebdd227829f6e60c09bd53c89097793c0d6a-0-d21f4ad1a1fafb37a6f9c8d57edcb4c7eb0601c8","0","0","364.235","0","0","","","","","","","","","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-0-a8e27870322a3577e1323534a4845ca855cef727","0ae1ebdd227829f6e60c09bd53c89097793c0d6a","root","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-fbe6382a77fbdd0c010837c8835cc096503b9b40"
"Equipment","","","","","","12","","0","","84","0","0","0","0","0","0","0","84","182924077452d6315b5d55757589269be8ba142c-0-8a3ebac6df9642d0d24fe20ece80f5179d466a1b","182924077452d6315b5d55757589269be8ba142c","root","182924077452d6315b5d55757589269be8ba142c-3193e4124cc17e050e9a6f15d0b6e4144635d0f7"
"For FY 2013 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-2a30d5b73751835c73a39441ce7ee1649f09201f-0-c7f881b025e3663d72656fa1d9f39bf3e64dc4c2","0","0","","0","0","","","","","","","","","2a30d5b73751835c73a39441ce7ee1649f09201f-0-4a473d9c98b4e3a4a31037cf599c967663b7f27f","2a30d5b73751835c73a39441ce7ee1649f09201f","root","2a30d5b73751835c73a39441ce7ee1649f09201f-903b8ac75ee51740db5a732bea4a81cd8abcaf08"
"For FY 2014 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-2a30d5b73751835c73a39441ce7ee1649f09201f-1-03e577882643126c9dce489ce1b611ad9cec92f9","0","0","","0","0","","","","","","","","","2a30d5b73751835c73a39441ce7ee1649f09201f-1-edf228ed0f6d42386c304b1496903f9e1a90ea70","2a30d5b73751835c73a39441ce7ee1649f09201f","root","2a30d5b73751835c73a39441ce7ee1649f09201f-903b8ac75ee51740db5a732bea4a81cd8abcaf08"
"For FY 2015 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-2a30d5b73751835c73a39441ce7ee1649f09201f-2-4d9109a77e7696f5653027a1274acb5d2b04243c","0","0","","0","0","","","","","","","","","2a30d5b73751835c73a39441ce7ee1649f09201f-2-a221a1ef3ff5f39eb9140c99ffb41c45b6a44050","2a30d5b73751835c73a39441ce7ee1649f09201f","root","2a30d5b73751835c73a39441ce7ee1649f09201f-903b8ac75ee51740db5a732bea4a81cd8abcaf08"
"For FY 2016 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-2a30d5b73751835c73a39441ce7ee1649f09201f-3-57cfe69b2cecbdcded75ffa59363bfa9f89a7d3a","0","0","","0","0","","","","","","","","","2a30d5b73751835c73a39441ce7ee1649f09201f-3-54f321c726a8e2af9a6a35a586c67009ef7cca17","2a30d5b73751835c73a39441ce7ee1649f09201f","root","2a30d5b73751835c73a39441ce7ee1649f09201f-903b8ac75ee51740db5a732bea4a81cd8abcaf08"
"For FY 2017 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-2a30d5b73751835c73a39441ce7ee1649f09201f-4-1646b4e894aea5b79d29e452adb86553007fe8b8","0","0","","0","0","","","","","","","","","2a30d5b73751835c73a39441ce7ee1649f09201f-4-7352e9e0735998e18fa1fc1c9cb5c3cacfcb12a6","2a30d5b73751835c73a39441ce7ee1649f09201f","root","2a30d5b73751835c73a39441ce7ee1649f09201f-903b8ac75ee51740db5a732bea4a81cd8abcaf08"
"For FY13 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-778766a96f9ec3df704348e21413c9f4ebdf869a-0-dae035275a2209114564fe8b587bc1b791f0751e","0","0","","0","0","","","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-0-6a1fd025994756a2df5a278849f6abc3d2bd651f","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
"For FY14 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-778766a96f9ec3df704348e21413c9f4ebdf869a-1-00e175c8a2ee471848febfe1206802dbef2d8560","0","0","","0","0","","","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-1-99ba75b74ebfb86f68666fb8f365f75a6774b07f","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
"For FY15 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-778766a96f9ec3df704348e21413c9f4ebdf869a-2-ea38bbccdb35966ef3792e21339d8b45520351b2","0","0","","0","0","","","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-2-a67d30c16beaeaaae437bbc15c86148b25c9a4ac","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
