"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_RFPIssueDate_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_ItemNameSuffix_val","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Engines T.L.","See End Item P5A","See End Item P5A","24","24","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","2","276.965","12.075","2.381","0","0","","","","","","","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-0-8ad579ba507aa3a28d65cb508387e429b7e25b5b","0ae1ebdd227829f6e60c09bd53c89097793c0d6a","root","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-fbe6382a77fbdd0c010837c8835cc096503b9b40"
"ALE-50 IMPLC","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","19.15","","","0","0","","","","","","","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-1-afd7efb8cf6afb9f7bd8adfa05a1d2a71fdd3c65","0ae1ebdd227829f6e60c09bd53c89097793c0d6a","root","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-fbe6382a77fbdd0c010837c8835cc096503b9b40"
"GFE Other","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","24.681","0.673","0.128","0","0","","","","","","","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-2-0edd63d7665cae80bdce282bab277acb582b211f","0ae1ebdd227829f6e60c09bd53c89097793c0d6a","root","0ae1ebdd227829f6e60c09bd53c89097793c0d6a-fbe6382a77fbdd0c010837c8835cc096503b9b40"
"GFE Other","See End Item P5A","See End Item P5A","27","27","2013","See End Item P5A","2015-03","2015-03","0","0","2015-03","TBD","I think i","0","0","85.578","0.148","0.154","0","0.148","","","","","","","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c-0-4d4802955c48d51cfa1715a2f9db366268a6decc","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c","root","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c-1ac8d052da0b63243e8f3b107dbe76a11e2ad43e"
"CFE Com/Nav","See End Item P5A","See End Item P5A","29","29","2013","See End Item P5A","2015-05","2015-05","0","0","2015-05","TBD","I think i","0","0","15.443","2.014","2.654","0","2.622","","","","","","","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c-1-8ed990c2fe1a01f017bfa7c38b8a04d5689c7df8","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c","root","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c-1ac8d052da0b63243e8f3b107dbe76a11e2ad43e"
"GFE EW","See End Item P5A","See End Item P5A","29","29","2013","See End Item P5A","2015-05","2015-05","0","0","2015-05","TBD","I think i","0","0","16.945","2.533","2.916","0","2.965","","","","","","","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c-2-0b7a08e9703cd0a6ad42e08b668ac306d51379fd","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c","root","0c20d6c81f22708139d49d78fdcd6e8ff7d5bf1c-1ac8d052da0b63243e8f3b107dbe76a11e2ad43e"
"Other GFE","See End Item P5A","See End Item P5A","36","36","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1","32.177","","","0","0","","","","","","","1907a04d1073081c96c1e63131913eba5d153623-0-6425080abd247b68e0cf62493308bbba237216c5","1907a04d1073081c96c1e63131913eba5d153623","root","1907a04d1073081c96c1e63131913eba5d153623-bbdfdd4634b519f6ac28c34354ddb0019f38bc5b"
"JTIDS","See End Item P5A","See End Item P5A","36","36","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1","16.955","","","0","0","","","","","","","1907a04d1073081c96c1e63131913eba5d153623-1-5dfe304c241539f6eccc6e12db8e0bc5f3c130cb","1907a04d1073081c96c1e63131913eba5d153623","root","1907a04d1073081c96c1e63131913eba5d153623-bbdfdd4634b519f6ac28c34354ddb0019f38bc5b"
"Engines","See End Item P5A","See End Item P5A","39","39","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1","14.9","","","0","0","","","","","","","1907a04d1073081c96c1e63131913eba5d153623-2-ac2e2555fc0f7c066631ba27a70982b49fd6b691","1907a04d1073081c96c1e63131913eba5d153623","root","1907a04d1073081c96c1e63131913eba5d153623-bbdfdd4634b519f6ac28c34354ddb0019f38bc5b"
"GFE Electronics","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","","","","0","0","","","","","","","2a30d5b73751835c73a39441ce7ee1649f09201f-0-62e1a23d8f02bf6f95e737ec50fc88926ef4e114","2a30d5b73751835c73a39441ce7ee1649f09201f","root","2a30d5b73751835c73a39441ce7ee1649f09201f-903b8ac75ee51740db5a732bea4a81cd8abcaf08"
"GFE Other","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","","","","0","0","","","","","","","2a30d5b73751835c73a39441ce7ee1649f09201f-1-f881d7c080b278747433311b2ecb048b877950a7","2a30d5b73751835c73a39441ce7ee1649f09201f","root","2a30d5b73751835c73a39441ce7ee1649f09201f-903b8ac75ee51740db5a732bea4a81cd8abcaf08"
"GFE - Engines T.L.","See End Item P5A","See End Item P5A","14","14","2013","See End Item P5A","2014-01","2014-01","0","0","2014-01","TBD","I think i","0","2","236.277","17.326","16.872","0","12.727","","","","","","","711ef627f28f59f569bd3148f9eec777b78e9140-0-e74e4df87824ec50d4a599bc8cbc632740610578","711ef627f28f59f569bd3148f9eec777b78e9140","root","711ef627f28f59f569bd3148f9eec777b78e9140-a37f00cbb2ca2b1163b09c67c42f25d87a2bfa46"
"GFE - Cockpit","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","0","1","270.202","","","0","0","","","","","","","711ef627f28f59f569bd3148f9eec777b78e9140-1-c8f7f2b14c37ed2769c79fc2e76187980dbd26dd","711ef627f28f59f569bd3148f9eec777b78e9140","root","711ef627f28f59f569bd3148f9eec777b78e9140-a37f00cbb2ca2b1163b09c67c42f25d87a2bfa46"
"Cockpit For FY12 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","0","1","17.911","","","0","0","","","","","","","711ef627f28f59f569bd3148f9eec777b78e9140-2-2421eef9c3d77cc30fac5ed382a40d9a83178931","711ef627f28f59f569bd3148f9eec777b78e9140","root","711ef627f28f59f569bd3148f9eec777b78e9140-a37f00cbb2ca2b1163b09c67c42f25d87a2bfa46"
