"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning","WhenRequiredInMonths_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","QuantityPerAssembly_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"AH-64E Apache New Build","See End Item P-5A/NA","See End Item P-5A","12","12","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-609dd5643637bf369bcf1a0c04f7a4f15d08390d-0-87394b43a46b804cbb8bf68cb594f1d2f58059bf","12","84.264","146.121","0","230.385","","","","","","","","609dd5643637bf369bcf1a0c04f7a4f15d08390d-0-95c08f67124f5fc5ba6d44cf3aab40ffb4103b78","609dd5643637bf369bcf1a0c04f7a4f15d08390d","root","609dd5643637bf369bcf1a0c04f7a4f15d08390d-965918afe9ff2267713419f55f79b8fe8e959c3f"
"Avionics","See End Item P-5A/NA","See End Item P-5A","15","15","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba-0-5d44a7b000333b566ffcc59522537d8750159dd8","16","48.382","33.338","0","266.233","59.882","39.35","40.944","40.854","3.483","","","fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba-0-4a81d2f187913cf2d29e53c19a36f7083bbdb2a9","fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba","root","fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba-d29dab6c99adac04710feeff4fa1f14b0cb03491"
"Airframe","See End Item P-5A/NA","See End Item P-5A","13","13","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba-1-d166641d8ea8e62c56d6bc2a735276ffa7480bb0","14","72.574","50.008","0","399.284","89.755","59.026","61.417","61.28","5.224","","","fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba-1-d0055e074a321ed886ccc213d7edf9a9960923ad","fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba","root","fa7aabe8701fcba95a356cc5558cb5b7a7b9f0ba-d29dab6c99adac04710feeff4fa1f14b0cb03491"
"Long Lead Parts","Lockheed Martin","Newtown, PA","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-2377f3d99edfeb4d81248cb1993217a544e4cf6e-0-b12ba2b416d5c02f384f1990ca7184506e311b7a","0","81.811","82.616","352","1170.29","95.999","74.167","117.855","119.993","121.828","124.021","","2377f3d99edfeb4d81248cb1993217a544e4cf6e-0-2a25e0afcd1ca5c2e43d46dbb1ce25a6185297ad","2377f3d99edfeb4d81248cb1993217a544e4cf6e","root","2377f3d99edfeb4d81248cb1993217a544e4cf6e-21f70d2f01bd9c68acace8be5d034a0aff023355"
"GEO 3 Long Lead","","","","","","0","0","0","0","269.419","269.419","0","0","0","0","0","","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-0-ed233cefd09579a9c18715c922082386ee3f5fb3","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6","root","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-3f32c266aef149a2fb7ba1f68413b5313e03af3f"
"GEO 4 Long Lead","","","","","","0","0","0","0","275.709","275.709","0","0","0","0","0","","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-1-9881af443c7bc95e3c0c5c048bc1b9faebe53ffd","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6","root","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-3f32c266aef149a2fb7ba1f68413b5313e03af3f"
"GEO 5 & 6 Long Lead","","","","","","0","243.5","0","0","486.996","243.496","0","0","0","0","0","","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-2-79161655891ee48c731e93492d55a95e444fdba7","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6","root","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-3f32c266aef149a2fb7ba1f68413b5313e03af3f"
"HEO 3 Long Lead","","","","","","0","0","0","0","124.555","124.555","0","0","0","0","0","","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-3-ba18f2b27c4e9b3b6df0387c773fd9cdcf12190d","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6","root","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-3f32c266aef149a2fb7ba1f68413b5313e03af3f"
"HEO 4 Long Lead","","","","","","0","0","0","0","53.596","53.596","0","0","0","0","0","","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-4-d4bf5b18a52244358ba321f8d6086325e9658840","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6","root","70cb66af7e62688b7f8bc5487e2fb6ccb5f456e6-3f32c266aef149a2fb7ba1f68413b5313e03af3f"
"AH-64E Apache New Build","See End Item P-5A/NA","See End Item P-5A","12","12","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-8eab77e98dba5c3a2c5ba60d80edf458f74170f7-0-f5102dfd1363e0f7462513de303b8cf696f37d03","12","84.264","146.121","0","230.385","","","","","","","","8eab77e98dba5c3a2c5ba60d80edf458f74170f7-0-3b6db55ae928bdc2f674c94228210e88eff66b5e","8eab77e98dba5c3a2c5ba60d80edf458f74170f7","root","8eab77e98dba5c3a2c5ba60d80edf458f74170f7-328ddb03efa8edbef2ba06b56e215620862bb404"
