"BudgetActivityNumber_val","BudgetActivityTitle_val","EndItemList_EndItem","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"5","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-3529d5433c8fd5362473b427be7c326ead271e14-0-23d08fdbde4a785b5bc64d07f1c4ac5411bbdf35","3529d5433c8fd5362473b427be7c326ead271e14-0-ab1652dff6dd8e5ef7014ae5ac344b8449331294","3529d5433c8fd5362473b427be7c326ead271e14","root","3529d5433c8fd5362473b427be7c326ead271e14-64b5428a01d4c6badc280dc3cc72b2b255fa366e"
"1","Combat Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-613d106dc067e375f12d0d29a8de2de819b3db1c","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-629a94aa22013ecc45f4b0f651f972ad30ad1002","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-b4258d88877f067a077502ed2b1cc47ef5b2acc6"
"4","Other Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-1-e44023224d0be8bcc040208edeb597b4c277c6db","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-1-2c8d8f0408d475634c380669c59cb9c6580d9fae","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-b4258d88877f067a077502ed2b1cc47ef5b2acc6"
"5","Modification of Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-2-0d0b39a5a80db47aaabb894eacfff124d0d1254e","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-2-0e2fc33561da6f9c0bc36950c8d361217cc80f74","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-b4258d88877f067a077502ed2b1cc47ef5b2acc6"
"7","Aircraft Support Equip & Facilities","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-3-14c25f8df5848b759f33251e5492797c14fb0e12","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-3-11a89b3de0f61112f2364c986e4576b69914086a","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-b4258d88877f067a077502ed2b1cc47ef5b2acc6"
"6","Aircraft Spares and Repair Parts","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-6982c7b29426b1ad83065256cc527fc536b24688-0-665388ec18eaa12dc38e66a239540e989468a9ec","6982c7b29426b1ad83065256cc527fc536b24688-0-bc2753399c5801e1c5cc3e7236add72e6ed12244","6982c7b29426b1ad83065256cc527fc536b24688","root","6982c7b29426b1ad83065256cc527fc536b24688-78d11129e5294c563df8cbf378f310fc3c734ddf"
"4","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-28ce3b3b29bd913885cf44d390027b6e75f58301","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-9a38e3088fa2fed407f1ce8bea27f618e258ba51","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-524adf9886639cde0d281984e810c8047acca58f"
"2","Other Missiles","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-8340b013768de20f90ba70ee58635804830e2455-0-4f8b053c32df89033cceb0d974e516853f4e355d","8340b013768de20f90ba70ee58635804830e2455-0-57130060505d5a18c6876662dd999d4a1fbe57dc","8340b013768de20f90ba70ee58635804830e2455","root","8340b013768de20f90ba70ee58635804830e2455-67b1291947b8360fe43ffffa1c5923263e129a92"
"3","Torpedoes and Related Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-8340b013768de20f90ba70ee58635804830e2455-1-650fba4be0dcf19bda30fde55f729d299c2d87a6","8340b013768de20f90ba70ee58635804830e2455-1-20ed7df730f44e6a849e748c79d3054c1b0bd760","8340b013768de20f90ba70ee58635804830e2455","root","8340b013768de20f90ba70ee58635804830e2455-67b1291947b8360fe43ffffa1c5923263e129a92"
"4","Other Weapons","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-8340b013768de20f90ba70ee58635804830e2455-2-44e635e5239c70e5caeaf9e328bff88dd99a333d","8340b013768de20f90ba70ee58635804830e2455-2-afb907c58dfcd33dce29b522cb174c63ca0626aa","8340b013768de20f90ba70ee58635804830e2455","root","8340b013768de20f90ba70ee58635804830e2455-67b1291947b8360fe43ffffa1c5923263e129a92"
