"Name_val","LineItemNumber_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOneBase_val","Cost_BudgetYearOne_val","Cost_BudgetYearOneOCO_val","Cost_AllPriorYears_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","MDAPCode_val","P1LineNumber_val","P1LineItemNumber_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Spares for 6K Cog","9710","6.55","6.522","6.694","6.694","","","","","","","","","","","","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-b5ffa3e7cbdd1f96f5199f1a5a931ff8221ce8bc","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-613248cfdbc3c2ff9954fa01f116de9408e59084"
"Spares for Adversary","9711","0.787","1.336","1.151","1.151","","","","","","","","","","","","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-1-1b7182fa64139324355ced42066787ffda3e3001","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-613248cfdbc3c2ff9954fa01f116de9408e59084"
"Spares for HQ Replenishment","9712","44.197","46.875","30.408","31.908","1.5","","","","","","","","","","","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-2-f1b2f6fc51a5fa8b6e2302e8b683b019326d8b5e","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-613248cfdbc3c2ff9954fa01f116de9408e59084"
"Spares for AOA Repairables","9713","841.264","887.699","766.849","766.849","","","","","","","","","","","","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-3-6f15c824572183bfbfc015f8d4187038cf6e44b9","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-613248cfdbc3c2ff9954fa01f116de9408e59084"
"Spares for AOA Consumables","9714","55.01","60.385","58.536","58.536","","","","","","","","","","","","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-4-e9e68b2f9c300797e21c6baff8323b718395ca9a","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-613248cfdbc3c2ff9954fa01f116de9408e59084"
"AIM-9X Tactical Air Intercept Missile","MO9BAI","5.445","5.513","5.565","5.565","0","5.403","5.669","5.765","5.863","5.967","0","45.19","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-cea2c7bfeddec7a5fad7582f5ad5830bb57bf63e","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"Arms Control Implementation","M30MLG","0.695","0.692","0.685","0.685","0","0.593","0","0","0","0","0","2.665","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-1-8c4abf8527e4a3f9198397a57555adc0ff4396fe","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"AIM-9 Sidewinder","M09HA1","5.275","5.242","5.45","5.45","0","5.435","5.53","5.585","5.68","5.781","0","43.978","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-2-4db8760dde3760b30576e1387660ce60f9965fa6","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"AGM-86 Air Launched Cruise Missile (ALCM)","MALCBG","4.767","0.496","3.232","3.232","0","4.561","2.936","2.3","2.339","2.38","0","23.011","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-3-a15da73e94c98fcc5c853a9a144214864b4241f6","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","40.536","23.857","32.912","32.912","0","40.261","47.886","53.26","51.357","53.949","0","344.018","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-4-a3b3339ff3813ee0f4ca4c2ef54a8cf28ca8dcfb","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"AGM-88A Tactical AGM Missile (HARM)","M88AAG","3.44","3.484","3.516","3.516","0","3.488","3.582","3.643","3.706","3.771","0","28.63","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-5-55d0d338129101597a4fae2ba8f0b6bd52343725","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"AIM-120 Advanced Medium Range Air to Air Missile  (AMRAAM)","MAMRA0","0.799","0.81","0.817","0.817","0","0.809","0.832","0.847","0.861","0.877","0","6.652","185","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-6-fe9ca72765c06c885033b5cc3874f276aaad2dde","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"AGM-65D Maverick","M65DAG","1.481","1.492","1.506","1.506","0","1.497","1.534","1.559","1.587","1.615","0","12.271","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-7-072da5c62d7affa5c25b66e4c4482be604685d25","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"Predator Hellfire Missile","PRDTA2","0.296","0.294","0.292","0.292","0","0.299","0.297","0.301","0.307","0.313","0","2.399","","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-8-378814a918887cc9a91ee8f9d7efee07aacedf91","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"Small Diameter Bomb","SDB000","7.913","3.237","10.555","10.555","0","8","9.785","8.084","8.223","8.37","0","64.167","439","","","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-9-2f2f99a9e267547d33051797e12e8efd79a16887","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565"
"Tomahawk","2101","7.427","70.347","39.815","39.815","","","","","","","","","","","","8340b013768de20f90ba70ee58635804830e2455-0-9b5dcb726a99a14230e9358e74a964cf8bd201b5","8340b013768de20f90ba70ee58635804830e2455","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","8340b013768de20f90ba70ee58635804830e2455-0-4148805c051f96d70f84eb032e5bc81ce3798731"
