"BudgetActivityNumber_val","BudgetActivityTitle_val","EndItemList_EndItem","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"7","Aircraft Support Equip & Facilities","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-d4379b0e407fe0cc86eb135dc44c4ee14857db81","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-0-613248cfdbc3c2ff9954fa01f116de9408e59084","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8","root","54f73bfd10390d52fbfd95c4b1b27f5765ff41c8-b4258d88877f067a077502ed2b1cc47ef5b2acc6"
"4","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-f40a9a4435a7a4e57ea5f5218f1bd09745f49045","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-0-3cf1882caf0b63154ade32b4667a1c22a6111565","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc","root","6e236db8f5d794e3d1fc82d25c8aeac6642b59cc-524adf9886639cde0d281984e810c8047acca58f"
"2","Other Missiles","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-8340b013768de20f90ba70ee58635804830e2455-0-0ebad2eb7b2c34f65e7f13a4dc097f2407619c1d","8340b013768de20f90ba70ee58635804830e2455-0-4148805c051f96d70f84eb032e5bc81ce3798731","8340b013768de20f90ba70ee58635804830e2455","root","8340b013768de20f90ba70ee58635804830e2455-67b1291947b8360fe43ffffa1c5923263e129a92"
"3","Torpedoes and Related Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-8340b013768de20f90ba70ee58635804830e2455-1-47adeab6add1a4750f28c0f212a9749522ae0267","8340b013768de20f90ba70ee58635804830e2455-1-d32493fa0205f6a0b3744785df23ed7b3c9fc1ce","8340b013768de20f90ba70ee58635804830e2455","root","8340b013768de20f90ba70ee58635804830e2455-67b1291947b8360fe43ffffa1c5923263e129a92"
"4","Other Weapons","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-8340b013768de20f90ba70ee58635804830e2455-2-a6f66180e34e14089c09d760d395a12f3383edda","8340b013768de20f90ba70ee58635804830e2455-2-340b963aa8eb24d90e6f1932d9b38dd5a4731b59","8340b013768de20f90ba70ee58635804830e2455","root","8340b013768de20f90ba70ee58635804830e2455-67b1291947b8360fe43ffffa1c5923263e129a92"
"1","Ships Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-0-afe9223b3956f234ca5f2711a684b86f148fe5c8","ca77ebc5041c8e451a988d4c7dae3de7425b13df-0-df84c5b477695ea5300d6fb17b841b018c1362f2","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"2","Communications & Electronics Equip","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-1-3b9f0cd96b6b8b88e1a936c474645df1b80aff8c","ca77ebc5041c8e451a988d4c7dae3de7425b13df-1-002b099a04c860d2958fb387271b5d7a0e65b422","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"3","Aviation Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-2-5ffb76dc777ab4076592416c05e04b4f7673500e","ca77ebc5041c8e451a988d4c7dae3de7425b13df-2-846deef3e2db526247afd53e6c9ab73b5ce6c141","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"4","Ordnance Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-3-6d1c33e00ead4481d80be95657ba6039c453c89a","ca77ebc5041c8e451a988d4c7dae3de7425b13df-3-07d4bf22ba0e683550ca923133f2a84bb1363d26","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"8","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-4-1fa51b83cbd6e3602a8127472d443c2092802918","ca77ebc5041c8e451a988d4c7dae3de7425b13df-4-22d929512b0ec55f965fd28b5b8f986e65291ab5","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
