"Date_val","Title_val","Description_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2014-04","M4 PIP  MWO  Field Conversion","M4 PIP Phase 1; MWO Initial Conversion; Ft Riley, KS","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-b7a780e8822c71389cfe048f170917d3c461284a","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2014-07","M4 PIP MWO Field Conversion","M4 PIP Phase 1; MWO Field Conversion; Ft Stewart/Hunter Army Airfield, GA","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-1-c9500dcbfc8c89d72c93417a8eb02ba2699cd829","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2014-08","Contract Awards","M4 PIP Phase 1 (ACC-NJ) Gas Tube recompete & (ACC-NJ) Ambidextrous Selectors (Delivery Orders)","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-2-4f46d1a4cab11872d2a96fd249e63d491528f5d3","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2014-10","M4 PIP MWO  Field Conversion","M4 PIP Phase 1; MWO Field Conversion; Ft Drum, NY","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-3-e3558537fe3714d9eca0083f00f57d2afd22af00","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2015-02","M4 PIP MWO  Field Conversion","M4 PIP Phase 1; MWO Field Conversion; Ft Bragg, NC","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-4-50d1f98e5671bc216ec76d586cfc54e63e7ecdda","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2015-06","M4 PIP MWO  Field Conversion","M4 PIP Phase 1; MWO Field Conversion; Ft Campbell, KY","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-5-963a2d51077d3fcbd6e270696f4a24da219facd1","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2015-11","M4 PIP MWO Field Conversions","M4 PIP Phase 1; MWO Field Conversion; Ft. Riley, KS","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-6-953f47e6730405c0676b77fb221169cd9576b5f7","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2015-12","M4 PIP MWO Field Conversions","M4 PIP Phase 1; MWO Field Conversion; Ft. Benning, GA","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-7-1d852e7c8919fef90205fc083887a3a6b80505c3","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2016-02","M4 PIP MWO Field Conversions","M4 PIP Phase 1; MWO Field Conversion; Ft. Polk, LA","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-8-fb94b3849a15359b8facafb6255cf1e47113af5c","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2016-03","M4 PIP MWO Field Conversions","M4 PIP Phase 1; MWO Field Conversion; Ft. Lewis, WA","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-9-f9880d038368d85350e796864b32487a3a176153","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2016-05","M4 PIP MWO Field Conversions","M4 PIP Phase 1; MWO Field Conversion; Ft. Carson & Ft. Hood, TX","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-10-a1796518765624dc8200ff0103c30cccabc6a5dc","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2016-09","M4 PIP MWO Field Conversions","M4 PIP Phase 1; MWO Field Conversion; Oklahoma National Guard","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-11-a208a32faa9f1458f707c4990fd73730e072886b","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"2011-08","Production Verification Test","XM205 Tripod","3adc3f1ff42084161fc00f2883ec382cfccade48-0-05c66923ceea990793b79fcf635fc07b340184a9","3adc3f1ff42084161fc00f2883ec382cfccade48","root.record.ItemExhibitList.P3AModificationItemGroup","3adc3f1ff42084161fc00f2883ec382cfccade48-0-163afaafc68b5aaeb396045de424dd151a04c174"
"2011-08","Operational Test","XM205 Tripod","3adc3f1ff42084161fc00f2883ec382cfccade48-1-3cbde6cde75191ce638d4ab025734b18fee347aa","3adc3f1ff42084161fc00f2883ec382cfccade48","root.record.ItemExhibitList.P3AModificationItemGroup","3adc3f1ff42084161fc00f2883ec382cfccade48-0-163afaafc68b5aaeb396045de424dd151a04c174"
"2012-08","Type Classification - Standard","M205 Tripod","3adc3f1ff42084161fc00f2883ec382cfccade48-2-acdd018e9f8bcffbce054f267b7ecaf86b8da8d1","3adc3f1ff42084161fc00f2883ec382cfccade48","root.record.ItemExhibitList.P3AModificationItemGroup","3adc3f1ff42084161fc00f2883ec382cfccade48-0-163afaafc68b5aaeb396045de424dd151a04c174"
"2013-10","First Unit Equipped","M205 Tripod","3adc3f1ff42084161fc00f2883ec382cfccade48-3-3b03d90da8d66069d1ef8e989707a0d69f0fc6b3","3adc3f1ff42084161fc00f2883ec382cfccade48","root.record.ItemExhibitList.P3AModificationItemGroup","3adc3f1ff42084161fc00f2883ec382cfccade48-0-163afaafc68b5aaeb396045de424dd151a04c174"
"2005-09","Milestone C Acquisition Decision Memorandum Signed","","476b757879b657f21d613882521fad43f99bb1cb-0-cf2742b9cfb9ab937ff7a7bb3f8c3c06a7e27f71","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup","476b757879b657f21d613882521fad43f99bb1cb-0-6d9a6c610bccd1bda5ebc1f659b65322cb4b0ded"
"2007-09","Initial Operational Test & Evaluation (IOT&E) Completed","","476b757879b657f21d613882521fad43f99bb1cb-1-b675e1920a4ea9133e3d7d46a323d05a6ecaabbc","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup","476b757879b657f21d613882521fad43f99bb1cb-0-6d9a6c610bccd1bda5ebc1f659b65322cb4b0ded"
