"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-5cc14ab758f6707cb3aa02e53170df695c9ae047","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-04a66f29db54e3b3aed879d1ab9c8b9ac90c5110"
"U-28","012921c780cec387dcf5463ca3a8e4374fce23f5-0-f0eff955390be83c2c8bbaca926e9d78d2b49825","012921c780cec387dcf5463ca3a8e4374fce23f5","root.record.ItemExhibitList.P3AModificationItemGroup","012921c780cec387dcf5463ca3a8e4374fce23f5-0-d9bb5d52948f2982b58ef99cbac40a14e9b801e6"
"U-28","012921c780cec387dcf5463ca3a8e4374fce23f5-0-38136149af03b021b8168c6924237e7d09574207","012921c780cec387dcf5463ca3a8e4374fce23f5","root.record.ItemExhibitList.P3AModificationItemGroup","012921c780cec387dcf5463ca3a8e4374fce23f5-1-a6e1d156fc85c4be19b6e272650ae9818783161f"
"F-35A","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-77933659deb75c60d856c4f584d47649a456e5f1","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root.record.ItemExhibitList.P3AModificationItemGroup","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-e06d145b0f031184263014274ff00e098d6476d0"
"F-35A","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-6e68637883e980549aea5f6c4781f2d05bc1d095","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root.record.ItemExhibitList.P3AModificationItemGroup","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-1-73c9983a32b955ba60292641f0bc94ffb32a1cd8"
"T-38","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-d8351780308e5de92db0d5d2f8d0b2847393aab9","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-d807b5b56c2274112f7c7a25b54876982be30be8"
"T-38","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-71cca47a676c381e3a6468d5bfd4052f2d647292","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-1-6b0bdcd4a625869ce92d4e4ee9403204f2fdd7fb"
"C-17","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-38596a7c97c36fbee51e272813439ee177eae0f8","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-4d87b67c16fe80dca3b2621088e5732fc857b134"
"C-17","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-c7bae5ae7670c152a14deaf8cd886f505af62b68","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-bf9e9608d0ff6db564ac9f62e4a2dc7468f24485"
"C-130H","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-037040c5b6bcaf5fd9c00f9e5e485ea789ba8b94","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
"MC-130H","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-b5878919aaa126f7872d18b7894d6a52aab3797a","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
"HC-130P","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-50fe5cb7f195b5aafcd5a207748a6187957a0e71","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
"HC-130N","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-3-5a2c36c0781b2d6ccafaae837f0a2fac4a2073f6","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
"EC-130H","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-4-0f841ced94c74e71be88f54f5f77602d8077c381","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
"AC-130U","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-5-36c153c5a312a0642fe68161c97d4ee1f1155a58","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
"CheyenneMountainComplex","0f261a6fd7b3518fdcc369133607071628fa1c40-0-fc55bbd5adc6a93db1729aee8b7822aaa4a3445a","0f261a6fd7b3518fdcc369133607071628fa1c40","root.record.ItemExhibitList.P3AModificationItemGroup","0f261a6fd7b3518fdcc369133607071628fa1c40-0-399bf84934180a6c65a04eaf718acfa95e1b2c32"
"NORADCheyenneMountainComplex","0f261a6fd7b3518fdcc369133607071628fa1c40-0-1f70fcb5179e208f67945842e2aaef41f315b9d9","0f261a6fd7b3518fdcc369133607071628fa1c40","root.record.ItemExhibitList.P3AModificationItemGroup","0f261a6fd7b3518fdcc369133607071628fa1c40-1-87d9248a429f04880a0d0bd59ee74e37dc79cbcf"
"C-32A","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-6b33a2003c25f00effd3687a702a758ab405eb60","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-d6d8d1b8b28a4a379347b762451291129c4ae0a4"
