"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"CONECT Kit:INSTALL KITS Group A (Active)","","17","12","12","9","9","6","56","","","","","","12.54","11.803","9.352","7.823","7.823","5.521","47.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-e2a3650bb3f3f3d325c2de6dd7a654c5edcc4912","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-6c69eafdacfc29b578f0cfcda622f40f00d1abe0"
"CONECT Kit:INSTALL KITS Group A (Reserve)","","1","5","4","4","4","4","18","","","","","","1.4","4.916","3.117","3.477","3.477","3.681","16.591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-2b662abb7b27a355ee6e4fb913d8f2608f88c616","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-6c69eafdacfc29b578f0cfcda622f40f00d1abe0"
"Concurrency:INSTALL KITS Group A (Active)","","","","","","","","","","","","","","134.728","101.29","12.93","153.82","153.82","345.376","1080.287","198.454","63.05","70.639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-6e03c70d65951503b96b093684cb073157977c04","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-ce3053bfa66bf60ccea2f95b807bdbfb88b98896"
"Aircraft Modification Kits:INSTALL KITS Group A (Active)","","65","20","11","18","18","14","150","11","11","","","","26.864","6.883","4.4","7.2","7.2","5.6","59.747","4.4","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-e03cd4269254295bf16ba20a326d63b7872b24bc","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-714634b8f6b9ca93a5d16ffa69cff6fa69d9cad1"
"ADS-B:INSTALL KITS Group A (Active)","","","","20","49","49","100","442","256","9","8","","","","","0.133","0.326","0.326","0.666","2.949","1.704","0.06","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-768d15c4bdb90ee80195b62443b7a2f9e19b0664","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-0560bc5395ba39ec0b5c80ced3604a7593eca32c"
"Heads-Up Display System:INSTALL KITS Group A (Active)","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-3a8c34a89f58aaa95640184425acc0b22aba1f83","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-1-6eb1a4354a6163e4369e7f6253792723f4080a2b"
"Mission Display Processor:INSTALL KITS Group A (Active)","","","","21","46","46","100","443","257","10","9","0","","","","0.248","0.543","0.543","1.181","5.231","3.035","0.118","0.106","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-d04ffcf779d8a9724ae404d1c3a8170405f0d966","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-2-c4ac2686663a185265c8a3aa0babc019b0ac0473"
"VHF Communication Radio:INSTALL KITS Group A (Active)","","","","21","49","49","100","442","255","9","8","0","","","","0.284","0.663","0.663","1.352","5.992","3.449","0.122","0.122","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-2bd6e1e62fc807b44d5155c9cc0afa9c18790e7c","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-3-4bce0da679190405ff3fee1842cd35f8cce1525e"
"VHF Navigation Receiver:INSTALL KITS Group A (Active)","","","","20","49","49","100","442","256","10","7","","","","","0.116","0.284","0.284","0.58","2.568","1.484","0.058","0.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-baa79d3834790685eac160665fc9db0f851e0581","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-4-0c19ed402149b7cd38746328fcc3b522b7f9042b"
"Hardware","","573","","175","","","","748","","","","","","30.35","","0.413","","","","30.763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-77df142ff4bb8e2adb8349065a1887db3c320c64","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-dee7d4a8c57c9e5d3453deb0929c046afeaf0924"
