"Name_val","Name_@footnote","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_Continuing_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Non-Recurring Engineering","","0.55","0.55","0","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","012921c780cec387dcf5463ca3a8e4374fce23f5-0-798f24fe648b203ced7f9964eaa15790ae992153","012921c780cec387dcf5463ca3a8e4374fce23f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","012921c780cec387dcf5463ca3a8e4374fce23f5-0-bcfcf99e8a5cce8544df0d8b9ab65c855a5a518f"
"1.2.1) CANES - Afloat First Articles - MIP - Organic","First articles are defined as necessary production design drawings, environmental (shock and vibration) qualifications, logistics and training artifacts as well as a certified tested baseline provided to the government for each platform first of its kind. First articles are separate from production units and must be bought prior to the procurement of the corresponding production units. Procurement Lead Time (PLT) is 8 months for First Articles (DDG,CVN, submarines, etc). All following production articles of the same variant require a PLT of 6 months. CANES First Articles are not installed. Average unit cost fluctuations are attributable to variances in system configuration requirements among platforms. A DDG/CG/LSD (unit level platforms) has fewer users and runs fewer applications than a LHD/CVN/LPD (force level platforms). Force level platforms are larger in scale compared to the unit level ships and represent a super set of users, applications and connected systems. The FY15 and FY17 units are Unit Level procurements. The FY16 procurement is a force level system.","","2.6","1.812","40.187","30.783","1.914","1.812","2.6","0.641","0.625","","","","8","1","1","1","1","1","1","1","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0856e8d1049ce4094573476f378103b2d0c7c16f-0-40ab189e42a486cac1184879da56384763ed8f91","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-c6e2e871702ee512af23f038a7ddad43484cd03d"
"1.2.2) CANES-Non-Recurring Engineering (MIP) - Organic","","","","","4.732","4.732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0856e8d1049ce4094573476f378103b2d0c7c16f-1-5052b954f19c34c860fd95b47b811ac3218bb914","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-c6e2e871702ee512af23f038a7ddad43484cd03d"
"1.2.1) CANES - Ashore First Articles - MIP - Organic","Production Lead Time is 8 months for First Articles. First Articles are defined as necessary production design drawings, environmental (shock and vibration) qualifications, logistics and training artifacts as well as a certified tested baseline provided to the government for each platform first of its kind. All following articles of the same variant require a Production Lead Time of 5 months for Ashore units and 6 months for afloat units. Total Ashore lead time, including 1 month Admin lead time, is 6 months. Ashore production lead times require one month less than Afloat production lead times due to the long lead time afloat production quality racks and minimized shock and vibration requirements for shore facilities. CANES First Articles are not installed.","","","","3.264","3.264","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0856e8d1049ce4094573476f378103b2d0c7c16f-0-7955301b02d689d86012021b3c68aa1531ff33ff","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-9a8e4ba463962b94ce7147bfdea7bef308218a60"
"1.2.1) Non-Recurring Engineering - NonOrganic","1.2.1 - Non-Recurring Engineering - Address engineering changes, obsolescence of hardware, correct deficiencies found during integration test and development test evaluation, and maintain cyber security compliance and field critical software updates.    CVN78 will deliver with several known AAG deficiencies that could not be corrected prior to delivery.  As a result additional funds allocated to the Non-Recurring Engineering cost element in FY18-21 are there to support these known deficiencies that will need to be corrected after delivery.  As the schedule to design, produce and install retrofit kits is fully defined, the exhibit will be updated to move funds to the installation kit and installation cost elements in a future budget cycle.","","1.596","","","","0.734","1.843","1.596","3.776","3.776","4.473","2.929","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-10a63adac40a5548c3483e4cc2bd80d6869ef994","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-2cc1ef735f4f6b64276f9fac314914b105b401f3"
"1.2.2) Data - Organic - Organic","FY15 and FY16 data funds required to update drawings and specifications to address deficiencies discovered during the SDD program.","","","","2.982","","0.966","2.016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-c21bffe547b8771602dbdf8e42d074b1a3ebce79","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-2cc1ef735f4f6b64276f9fac314914b105b401f3"
"1.2.1) Completion Kits - NonOrganic","FY 2017 completion kit is in support of a trainer with considerably reduced installation cost occurring in FY 2018. Installation cost for trainers is less because the install occurs in a lab based facility.","","1.81","","1.81","","","","1.81","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-a08c74fa1077cd2a8e21b59af8b730bf3213ff2d","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-07021733f69a3ed5275ff30f00d4ca93fd4e3727"
"2.2.1) Block II Upgrade Kits - NonOrganic","The 3 Block II upgrade kits procured in FY14 are shown under BLI 4216 Budget. They are part of the Oct 2013 Milestone Decision Authority approved re-baseline, which are Block II upgrade kits for currently fielded Block II systems. The kits procured in FY14 are planned to be installed as follows:  2 in FY16 (Blk II upgrade to CVN 71 and 75) and 1 in FY17 (Blk II upgrade to CVN69).  Kit Installation schedule is based on ship availability.","","","","","0","","","","","2.566","1.287","1.287","true","3","","","","","","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-4a868275a8519bd20e250ec1c571204cd01bdfd4","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-6d6fbd73913c7c18e63bab97e5cc899aa80c2d49"
"1.2.1) Non-Recurring Engineering - Organic","CE 1.2.1 - Non-Recurring Engineering addresses engineering changes, obsolescence of hardware, correction of deficiencies found during integration test and development test evaluation, and to maintain cyber security compliance and field critical software updates.","","0.349","","","","","","0.349","2.596","2.477","2.45","1.9","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-c45c3b1888fba96d0cacfa44c73b8b6cd4a88e06","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-0e9083e26182a7ee10a3b82b7f6b0b1a406d4760"
"1.2.1) NRE - Organic","Cost Element 1.2.1, NRE funding supports individual Engineering Change Proposals to correct expected obsolescence issues.","","","5.72","10.889","","","","","","1.774","1.575","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-5249aec010d51b6406ee8eee14a8688e0ef4e8aa","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-3d732a67757ccb1cc7f5f0740eaeca828ac4729d"
