"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","0","0.000","0","0.000","0","0.000","2","3.1","0","0.000","2","3.1","6","2.3","18","4.45","18","4.45","18","4.544","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-6702706d9832a9c4e06f1d4d96908f86ae852770","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-c0dde6e2d2b3219c12a1e0085ee4d3158f465cc0"
"Air Force Active","96","412.759","0","1.202","0","34.156","0","0.938","0","0.000","0","0.938","0","4.129","0","4.028","0","1.535","0","4.362","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-0f7286e21139dadaa896e752eac3f449c2eeef07","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-cf8eb2789fadcf8bf0d93cd47f0fce702e3b3f4b"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-dc7c5559e4ecaf5f90df2d9941ecb6a6cf287002","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-cf8eb2789fadcf8bf0d93cd47f0fce702e3b3f4b"
"Air Force Reserve","1","3.489","0","0.000","0","0.000","3","14.198","0","0.000","3","14.198","0","0.000","1","4.878","1","4.964","2","10.11","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-53a5b7d1f4a1aa4570d2bae53a836a3b74cff1fe","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-cf8eb2789fadcf8bf0d93cd47f0fce702e3b3f4b"
"Air Force Active","0","0.000","131","7.412","0","0.791","0","2.739","0","0.000","0","2.739","0","0.569","0","0.000","0","0.000","0","0.000","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-47e463e6a98627e0dc57620bd5abb7a899fbfb16","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-92df3255dd1c97aa737108691ff67d3e408e191b"
"Air National Guard","0","0.000","101","11.274","48","7.678","5","1.255","0","0.000","5","1.255","0","0.000","0","0.000","0","0.000","0","0.000","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-4c57e669392839490ed83fb77fe793ee745f0f67","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-92df3255dd1c97aa737108691ff67d3e408e191b"
"Air Force Reserve","0","0.000","71","7.88","19","3.271","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-be8f0525570d1eaca78f9c37248af97f6ea18d34","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-92df3255dd1c97aa737108691ff67d3e408e191b"
"Air Force Active","0","0.000","0","0.000","0","0.000","2","6.778","0","0.000","2","6.778","0","0.000","0","0.000","0","0.000","0","0.000","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-35f72c8bbdfb3a007d2ce91382569c405e40d046","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-5380417eed4da856309fa8100067057365c9f058"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","3.547","0","0.000","0","3.547","0","2.447","0","2.747","0","2.147","0","0.55","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-89a241e49b3b45cfb17bafd7001e22c4fc8ca16e","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-ba8c0849a61b3e16c50266ed23eec590644d7686"
"Air National Guard","0","0.000","0","0.000","0","0.000","24","4","0","0.000","24","4","23","2.875","28","3.5","17","2.125","16","2","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-aeb43e775d1b6c307d82799549911d27a50b7e62","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-ba8c0849a61b3e16c50266ed23eec590644d7686"
