"Name_val","Name_@footnote","Location_val","ContractDates_PriorYear_val","ContractDates_PriorYear_@footnote","ContractDates_CurrentYear_val","ContractDates_CurrentYear_@footnote","ContractDates_BudgetYearOne_val","ContractDates_BudgetYearOne_@footnote","ContractDates_BudgetYearTwo_val","ContractDates_BudgetYearThree_val","ContractDates_BudgetYearFour_val","ContractDates_BudgetYearFive_val","DeliveryDates_PriorYear_val","DeliveryDates_CurrentYear_val","DeliveryDates_BudgetYearOne_val","DeliveryDates_BudgetYearTwo_val","DeliveryDates_BudgetYearThree_val","DeliveryDates_BudgetYearFour_val","DeliveryDates_BudgetYearFive_val","AdminLeadTimeAfterOct1InMonths_val","ProductionLeadTimeAfterOct1InMonths_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Boeing","","Oklahoma City, OK","2015-05","","2016-05","","2017-05","","2018-05","","","","2016-02","2017-02","2018-02","2019-02","","","","7","9","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-1cb947acfd4823eb5e3c32ead5b25d1b815c5463","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-6c69eafdacfc29b578f0cfcda622f40f00d1abe0"
"Raytheon","","McKinney, TX","","","","","2017-03","","","","","","","","2018-01","","","","","3","10","012921c780cec387dcf5463ca3a8e4374fce23f5-0-4546c85f479e148bb0a408fce205cdaa1b6e966e","012921c780cec387dcf5463ca3a8e4374fce23f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","012921c780cec387dcf5463ca3a8e4374fce23f5-0-f54199288445ece3ba6c08e037c73f6c9951d3a8"
"Northrop Grumman Corporation","","Rolling Meadows, IL","","","","","2017-03","","","","","","","","2018-02","","","","","3","12","012921c780cec387dcf5463ca3a8e4374fce23f5-0-14b03d90436e5ec5013eaecee0cbead83fbbbb2a","012921c780cec387dcf5463ca3a8e4374fce23f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","012921c780cec387dcf5463ca3a8e4374fce23f5-0-bcfcf99e8a5cce8544df0d8b9ab65c855a5a518f"
"Lockheed Martin","","Fort Worth","2015-08","","2016-08","","2017-08","","","","","","2017-11","2018-11","2019-11","","","","","10","27","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-e159e433cb60de23c40b5786d35550b925279e70","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-cffa2b713f8d9dd2157d6572d924c613b3e3556b"
"Lockheed Martin","","Fort Worth","","","","","","","","","","","","","","","","","","0","0","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-014bee7a41f65f8b16043e43571c1cdb28a54b85","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-ce3053bfa66bf60ccea2f95b807bdbfb88b98896"
"Northrop Grumman Tech Services","","Herndon, VA","2015-08","","2016-07","","2017-07","","2018-07","","","","2016-08","2017-07","2018-07","2019-07","","","","9","12","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-e67d4cd473b5b052ee01b05e9e7b6abc4ed97686","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-714634b8f6b9ca93a5d16ffa69cff6fa69d9cad1"
"Boeing","","Chicago, IL","","","2016-01","","2016-10","","2017-10","2018-10","2019-10","2020-10","","2016-03","2016-12","2017-12","2018-12","2019-12","2020-12","0","2","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-b2d27bca97d68c8396af04dd2e75d2784c56d3f8","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-0560bc5395ba39ec0b5c80ced3604a7593eca32c"
"Boeing","","Chicago, IL","","","2016-01","","2017-10","","2017-10","2018-10","2019-10","2020-10","","2016-03","2017-12","2017-12","2018-12","2019-12","2020-12","0","2","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-d2cf4a811f3c9fcd43941d34688ddd37a6cf2e28","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-1-6eb1a4354a6163e4369e7f6253792723f4080a2b"
"Boeing","","Chicago, IL","","","2016-01","","2016-10","","2017-10","2018-10","2019-10","2020-10","","2016-03","2016-12","2017-12","2018-12","2019-12","2020-12","0","2","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-a142e7195c689aac485c383a4ddc62ca8e579816","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-2-c4ac2686663a185265c8a3aa0babc019b0ac0473"
"Boeing","","Chicago, IL","","","2016-01","","2016-10","","2017-10","2018-10","2019-10","2020-10","","2016-03","2016-12","2017-12","2018-12","2019-12","2020-12","0","2","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-5a91b2c0d7e7e20dbb66335b610155e338417acc","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-3-4bce0da679190405ff3fee1842cd35f8cce1525e"
"Boeing","","Chicago, IL","","","2016-01","","2016-10","","2017-10","2018-10","2019-10","2020-10","","2016-03","2016-12","2017-12","2018-12","2019-12","2020-12","0","2","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-cc8120d47cf8ad4b64a1635b1609aed398a1e091","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-4-0c19ed402149b7cd38746328fcc3b522b7f9042b"
"Multiple Vendors","CANES: Full Production Contract has 7 possible vendors on MAC award: Northrop Grumman Systems Corp, BAE Sytems Technology Solutions & Services, General Dynamics C4 Systems, Global Technical Systems, SERCO, Inc, CGI Federal Inc, DRS Laurel Technologies. This contract will be used for both production and tech refresh units.","Various","2015-04","","2016-02","","2016-11","","","","","","2015-10","2016-08","2017-05","","","","","1","6","0856e8d1049ce4094573476f378103b2d0c7c16f-0-6cda9a83c6d6842c67e0e36c68e2c0288714a33d","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-c6e2e871702ee512af23f038a7ddad43484cd03d"
"TBD (Competitive Procurement)","FY 2016 Contractor and location will be competed.","TBD (Competitive Procurement)","","","2016-02","","","","","","","","","2016-07","","","","","","5","5","0856e8d1049ce4094573476f378103b2d0c7c16f-0-ad95041644fa526877466165739cc48e81c4a4b4","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-9a8e4ba463962b94ce7147bfdea7bef308218a60"
"Raytheon","","Marlborough, MA","2014-12","","","","","","","","","","2016-03","","","","","","","2","15","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-e607ab1b5d515466fac8c610404283e4b996b4d4","08ea5ea32f265032470e50fb8e01b414aeb30db9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-1591647fd83204c6f430c12c92b2c21a02445309"
"Raytheon","","Marlborough, MA","","","2015-12","","2017-01","","","","","","","2017-03","2018-04","","","","","3","15","08ea5ea32f265032470e50fb8e01b414aeb30db9-1-9e4ba62ccc315a869f8baee68aa8fe2b310563ff","08ea5ea32f265032470e50fb8e01b414aeb30db9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-1591647fd83204c6f430c12c92b2c21a02445309"
"COMTECH","","Tempe, AZ","2015-04","","2016-01","","2017-01","","","","","","2015-07","2016-04","2017-04","","","","","3","3","08ea5ea32f265032470e50fb8e01b414aeb30db9-2-c6039e66036342e5a0ac12ee0fd5c4ffc460ac79","08ea5ea32f265032470e50fb8e01b414aeb30db9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-1591647fd83204c6f430c12c92b2c21a02445309"
"Raytheon","","Marlborough, MA","2014-12","","","","","","","","","","2016-03","","","","","","","2","15","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-47006f44a5db69456553cb77fde11b55eda66f6c","08ea5ea32f265032470e50fb8e01b414aeb30db9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-69e9ed1219c9c803cd2d95edb997a5aa1bf31066"
"New MFG - TBD","","New MFG - TBD","","","2016-01","","2017-01","","","","","","","2017-04","2018-04","","","","","3","15","08ea5ea32f265032470e50fb8e01b414aeb30db9-1-6455dff3aef23c1a58c0a99ca8ef37db181eaf85","08ea5ea32f265032470e50fb8e01b414aeb30db9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-69e9ed1219c9c803cd2d95edb997a5aa1bf31066"
"GM GDLS Defense Group, L.L.C","","Sterling Heights, Michigan","","","2016-02","","","","","","","","","2016-05","","","","","","8","3","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-c8d47633950f0728fc59f17d38239b363f1c9ebe","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-dee7d4a8c57c9e5d3453deb0929c046afeaf0924"
"GM GDLS Defense Group, LLC","","Sterling Heights, Michigan","2015-01","","2016-01","","2017-01","","2018-01","2019-01","","","2015-04","2016-04","2017-04","2018-04","2019-04","","","4","3","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-e0f21eaf9e72fcb184a2ef8e1e36391c738e9e88","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-1-ee27e4288f972a38b5e5b77284cce0355f6a9b36"
