"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","58.646","125.745","191.871","191.871","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-7f37ae0c229287ab9a6111ce0f22e88eb4232847","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-120151335831f7dd98a810172e3b35af13a6a9c0"
"Air Force Active","3.783","78.489","15.394","15.394","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-7030bd79d5ac739923ac437558fad673d02c8ad0","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-205a7f502f739e614a068ec2ceb291521609e8ac"
"Air National Guard","46.912","8.783","87.104","87.104","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-c803a9ef6bc69d3e79c4d759dcf5319cbdacb36d","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-205a7f502f739e614a068ec2ceb291521609e8ac"
"Air Force Active","2.793","8.605","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-4e7ace713cd81eed2bcce8dd52512798f5dee5f8","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-d35336446853358acca015d11221643c91148bf5"
"Air Force Active","8.6","8.48","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-044a5fa22e4ed879f1ad674355b805305131dcca","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-151ff086658ee66ff8bd812b6949f32a1968f890"
"Air Force Active","5.713","","15.616","15.616","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-cf07ce8f743d069e25b7952e96b4b07c607adf1b","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-f39fbfabf45a613b264360154946115d2ecd1684"
"Air National Guard","5.713","","16.484","16.484","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-1-3500db86669d521a14382262f3ce6a61c4b3432c","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-f39fbfabf45a613b264360154946115d2ecd1684"
"Air Force Reserve","2.143","","6.941","6.941","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-2-c5672e54a39dda4adab8b5425d3382843ae8b082","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-f39fbfabf45a613b264360154946115d2ecd1684"
"Air Force Active","53.616","","","","","","","","","155b73cac5251bfdf00c8af13d0212d9077b3f66-0-b690776659624d7df3d4efbbcbb6e4b83273055b","155b73cac5251bfdf00c8af13d0212d9077b3f66","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","155b73cac5251bfdf00c8af13d0212d9077b3f66-0-9f83b7c39e6ad50016e35f1555e55605f6a55aa3"
"Air Force Active","26.615","4.26","","","","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-0-4b71d0f54c8e847108d7d0e79fb23215af101dc8","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","287cfe335b97c43b198f0d680705134c5536e8a2-1-abf096f81123c62527e342819abdf90756585988"
