"ProgramElementNumber_val","ProgramElementFunding_Quantity_AllPriorYears_val","ProgramElementFunding_Quantity_Total_val","ProgramElementFunding_Quantity_PriorYear_val","ProgramElementFunding_Quantity_CurrentYear_val","ProgramElementFunding_Quantity_BudgetYearOneBase_val","ProgramElementFunding_Quantity_BudgetYearOne_val","ProgramElementFunding_Quantity_BudgetYearTwo_val","ProgramElementFunding_Quantity_BudgetYearThree_val","ProgramElementFunding_Quantity_BudgetYearFour_val","ProgramElementFunding_Quantity_BudgetYearFive_val","ProgramElementFunding_Quantity_ToComplete_val","ProgramElementFunding_TotalCost_AllPriorYears_val","ProgramElementFunding_TotalCost_PriorYear_val","ProgramElementFunding_TotalCost_CurrentYear_val","ProgramElementFunding_TotalCost_BudgetYearOneBase_val","ProgramElementFunding_TotalCost_BudgetYearOne_val","ProgramElementFunding_TotalCost_BudgetYearTwo_val","ProgramElementFunding_TotalCost_BudgetYearThree_val","ProgramElementFunding_TotalCost_Total_val","ProgramElementFunding_TotalCost_BudgetYearFour_val","ProgramElementFunding_TotalCost_BudgetYearFive_val","ProgramElementFunding_TotalCost_ToComplete_val","ProgramElementFunding_TotalCost_BudgetYearOneOCO_val","ProgramElementFunding_AllPriorYears_Quantity_val","ProgramElementFunding_AllPriorYears_TotalCost_val","ProgramElementFunding_PriorYear_Quantity_val","ProgramElementFunding_PriorYear_TotalCost_val","ProgramElementFunding_CurrentYear_Quantity_val","ProgramElementFunding_CurrentYear_TotalCost_val","ProgramElementFunding_BudgetYearOneBase_Quantity_val","ProgramElementFunding_BudgetYearOneBase_TotalCost_val","ProgramElementFunding_BudgetYearOneOCO_Quantity_val","ProgramElementFunding_BudgetYearOneOCO_TotalCost_val","ProgramElementFunding_BudgetYearOne_Quantity_val","ProgramElementFunding_BudgetYearOne_TotalCost_val","ProgramElementFunding_BudgetYearTwo_Quantity_val","ProgramElementFunding_BudgetYearTwo_TotalCost_val","ProgramElementFunding_BudgetYearThree_Quantity_val","ProgramElementFunding_BudgetYearThree_TotalCost_val","ProgramElementFunding_BudgetYearFour_Quantity_val","ProgramElementFunding_BudgetYearFour_TotalCost_val","ProgramElementFunding_BudgetYearFive_Quantity_val","ProgramElementFunding_BudgetYearFive_TotalCost_val","ProgramElementFunding_ToComplete_Quantity_val","ProgramElementFunding_ToComplete_TotalCost_val","ProgramElementFunding_Total_Quantity_val","ProgramElementFunding_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0101113F","2","2","","","","","","","","","","299.073","8.323","11.225","12.808","12.808","9.097","11.369","351.895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-40769a3a64bf01ef98041c3bbffb4741da712600","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-6c69eafdacfc29b578f0cfcda622f40f00d1abe0"
"0401130F","","","","","","","","","","","","27.411","","","","","","","27.411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-7d5b0913e068d48c552ad902681251d0ad5443f4","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-0dfb6ad2140b4471d9203de8b09637169dea4c78"
"0604933F","","88","3","12","10","10","7","16","24","16","","197.202","57.893","142.551","189.751","189.751","178.475","168.035","1246.12","157.738","123.617","30.858","","","","","","","","","","","","","","","","","","","","","","","","","","13c303358d96b5d5ea8905f55f1067bdf4b5ff21-0-058a2f75f9d4db4e8d848e626b51019a078f1dbf","13c303358d96b5d5ea8905f55f1067bdf4b5ff21","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","13c303358d96b5d5ea8905f55f1067bdf4b5ff21-0-76b6d42a561f5d333347b1b25f472ae82908f110"
"0305220F","","","","","","","","","","","","","","","14.867","14.867","2.71","","17.577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d9f1a4d303cc8a3fd75971300776822fbe16431-0-f0ba275308483a1d3918ca344d9f76a875ca55b1","1d9f1a4d303cc8a3fd75971300776822fbe16431","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1d9f1a4d303cc8a3fd75971300776822fbe16431-0-afb1d12cfc555d9aff937de18b0f9897540ea49d"
"0305220F","","","","","","","","","","","","","","","5.2","5.2","","","5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d9f1a4d303cc8a3fd75971300776822fbe16431-0-eb513c35935fa8bca0cf4b1217a7a1577eb56bdd","1d9f1a4d303cc8a3fd75971300776822fbe16431","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1d9f1a4d303cc8a3fd75971300776822fbe16431-0-02ba8e5326b40bddc2cfdd1b0d9124af679ba323"
"0401132F","","","","","","","","","","","","","","19.36","9.294","9.294","","","28.654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2fe8f17cfcc08a710f1d7a66780241bcc70db238-0-1655a4c2e4f34bf9d8ade1483cb309abce230b0e","2fe8f17cfcc08a710f1d7a66780241bcc70db238","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2fe8f17cfcc08a710f1d7a66780241bcc70db238-0-9865c449fcea1f27fc9e630cdde0c29b3711b945"
"0207417F","","","","","","","","","","","","197.813","122.931","73.277","40.123","40.123","7.382","1.981","443.507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34b520609a66f831fcd9ecb426d03fba535a8b9d-0-1af97ff4f70904ceceebfb4592a3472df433ea11","34b520609a66f831fcd9ecb426d03fba535a8b9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","34b520609a66f831fcd9ecb426d03fba535a8b9d-0-2cbb93c5dab11a0c19ab82124e1e7337e990de39"
"0207417F","","","","","","","","","","","","","15.626","13.742","19.28","19.28","0","0","48.648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34b520609a66f831fcd9ecb426d03fba535a8b9d-0-08755d7f3a8565052cd870c65dd40a79604b9ae5","34b520609a66f831fcd9ecb426d03fba535a8b9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","34b520609a66f831fcd9ecb426d03fba535a8b9d-0-ffd32acaa74918a8a102f482b439439c12685ec1"
"0401897F","","","","","","","","","","","","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36534adaa3f912f497e0482f9e7cb5a2147e37e1-0-cf7bd7c01cdbfcac1557e2c9bbeffb9501cebea3","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","36534adaa3f912f497e0482f9e7cb5a2147e37e1-0-746ea2adaca87305df1625bab945fa3f3cd177de"
"0205219F","","","","","","","","","","","","817.828","141.528","122.731","151.373","151.373","156.708","153.047","2408.12","163.482","66.382","635.041","","","","","","","","","","","","","","","","","","","","","","","","","","40be3a38a9f591087d03d78218ff07382943c389-0-17d15004ef481466ba774aaa5e3b777e4178e4f6","40be3a38a9f591087d03d78218ff07382943c389","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40be3a38a9f591087d03d78218ff07382943c389-0-88656ad9a1cb5cd4e2ce7dc8c624d9cc8f82ccf2"
