"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0101113F","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-fe08c54e68033da9d991e6402890ed32edc45acd","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-04a66f29db54e3b3aed879d1ab9c8b9ac90c5110"
"0604800F","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-3a2e20cd3a71d2e743f84484628f576a4225d562","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root.record.ItemExhibitList.P3AModificationItemGroup","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-e06d145b0f031184263014274ff00e098d6476d0"
"0604800F","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-7d38fee9907578fe29878d6ff6d2c33ac314165e","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root.record.ItemExhibitList.P3AModificationItemGroup","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-1-73c9983a32b955ba60292641f0bc94ffb32a1cd8"
"0604233F","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-68069763294640d7e4d46599c17b88eab8289a9d","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root.record.ItemExhibitList.P3AModificationItemGroup","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-1-6b0bdcd4a625869ce92d4e4ee9403204f2fdd7fb"
"0303238N","0856e8d1049ce4094573476f378103b2d0c7c16f-0-80210cd94911c9d335aafc80f8fde593ce4c703b","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup","0856e8d1049ce4094573476f378103b2d0c7c16f-0-e4647c5789b3ad361ba2879c0670e53b7c8b094d"
"0303238N","0856e8d1049ce4094573476f378103b2d0c7c16f-0-fefd513adf6329589bf7130f93cc1168a85d93af","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup","0856e8d1049ce4094573476f378103b2d0c7c16f-1-831e2302a7836bb6bfd9322dd9ddb7837d5a0624"
"0303109N","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-9cdd18e0936ead7e418ce5cfc85988cafe26b895","08ea5ea32f265032470e50fb8e01b414aeb30db9","root.record.ItemExhibitList.P3AModificationItemGroup","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-3882874ceb8f8f674fefb33b44cba7eefd1944f8"
"0303109N","08ea5ea32f265032470e50fb8e01b414aeb30db9-0-9ada8e40ecbb840a8f00e60add5548b6b8a64ba2","08ea5ea32f265032470e50fb8e01b414aeb30db9","root.record.ItemExhibitList.P3AModificationItemGroup","08ea5ea32f265032470e50fb8e01b414aeb30db9-1-21160cc6360db9941c7beba0ad42411682a67b50"
"0204228N","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-711cf49eb33e8f902d758c63d0d8982ccf4fadb2","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-2-e00fb0dd948b3d2484bb9833b4a7f5326b077df8"
"0204228N","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-b95727d2a92ef8711016a513987fe4228184977d","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-7-4b93e6b0ca43072e203f2a1d38fa17c0d659e0b3"
