"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","104.021","106.115","83.512","83.512","80.703","47.022","25.527","27.931","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-4a756deb4f3d4cd160c6a01da8139522d5f9a53c","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-04a66f29db54e3b3aed879d1ab9c8b9ac90c5110"
"Air Force Reserve","17.966","18.029","15.556","15.556","14.833","7.055","1.9","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-0b56d53ba7d9b76f126fb0e853704958219f5a9a","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P3AModificationItemGroup","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-04a66f29db54e3b3aed879d1ab9c8b9ac90c5110"
"Army Active","39.683","388.385","74.348","74.348","93.924","458.523","549.852","614.553","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-62ba3228178e90612cf4db7f22a3e1925ff2cf41","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-0ffdd1144d354bfbb76f1ae7e54f0e20d1d215b2"
"Air Force Active","1.921","2.002","11.607","11.607","0.674","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-8d7b014df114dbbb8bc1ccdfe2c22ea1837b83d2","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-4d87b67c16fe80dca3b2621088e5732fc857b134"
"Air National Guard","5.515","0.732","","","3.355","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-6a31a481fb7150fc2fabb38cc264fedc6361a4fb","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-4d87b67c16fe80dca3b2621088e5732fc857b134"
"Air Force Reserve","1.273","0.977","","","1.032","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-2-f4df6ed3237c91e48734822fd93cb418c25d2678","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-4d87b67c16fe80dca3b2621088e5732fc857b134"
"Air Force Active","33.335","27.723","6.303","6.303","55.905","6.321","2.401","1.668","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-079fa76eceab1545ed2a4a4d5ec6a2e32c2da4c3","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-bf9e9608d0ff6db564ac9f62e4a2dc7468f24485"
"Air National Guard","","","","","5.88","4.847","1.486","1.412","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-07d657343cfe3ced684ec41f87f181bdc7525e0d","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-bf9e9608d0ff6db564ac9f62e4a2dc7468f24485"
"Air Force Active","13.69","0.496","5.14","5.14","0.498","0.53","0.521","0.532","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-f96f3b0ef69f0675207b4b6a52b4bb5d4af495ed","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
"Air National Guard","","","","","7.134","","14.501","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-f1b5aa2b8effa50acbd22082843cbd291eea94d7","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-6a616e1f352074ec09d8ab140cb5902448151133"
