"ServiceAgencyName_val","ServiceAgencyName_@footnote","ProcQuantity_val","ProcQuantity_@footnote","MonthlyDeliveryList_MonthlyDelivery","AcceptedBeforeOct1_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Navy","","1","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-e662350c45331433d84e25b1e3aee8c23d05497d","","","0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-cbc6ff0a65933708641593142e6264a47d464ec1","0a4c534a58d1236be0fa742e4dd399dc1ad46767","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-3d8f0a232bc2d625e29a03fbef0748d0b511d3cd"
"Navy","","1","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-431cb120a0e5a43866854d9b245c35541a10ca5b","","","0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-4d7d8871a4244dfa4e5a94b9cc40be3dca8aecf8","0a4c534a58d1236be0fa742e4dd399dc1ad46767","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-a6c95788233a7bce616b6890ccc9a7891ef0057c"
"Navy","","42242260","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-17b24919638874d509d4dadfb2873b3873e43863-0-d08c839cde6dc0e98ddf4a8454318285838b016d","","","17b24919638874d509d4dadfb2873b3873e43863-0-a6f9cc1308852445f79c0e4a030fd176c72bc245","17b24919638874d509d4dadfb2873b3873e43863","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","17b24919638874d509d4dadfb2873b3873e43863-0-cd0972919b81c84415788fa88632a148f9662ec7"
"Navy","","4606797","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-17b24919638874d509d4dadfb2873b3873e43863-0-aaf4b49ede77986e3a87ca7866eeec63cefa6689","","","17b24919638874d509d4dadfb2873b3873e43863-0-6646d08c5c3557d639a3e1fffdfd7314cb378a3e","17b24919638874d509d4dadfb2873b3873e43863","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","17b24919638874d509d4dadfb2873b3873e43863-1-3c653763f123870ba2c21d692469e8b971681f08"
"Navy","","23843860","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-17b24919638874d509d4dadfb2873b3873e43863-0-e9fa4bc7e64895514c3163c470cda9f3cab2b2e6","","","17b24919638874d509d4dadfb2873b3873e43863-0-6a51f5bfb7db0c2cd879bf051332c50fbc946d42","17b24919638874d509d4dadfb2873b3873e43863","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","17b24919638874d509d4dadfb2873b3873e43863-0-fdad55264b0c7e9fa53e0a570662c5431fea9dcf"
"Navy","","5651440","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-17b24919638874d509d4dadfb2873b3873e43863-0-4b6d59f04188a394a601f4bdfee88accee3c24c8","","","17b24919638874d509d4dadfb2873b3873e43863-0-4310961484f81a2eb41e39a993c4cd92f0fd00bc","17b24919638874d509d4dadfb2873b3873e43863","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","17b24919638874d509d4dadfb2873b3873e43863-1-aa97f88902f2a9a6f2a4f920de7c68dd93428ed9"
"Navy","","28500000","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-17b24919638874d509d4dadfb2873b3873e43863-0-6ccb80cbb2a91c2c5d9b83f71ea03e9d3635d0e2","","","17b24919638874d509d4dadfb2873b3873e43863-0-7b3d196954d46023bc564b272772cfd4cc9aa549","17b24919638874d509d4dadfb2873b3873e43863","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","17b24919638874d509d4dadfb2873b3873e43863-2-0867ce2a7d78b55579353a92042aa58177d85893"
"Navy","","4693574","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-17b24919638874d509d4dadfb2873b3873e43863-0-da612b812e306e21a56fcda36859043407b61f71","","","17b24919638874d509d4dadfb2873b3873e43863-0-acf9306d1fac54c63a1154c2f66ff8b30ce61899","17b24919638874d509d4dadfb2873b3873e43863","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","17b24919638874d509d4dadfb2873b3873e43863-0-60252f2c067f482a6799881f77b63971d70d57bb"
"Navy","","1","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1e637b22db16df80b558bbaf4b53b6bd23fd2a18-0-b95a5c73ccf17a4a23bfd13e657e2014d4ed6447","","","1e637b22db16df80b558bbaf4b53b6bd23fd2a18-0-ff1e6b7266c94712397240eb821aed12324d9047","1e637b22db16df80b558bbaf4b53b6bd23fd2a18","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","1e637b22db16df80b558bbaf4b53b6bd23fd2a18-0-0f381222f875813b0a318be8a536f7e3aa8f31b2"
"Navy","","4","","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-236bf61781ba995af2f78f66d0fc1c7e43e7a0bd-0-d67990dba5b6beb01255cc6afc3e6cdbf9b658be","","","236bf61781ba995af2f78f66d0fc1c7e43e7a0bd-0-cb0f20820eee8c7f6af4c534030105f36600d922","236bf61781ba995af2f78f66d0fc1c7e43e7a0bd","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","236bf61781ba995af2f78f66d0fc1c7e43e7a0bd-0-0882450cd542ba751c23f221e9e1a956c7c93755"
