"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-c337322be638c645109db2c8d93323d7a52e17d1","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-2b7f5ef36c0f12bda5724f820200486f9d32771c"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-fb2e6a75f722fb2b3438c930b7a0e3e322a8c321","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-7b2ebe9b76366730e38cc0f2887ff4271b30de26"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-140b88e6aaacb0c0500c72d06eadd0926d8d3be5","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-2-7882590159be7aa2d90e789019bb194d5aa617fa"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-96e96bc5205d9f89f30210bb91e53a8be7db0328","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-3-4adc579215dcb911371b89838152a3ae615b6f83"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-f50f9f0cfa439905283cb3ad43a01c33ca968324","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-4-3c94a60cba7354f4d4270281c0921d7724d0b777"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-086bdeee9e8974187c28b43ab6757c1fdddbd748","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-5-17a3391efe9020d1179bc3d3e3019853c9dc5b55"
"B-52","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-1548e64e6bbd5d95a3b1e580396b9f240bd2dc55","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-6-efb286ac21d2521aca0f6c30cc4142feb2642252"
"B-52","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-47f4f7e72d09ad2a690dd0ec74b3494c2a9d9ed7","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-7-d1629e1691f71fcfb6c57f0e2d23174e68ada8fa"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-f04cabd8ac9a5d81926830073a547b53d91ee89f","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-8-006137f2a61ce74d0e8ffaad6d7995846f04518e"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-dd35637454a38af6b07efae05dcccae91e20b835","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-9-c67787bbf3f35baec068d39fadb385edc819c254"
"B-52H","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-be7657464a587d7167af4ce1321e653399d4c4d9","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-10-c26c90626d6dcdc7790651d885bd38575e0fd255"
