"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","13.26","0.883","0.501","0.501","0.908","0.924","0.94","0.957","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-5d50955bc9ddbf629ff7d5fbf9d9ea260b59919a","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-2b7f5ef36c0f12bda5724f820200486f9d32771c"
"Air Force Reserve","3.744","0","0.388","0.388","0","0","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-02001aff35015601a02cc8677a974b4d44abeca8","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-2b7f5ef36c0f12bda5724f820200486f9d32771c"
"Air Force Active","7.486","14.472","3.691","3.691","27.888","19.015","","0.669","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-a18c0768783b0bea4e85e881c6e19527836e072a","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-7b2ebe9b76366730e38cc0f2887ff4271b30de26"
"Air Force Reserve","","","","","1.698","2.66","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-3ba0577aea0badc5e7b54ad6e7794349caf8a655","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-7b2ebe9b76366730e38cc0f2887ff4271b30de26"
"Air Force Active","1.635","2.39","2.406","2.406","2.456","2.5","2.544","2.59","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-643b778bb325455a745a6b3c4b9746bde67b43cd","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-2-7882590159be7aa2d90e789019bb194d5aa617fa"
"Air Force Active","0.933","0.099","0.196","0.196","","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-2ecac8fd374880499295ebf027a943137ca1076f","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-3-4adc579215dcb911371b89838152a3ae615b6f83"
"Air Force Active","","","","","","7.398","14.629","14.394","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-6900806ed1dc3ca8e75e7c6bc9bfe43ab9774991","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-4-3c94a60cba7354f4d4270281c0921d7724d0b777"
"Air Force Reserve","","","","","","1.232","2.639","3.378","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-5e5454ba291616e9f4b35237dbc5aac45b169736","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-4-3c94a60cba7354f4d4270281c0921d7724d0b777"
"Air Force Active","","","","","","","5.855","13.105","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-70946223274f280f6028ebeb86a1bc05732fba33","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-5-17a3391efe9020d1179bc3d3e3019853c9dc5b55"
"Air Force Active","","","","","1.806","","11.085","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-4ef1e059d77bb5bd6ef263abdf0dcf298a6f9b0c","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-6-efb286ac21d2521aca0f6c30cc4142feb2642252"
"Air Force Active","","","0.845","0.845","2.374","2.381","2.431","2.482","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-8003a8bb9db615b399310405618398f14a228f2e","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-7-d1629e1691f71fcfb6c57f0e2d23174e68ada8fa"
"Air Force Active","","0","0","0","0","0","5.182","9.096","0","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-be1137f4d26435be7465068aabe220f061aa4d73","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-8-006137f2a61ce74d0e8ffaad6d7995846f04518e"
"Air National Guard","","0","0","0","0","0","0","0","0","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-6fa350a6765dd21f716da20f55bce1fc5fb2e462","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-8-006137f2a61ce74d0e8ffaad6d7995846f04518e"
"Air Force Reserve","","0","0","0","0","0","3.75","0","0","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-2-2140550895dcb52fd983d740f5b9c8a5b69246f5","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-8-006137f2a61ce74d0e8ffaad6d7995846f04518e"
"Air Force Active","","","","","","14.88","17.863","21.842","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-73e209666f461460ac746aac7d7973ea063f653b","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-9-c67787bbf3f35baec068d39fadb385edc819c254"
"Air Force Active","11.158","2.488","0","0","0","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-292581c5410925ce66ebdb916fe3d8ffa193c8aa","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-10-c26c90626d6dcdc7790651d885bd38575e0fd255"
