"ItemList_Item","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_Quantity","CategorySubtotal_UnitCost","Name_val","Name_@footnote","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-ca0a10bea09235f51524b40aee37f98dc517f6c4","14.486","40.127","20.768","9.952","0","9.952","37.579","51.446","67.382","68.987","0","310.727","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-51c7890244a82a920c739582fd6f5367fdc5998f","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-c1ad2a81f8238f62dbc621c31fc570ea681410b0"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-014b05d1720fd7a436a2ed311b91d4a028e9144d-0-8c262bd967536f50f03605aa0186adcd2edd10df","0","6.925","5.612","5.714","0","5.714","","","","","","","","","","Uncategorized","","","014b05d1720fd7a436a2ed311b91d4a028e9144d-0-3214c46559927f1d0102ee833ef6f6fcf0a7d9a9","014b05d1720fd7a436a2ed311b91d4a028e9144d","root.record.ItemExhibitList.P40AItemGroup","014b05d1720fd7a436a2ed311b91d4a028e9144d-0-3119b886a16b4ba2d998f593b424aa17ff7ab564"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-031b56bfcc107318fb3bdd586c3ca132e6f56fe6-0-0089d4d5017ba4502e7ec7435aac5f17de002ef8","0","0.027","0","0","0","0","","","","","","","","","","Uncategorized","","","031b56bfcc107318fb3bdd586c3ca132e6f56fe6-0-5ca83f62b72984a78a1b643e9de13735552b7c2c","031b56bfcc107318fb3bdd586c3ca132e6f56fe6","root.record.ItemExhibitList.P40AItemGroup","031b56bfcc107318fb3bdd586c3ca132e6f56fe6-0-1d889da8d6b0289eb45ad837417c9fa6b1169d88"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-037a4fc3482e176bf869d16b6f76de7520a05ab4-0-91540ef56ce60a0f183238617bef11d29ab43644","","29.989","58.266","38.89","0","38.89","","","","","","","","","","Uncategorized","","","037a4fc3482e176bf869d16b6f76de7520a05ab4-0-bed09efc7e42cdf8d83a95827106ee668ef2d46b","037a4fc3482e176bf869d16b6f76de7520a05ab4","root.record.ItemExhibitList.P40AItemGroup","037a4fc3482e176bf869d16b6f76de7520a05ab4-0-4dfe28f354a83f7e4b925beabd728f50ee7c4ab2"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-7a2e13d9ef911e414edee1fc5233725d11f19e18","","0","6.06","0","0","0","","","","","","","","","","Uncategorized","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-b587f0816963e9cce52d77c35468730268a43d1e","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-0-bb661902c859b4c1b7700b5f942d157650ae6850"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-4df26c1c33da437ad318c4f039ddba5c40ae744d","","0","2.499","0","0","0","","","","","","","","","","Uncategorized","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-a3ef586c9a5ba05b0594ad44fda7c31b7bb44b47","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-1-3d58a133918a91176a07f87aad5c6102e3b826a3"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-d28331039f32eb640e2c0b57bb17c33785d3e709","","0","3.439","41.817","0","41.817","","","","","","","","","","USCYBER COMMAND","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-9805d09e6df9376eb82b8288ef35096deb434eb5","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-2-fe5634c2e497d00ee972b9b5187d93782f1801fa"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-7ce2f3a81c6df6c823d393024a7df42544e6f420","","0","0","5.812","0","5.812","","","","","","","","","","AFSPC","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-cd6501af0d61b90c31f25620e04307c640efb99c","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-3-aae12b6bc016c7e256938b53ee941fbb12122c5b"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-f25df1b3dc84bb2597ee458a4e81ffaa7a47f10c","","1.072","0.814","0.971","0","0.971","","","","","","","","","","Uncategorized","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-06768b66c44ff5a6bbe70fb12292930509581eab","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-4-79c0ce04d3edc30184a526656ee2c25231893060"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-43d7d00497cafb1053d7ec6fc29682dc0b236bde","","0.846","0","0","0","0","","","","","","","","","","Air Force Network Operations (AFNETOPS)","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-73e34ab7fa341b93b9b7017df415b9ba48b8daab","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-5-b96035aeefb9180bd7bf34cdbbbe197bb1ba6c90"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-f4fab0ef732a10eb50af1da6359b44d9c98aa328","","36.884","15.574","0","0","0","","","","","","","","","","AFSPC E&I","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-05bf779ed9b35a000d58f4c7ab1c47030b539ef6","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-6-1f0736e9e9b799cc09ac61e748de43d35aff8caa"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-8cfcec5f7a4e0c324319c0bb1bfb3dfd8dfbfe0c","","12.702","18.374","36.578","0","36.578","","","","","","","","","","ITSM - Tactical AF's","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-df1f43753ab0ea1e4eab5ecf2c4811b804b5e402","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup","03b29a7857f1e54db06f9825b28d4eed204735b6-7-aec963f7f8bbf2265ceafdef0b2f1bdebb3b73d1"
