"Name_val","Name_@footnote","CategoryList_Category","TotalCost_TotalCost_AllPriorYears_val","TotalCost_TotalCost_PriorYear_val","TotalCost_TotalCost_CurrentYear_val","TotalCost_TotalCost_BudgetYearOneBase_val","TotalCost_TotalCost_BudgetYearOneBase_@footnote","TotalCost_TotalCost_BudgetYearOneOCO_val","TotalCost_TotalCost_BudgetYearOne_val","TotalCost_TotalCost_BudgetYearTwo_val","TotalCost_TotalCost_BudgetYearThree_val","TotalCost_TotalCost_BudgetYearFour_val","TotalCost_TotalCost_BudgetYearFive_val","TotalCost_TotalCost_ToComplete_val","TotalCost_TotalCost_Total_val","TotalCost_TotalCost_Continuing_val","ModificationItemsIndicator_val","Remarks_val","OverallHistoryPlanningRemarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"B-52","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-ff849cf3038fd4bff91812f1de49f8d89be19f12","14.486","40.127","20.768","9.952","","0","9.952","37.579","51.446","67.382","68.987","0","310.727","","true","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-c1ad2a81f8238f62dbc621c31fc570ea681410b0","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root","00a7ac30601f89dbd482dd9b3d95bc21c4349755-33831026485083448e9ee9bb3d5225edf6c2dcc8"
"Explosive Ordnance Disposal (EOD)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-014b05d1720fd7a436a2ed311b91d4a028e9144d-0-7c2580ccf31e45cafa1df16dc1691f536055559c","0","6.925","5.612","5.714","","0","5.714","","","","","","","","","","","014b05d1720fd7a436a2ed311b91d4a028e9144d-0-3119b886a16b4ba2d998f593b424aa17ff7ab564","014b05d1720fd7a436a2ed311b91d4a028e9144d","root","014b05d1720fd7a436a2ed311b91d4a028e9144d-b99bf111bb77957a3019cde473491f9616cb6964"
"Other Aircraft","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-031b56bfcc107318fb3bdd586c3ca132e6f56fe6-0-ec2f633ceca73df8775d60122a380ea2c5c51ac2","0","0.027","0","0","","0","0","","","","","","","","","No Budget Year FY17 funding requested; $.027M shown in FY15 is an error.","","031b56bfcc107318fb3bdd586c3ca132e6f56fe6-0-1d889da8d6b0289eb45ad837417c9fa6b1169d88","031b56bfcc107318fb3bdd586c3ca132e6f56fe6","root","031b56bfcc107318fb3bdd586c3ca132e6f56fe6-d8c066b50b101b100d7fc9be1a925f428bc337ab"
"CAD/PAD","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-037a4fc3482e176bf869d16b6f76de7520a05ab4-0-914d6f3b18fbcdc2e976dc397f781c7e1264aad0","","29.989","58.266","38.89","","0","38.89","","","","","","","","","","","037a4fc3482e176bf869d16b6f76de7520a05ab4-0-4dfe28f354a83f7e4b925beabd728f50ee7c4ab2","037a4fc3482e176bf869d16b6f76de7520a05ab4","root","037a4fc3482e176bf869d16b6f76de7520a05ab4-f5f48f485c44fd2f207910300b6e958dc06a0d73"
"MINUTEMAN Communications","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-0-c80f15a265f108fc29b8bc27674b0c59e7ce84ce","","0","6.06","0","","0","0","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-bb661902c859b4c1b7700b5f942d157650ae6850","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Contingency Operations","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-1-586e960a2deda1a678c627ec0e430bd2f697a85e","","0","2.499","0","","0","0","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-1-3d58a133918a91176a07f87aad5c6102e3b826a3","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Service Support to Other Core Missions - STRATCOM (CYBERCOM Activities)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-2-92b2b6620ecac54dd60fb45cf436672a60f89822","","0","3.439","41.817","","0","41.817","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-2-fe5634c2e497d00ee972b9b5187d93782f1801fa","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Communications and Information Technology","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-3-c5ab6c6149ae67935474db7562e0cdf588e82dce","","0","0","5.812","","0","5.812","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-3-aae12b6bc016c7e256938b53ee941fbb12122c5b","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"PE 0207138F - F-22A Squadrons","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-4-8072d3d358bbec0f603618fb8b20f0c705721bae","","1.072","0.814","0.971","","0","0.971","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-4-79c0ce04d3edc30184a526656ee2c25231893060","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"AF Network Ops and Command Comms","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-5-d74258bd8f9c86a0d4fa0defce741b3df1bb37ed","","0.846","0","0","","0","0","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-5-b96035aeefb9180bd7bf34cdbbbe197bb1ba6c90","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
