"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","3194","333.167","1794","238.805","1788","236.783","383","39.045","2171","275.828","","","","","","","","18a7bd201efe5e627c5fe9ca31452c7559105bcd-0-24d94467928740b1781bf15ef3db21e027d97104","18a7bd201efe5e627c5fe9ca31452c7559105bcd","root.record.ItemExhibitList.P5Item","18a7bd201efe5e627c5fe9ca31452c7559105bcd-0-a228ce9196df0ddb433499a44a805e632b6bf7be"
"Army Active","14","227.66","9","193.935","10","163.526","4","85.83","14","249.356","","","","","","","","1aec33e09429109b0c081525995730d17c579d78-0-e9265c737740f2e055bc29a2afb8c184bf1feda6","1aec33e09429109b0c081525995730d17c579d78","root.record.ItemExhibitList.P5Item","1aec33e09429109b0c081525995730d17c579d78-0-bcbcea1c93d78a5aec085336a37cd9fd0ba9a10f"
"Army National Guard","8","110.517","6","105.059","9","149.201","","","9","149.201","","","","","","","","1aec33e09429109b0c081525995730d17c579d78-1-8340ef1eccc42149712cfba94e9de527d389d3ca","1aec33e09429109b0c081525995730d17c579d78","root.record.ItemExhibitList.P5Item","1aec33e09429109b0c081525995730d17c579d78-0-bcbcea1c93d78a5aec085336a37cd9fd0ba9a10f"
"Army Active","21","49.255","45","67.868","11","25.9","34","40.46","45","66.36","","","","","","","","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-0-4294fe6a4f02e90f21c2fee90867578101b14b40","2230e8caed2c34d8ec27861c8d58f8ac51bcee85","root.record.ItemExhibitList.P5Item","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-0-7e2ec465deebd0b0806b5cc5b4558c76430d6159"
"Army National Guard","17","38.655","22","32.372","7","14.835","15","17.34","22","32.175","","","","","","","","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-1-fd0087fd9b6bba796ae3536f163c147f56733b1c","2230e8caed2c34d8ec27861c8d58f8ac51bcee85","root.record.ItemExhibitList.P5Item","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-0-7e2ec465deebd0b0806b5cc5b4558c76430d6159"
"Army Active","","","38375","53.669","1060","1.5","6644","10","7704","11.5","","","","","","","","37abed5ba924362eb186181ce91a2f866d69b1ff-0-681c4223108af324abe82b40fb0dac201995f42e","37abed5ba924362eb186181ce91a2f866d69b1ff","root.record.ItemExhibitList.P5Item","37abed5ba924362eb186181ce91a2f866d69b1ff-0-3a3d305d5e9f4b97dc90a842ae1c9770b230d2ff"
"Army Active","6240","16.903","44910","45.62","4511","5.1","29387","35","33898","40.1","","","","","","","","37abed5ba924362eb186181ce91a2f866d69b1ff-0-0c4c19b747b66b33084e8678d09ed0722d00b4fc","37abed5ba924362eb186181ce91a2f866d69b1ff","root.record.ItemExhibitList.P5Item","37abed5ba924362eb186181ce91a2f866d69b1ff-1-144a85bfcbc052862565e578e15f96c422f59bc5"
"Army Active","107846","123.865","54561","62.867","91866","89.876","","","91866","89.876","","","","","","","","37abed5ba924362eb186181ce91a2f866d69b1ff-0-01b73b2b31e772ef1e0da64509858d0d9eb21926","37abed5ba924362eb186181ce91a2f866d69b1ff","root.record.ItemExhibitList.P5Item","37abed5ba924362eb186181ce91a2f866d69b1ff-2-db43646ddd1b129232073aecddc2f121475ce712"
"Air Force Active","","17.016","","","","5.75","","6","","11.75","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-2106ad090b160ad1cf564de2b726c5da1cb0f7d1","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-c59f3c22d0e2ebde5c30863376f4e5882520f6e5"
"Air Force Active","4","10.07","34","5.5","53","3.171","","","53","3.171","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-23fbcf11169c49788d23babc7dd6177d0ebf5bc4","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-63498333486d550f6cdf3459c21fbf8f2283b1b3"
"Air National Guard","1","3.038","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-e3befcc03cc2035ea382c3471c10113f28a1fd40","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-63498333486d550f6cdf3459c21fbf8f2283b1b3"
"Air Force Active","","5.933","","1.7","","0.967","","","","0.967","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-0cae2b77637d56001f3506ffa36cd3a681673ce1","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-2-9a2a157c4be60b32e43657f81fdfd01838a62c3a"
"Air Force Active","","","","","","0.05","","","","0.05","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-4fc42495a1651b96ea1de71e0d239d41300afccf","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-3-b73306c3dd7cc522faa86225c7e25d9ce476f72d"
"Air Force Active","","","","","","1.3","","","","1.3","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-d653d58c85e552682641b92a1958fe592be52134","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-4-800e0d4f7334c5e76502673ebc298c8315cd5cc2"
"Air National Guard","","","","","","0.402","","","","0.402","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-b512d7386dc90c8364ee60e0ec9df305111398c0","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-4-800e0d4f7334c5e76502673ebc298c8315cd5cc2"
"Air Force Active","","","","","","0.1","","","","0.1","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-272d33a758e8894178779bbd238c862dfbbc1c4c","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-5-1c0061efb33b7b9dc243217e7c7097b623f0d6c9"
"Air Force Active","","","2","1.9","30","4.62","","","30","4.62","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-bfc93b11b93bb9ef09f9a74eaaeb31f0f6c25097","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-6-804d616d2dd053089833f02ee63e95f7d76bb20a"
"Air Force Active","7","12.113","11","12.3","8","7.743","","","8","7.743","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-b4937368f43adde078c694830f2e8ee1b9516415","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P5Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-7-4c03009a1b9e045972ca5e1cbbc00d560f633ebf"
"Army Active","","","","","","","38","35.6","38","35.6","","","","","","","","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051-0-d0fc1fd1ad0f1d2e8e7839874e7e8c12ec0b2903","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051","root.record.ItemExhibitList.P5Item","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051-0-0aa5e29e1b69f9352060d19bcd10cc23ea0eb9a6"
"Army Active","","152.072","","25","","","","25","","25","","","","","","","","54b860697a1b5fe331605492c5e59999b80b828a-0-7854e1b7a242e74e304575690abfc1f3441d8241","54b860697a1b5fe331605492c5e59999b80b828a","root.record.ItemExhibitList.P5Item","54b860697a1b5fe331605492c5e59999b80b828a-0-9553de96d0edfffd784789a93b45fc6271f5db98"
"Army Active","","279.685","","57.727","","240.286","","","","240.286","","","","","","","","54b860697a1b5fe331605492c5e59999b80b828a-0-a370dad547d40e22a20e6b19ace76e40da7041cb","54b860697a1b5fe331605492c5e59999b80b828a","root.record.ItemExhibitList.P5Item","54b860697a1b5fe331605492c5e59999b80b828a-1-7c4d6915a1f9a556130f69a37f3cbdd4acef3d10"
"Army Active","","11.605","","9.595","","8.191","","","","8.191","","","","","","","","54b860697a1b5fe331605492c5e59999b80b828a-0-c28d0652a98906b5b0abac21f056d9282037ed74","54b860697a1b5fe331605492c5e59999b80b828a","root.record.ItemExhibitList.P5Item","54b860697a1b5fe331605492c5e59999b80b828a-2-51fc08381c920e1050d12f8cfe2653f3b9a06089"
"Army Active","14","330.399","25","756.441","6","220.973","10","386","16","606.973","4","147.2","12","396.7","0.2","","","55195bdabb0f57e849f36d3f214dfc9f8d91c159-0-df86f4738c9338c9e2dc3393898164d839cb8544","55195bdabb0f57e849f36d3f214dfc9f8d91c159","root.record.ItemExhibitList.P5Item","55195bdabb0f57e849f36d3f214dfc9f8d91c159-0-3276014c2c5e5f32ff692ef913a858b7e4155276"
"Army National Guard","18","540","","","","","","","","","","","","","","","","55195bdabb0f57e849f36d3f214dfc9f8d91c159-1-1f09949a3e83d71e92d7f737c8ca17584f3ddac2","55195bdabb0f57e849f36d3f214dfc9f8d91c159","root.record.ItemExhibitList.P5Item","55195bdabb0f57e849f36d3f214dfc9f8d91c159-0-3276014c2c5e5f32ff692ef913a858b7e4155276"
"Air Force Active","","0.5","","","","","","","","","","","","","","","","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-0-3c30d91f1030005b91dce2f59557e10af7ce00c9","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root.record.ItemExhibitList.P5Item","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-0-19db1c9a8c51b8dc8a7585623e0feb5dd45d0040"
"Air Force Active","","19.434","","34.713","","29.859","","","","29.859","","38.14","","33.934","34.241","","34.965","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-0-fd84242b3f8eac5b1074d70b044f2f47654e140e","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root.record.ItemExhibitList.P5Item","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-1-29da898a95898b1236990892037b7af90fc52341"
"Air Force Active","","9.773","","0.000","","2.5","","5.695","","8.195","","","","","","","","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-0-0fa84c8f4d8116aa8768ec167e015206d34d0f08","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root.record.ItemExhibitList.P5Item","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-2-417b0a8c1c1cdb5b97bfc015a79d022a94c502c4"
"Air Force Active","","1.573","","5.322","","0.000","","","","0.000","","","","","","","","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-0-8a3a9d32a75007958358de48ab17693cc0f881c7","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root.record.ItemExhibitList.P5Item","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-3-c99ace77f5043ed8dbec7aa2496a0f5d72def83e"
"Air Force Reserve","","0.000","","0.000","","","","","","","","","","","","","","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-1-8bad10ab93dd788b248bcb44c5ea8a79e430e72c","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root.record.ItemExhibitList.P5Item","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-3-c99ace77f5043ed8dbec7aa2496a0f5d72def83e"
