"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","ItemNameSuffix_val","OCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2012","AFMC/AAC","2012-12","2014-02","153","0.031","true","2012-01","SS","FFP","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-0-8aa5b44aab40dd21927274c954f338d697836664","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5"
"2013","AFMC/AAC","2013-05","2014-07","123","0.040","true","2013-01","SS","FFP","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-e8bffc7f2fc474ab6a9270d703bcb40b0e23d50a","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5"
"2014","AFMC/AAC","2014-05","2015-07","148","0.036","true","2014-01","SS","FFP","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-2-c9b6d7e458264c8fb30305c4c9fd341d58772a86","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-3-9ef5402f39dc8548ae82b9343b0b3806ea4f29dc","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-4-00958bf9a26c13af062b5894fc3cc5f8545b5939","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5"
"2017","AFMC/AAC","2017-05","2018-07","130","0.038","true","2017-01","SS","FFP","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-5-7bc390fe71ab1ab74737f94a2560a53221052892","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-6-b0a22ef06ba1ae3ad0839781c7dfe05755194cc5","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5"
"2012","AFMC/AAC","2012-12","2014-02","153","0.031","true","2012-01","SS","FFP","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-0-11746abb2ec70ecc024bb08f55ab2661d2f10d6a","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4"
"2013","AFMC/AAC","2013-05","2014-07","123","0.040","true","2013-01","SS","FFP","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-a7c05e6263a6f1bbf588a6c29e58dd3051ea56d6","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4"
"2014","AFMC/AAC","2014-05","2015-07","148","0.036","true","2014-01","SS","FFP","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-2-2543894018d7adbfdd60fef4078aad431e90b4c6","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-3-d2da94b0f56996b054ce9a18c9e209d767957e0c","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-4-8f3271a70c02c10e571118a3522bfdc0b38ea9a3","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4"
