"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","IdCode_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_MinimumSustainingRate_val","ManufacturerList_Manufacturer_MaximumProductionRate_val","ManufacturerList_Manufacturer_Rate185_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"TEST EQUIPMENT (CMBRE)","7.735","0","0","7.735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-d125313944adba4407e1ba249fc0ff185d3a5e9d","6a09ede4f2deb21911da8c0694a83987a54d9b6a","root.record.ItemExhibitList.P5Item","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-6eeab53181a5e40d16dda79068c600a984fae9db"
"AIRBORNE TEST EQUIPMENT","68.83","0","0","94.908","3.611","4.331","4.331","4.395","4.478","4.563","4.7","","100","108","108","112","112","114","114","660","","","0.036","0.04","0.04","0.039","0.04","0.04","0.041","0.144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6a09ede4f2deb21911da8c0694a83987a54d9b6a-1-b6a0fd2a8cfeca774181e7f2bb609543a3eda162","6a09ede4f2deb21911da8c0694a83987a54d9b6a","root.record.ItemExhibitList.P5Item","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-6eeab53181a5e40d16dda79068c600a984fae9db"
"Containers and Cables","4.837","0.896","2.91","14.073","0.896","0.896","0.896","0.896","0.896","0.914","0.932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7bfe30010f85a819f1f1b2b6e22f830d47c56fdd-0-b52498b1642122d98639382c61c0ee34e689d3e5","7bfe30010f85a819f1f1b2b6e22f830d47c56fdd","root.record.ItemExhibitList.P5Item","7bfe30010f85a819f1f1b2b6e22f830d47c56fdd-0-6ef350cfa49e64f3168db2cf28a65900119eb16f"
"TEST EQUIPMENT (CMBRE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.536","0.2","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","7.736","","","","","","","A","","","","","","","","","","","","","","","bf1ae3d26bec15075c70502bd38411ad28fe5102-0-03e0f6b38c809f36a067d1fc299e16504abf0732","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item","bf1ae3d26bec15075c70502bd38411ad28fe5102-0-3a38b28b016130dad1c08c8db547d66995c1b804"
"AIRBORNE TEST EQUIPMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.121","4.797","0.031","153","4.971","0.04","123","5.391","0.036","148","5.391","0.036","148","5.562","0.037","150","5.662","0.038","150","4.996","0.038","130","0.000","0.000","0","87.881","0.091","966","0.039","112","4.381","","A","BOEING","ST CHARLES, MO","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-bf1ae3d26bec15075c70502bd38411ad28fe5102-1-4daa4e21b4b67c72cb5c8ba7b77302eb68ec6ae9","bf1ae3d26bec15075c70502bd38411ad28fe5102-1-cc291ec3089b46542b3a99c558a7693947dc3ea5","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item","bf1ae3d26bec15075c70502bd38411ad28fe5102-0-3a38b28b016130dad1c08c8db547d66995c1b804"
"Ground Support Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.388","","","","","","","","","","","","","","","","","","","","","","0.000","","","10.388","","","","","","","B","","","","","","","","","","","","","","","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-90a702c6861f73de3185e8b5f44b9515b62493cd","63a09f2d24509e3e49dc113e41bc696fedd4b156","root.record.ItemExhibitList.P5Item","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-a20f9292c4bbb773612735685c1c45dd048ac711"
"TEST EQUIPMENT (CMBRE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.536","0.2","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","7.736","","","","","","","A","","","","","","","","","","","","","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-0-74f8ef320f2ac08730b0a2c8eb163f19e825454f","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-0-f0253a8787b765ab3a4a3e820e535c998e2150da"
"AIRBORNE TEST EQUIPMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.121","4.797","0.031","153","4.971","0.04","123","5.391","0.036","148","5.391","0.036","148","5.562","0.037","150","5.662","0.038","150","4.996","0.038","130","0.000","0.000","0","87.881","0.091","966","0.039","112","4.381","","A","BOEING","ST CHARLES, MO","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-587fdc0409d9f4da48ca2b2615e80006fcd41fdc","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-0-f0253a8787b765ab3a4a3e820e535c998e2150da"
"TEST EQUIPMENT (CMBRE)","7.735","0.000","0.000","7.735","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","","","","","","","","","","","","","","206b00e57f5725c6a140976462b6501858345ebc-0-ec6755fac83e4bfee1bcd5829e7c696c92ab9a7c","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item","206b00e57f5725c6a140976462b6501858345ebc-0-a1fb566f7a14fbcea0e0e7c71dc705bedd9271a4"
"AIRBORNE TEST EQUIPMENT","56.6","3.5","0.000","85.271","0.000","5.576","5.576","5.682","5.018","4.406","4.489","","","150","150","150","130","112","112","754","100","","","0.037","0.037","0.038","0.039","0.039","0.04","0.113","0.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","BOEING","ST CHARLES, MO","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-206b00e57f5725c6a140976462b6501858345ebc-1-8988b395c9438a4b2741ef691c29d084b795c8b7","206b00e57f5725c6a140976462b6501858345ebc-1-361cce4ec18f58bb65bd7e014153382066cc384b","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item","206b00e57f5725c6a140976462b6501858345ebc-0-a1fb566f7a14fbcea0e0e7c71dc705bedd9271a4"
