"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GEO 3-4 Launch Ops & Checkout","105.035","30.612","0","135.647","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-8ea95973d41958e1673e2f1f58907b948a148dca","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"Interim Contractor Support (ICS)","21.753","","0","21.753","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-41551786ad5231121cf46496417cc5f5487405c8","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 5-6 Launch Ops & Checkout","290.585","","0","290.585","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-8e0eea40200833d393ae930bad8f0590c94c0782","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY17 Incremental Funding (3021)","-3.271","","0","-3.271","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-20697d863ce795a200e4572a913f380fdce2c675","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY18 Incremental Funding (3021)","-287.314","","0","-287.314","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-fe200e24b7ee2b0d59ff95d23831a18b6116e390","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"HEO Host Accommodation","234.367","2.855","0","237.222","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-7a77710ee1fbb0f08bb97fd6c59ce6421ec3bf3c","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"HEO 3-4 Launch Ops & Checkout","42.141","12.567","0","54.708","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-b19de4fd0816344ce1e969167938a1d4149ade3d","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"WGS SV 1-5 Checkout & Launch/Launch Readiness","235.679","","0","235.679","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-ba3cd10e3fa0f5bcdec3e8821b93ba38017cc13e","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-daf529daad976ae3aae64218fb0f0c2c6c517c7a"
"WGS SV 4-5 Storage Reactivation and Transport","4.022","","0","4.022","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-0e7f0f7bb13717e6f92748c0c1c8e432c9510102","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-daf529daad976ae3aae64218fb0f0c2c6c517c7a"
"WGS B2FO Checkout & Launch/Launch Readiness","19.051","21.647","0","40.698","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-53f4fa9981540bebba9a62b723b5a8a70b687a77","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"Command & Control System - Consolidated (CCS-C) WGS B2FO support","2.589","2.071","0","4.66","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-4c28370e764d839afd2c7ba9342fd1cc5c03bcd6","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"Technical Mission Analysis","","5.803","0","5.803","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-2-d168398cd403a6beaef8f3ee7d66d22e6d82aec8","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"WGS Enterprise SE&I","1.7","1","0","2.7","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-3-15d553f5a78dcd8b7c620aa9d5ed6227c880e5c1","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"WGS B2FO Checkout & Launch/Launch Readiness","0","0","0","67.965","31.345","17.792","17.792","14.651","4.177","0","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-c11a4e40507ef3be998f4e78232b78b07e70577a","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"WGS B2FO Storage, Reactivation and Transport","0","0","0","50.37","","25","25","25.37","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-1-e5044f0e525164694bace6f9eabb723114a475a6","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"Command & Control System - Consolidated (CCS-C) WGS B2FO support","0","0","0","4.374","2.083","2.083","2.083","0.208","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-2-765266610f3ee480c3b50031828fe83fe66e4b22","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"Technical Mission Analysis","","","0","23.512","7.027","6.458","6.458","5.339","4.688","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-3-7ec824ef920ddfc6dc8d15537df530ab291f0541","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"WGS Enterprise SE&I","","","0","3.194","0.956","0.922","0.922","0.881","0.435","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-4-3e1a5b2bfe3dbf6bd4cbeb4522cc56e1b6847820","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"GPS IIF Launch Vehicle Integration","0","0","0","0.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-2aa83f11f412f12ad1baeb649ac4cd5ff065af96","24b82fd52542f468799e4648ad2b9e79fd8205d5","root.record.ItemExhibitList.P5Item","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-29c53376e70305cb289441d5cb8e6400c46f80d8"
"GPS IIF Launch Services Planning","","","0","11.865","11.865","","","","","","","","","","","","","","","","","","","","","","","","24b82fd52542f468799e4648ad2b9e79fd8205d5-1-1f271e0e7c50f89a2412f0ef3eea704b662fdf57","24b82fd52542f468799e4648ad2b9e79fd8205d5","root.record.ItemExhibitList.P5Item","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-29c53376e70305cb289441d5cb8e6400c46f80d8"
"GPS IIF Propellants","","","0","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","24b82fd52542f468799e4648ad2b9e79fd8205d5-2-3c6b08b7662b267a4bc8de4654eb891ce9680724","24b82fd52542f468799e4648ad2b9e79fd8205d5","root.record.ItemExhibitList.P5Item","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-29c53376e70305cb289441d5cb8e6400c46f80d8"
"GPS IIF GSA Vehicles","","","0","0.02","0.02","","","","","","","","","","","","","","","","","","","","","","","","24b82fd52542f468799e4648ad2b9e79fd8205d5-3-ad8e959b3c9afce5647028b4ed9b8fec79ced890","24b82fd52542f468799e4648ad2b9e79fd8205d5","root.record.ItemExhibitList.P5Item","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-29c53376e70305cb289441d5cb8e6400c46f80d8"
"GPS IIF Technical Mission Analysis","","","0","1.133","1.133","","","","","","","","","","","","","","","","","","","","","","","","24b82fd52542f468799e4648ad2b9e79fd8205d5-4-3294352b7ce4c349a2f60a1d9461ad4e6db72afb","24b82fd52542f468799e4648ad2b9e79fd8205d5","root.record.ItemExhibitList.P5Item","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-29c53376e70305cb289441d5cb8e6400c46f80d8"
"GPS IIF Enterprise SE&I","","","0","2.6","1.464","1.136","1.136","","","","","","","","","","","","","","","","","","","","","","24b82fd52542f468799e4648ad2b9e79fd8205d5-5-0ab5663fec35bab1c9b453aedc69d470fd9a8810","24b82fd52542f468799e4648ad2b9e79fd8205d5","root.record.ItemExhibitList.P5Item","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-29c53376e70305cb289441d5cb8e6400c46f80d8"
"GPS IIF Storage Reactivation & Transport","","","0","4.771","4.771","","","","","","","","","","","","","","","","","","","","","","","","24b82fd52542f468799e4648ad2b9e79fd8205d5-6-b897d8dccf8f82b3b22c52a9624748f020c62d16","24b82fd52542f468799e4648ad2b9e79fd8205d5","root.record.ItemExhibitList.P5Item","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-29c53376e70305cb289441d5cb8e6400c46f80d8"
"GPS III SV 03-10 Launch Services","","","137.7","227.8","1.9","","","7.8","18.7","31.5","30.2","","","","","","","","","","","","","","","","","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-701dfbe113e9f858094eb085d961449db5cab23b","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
"GPS III SV 03-10 On-Orbit Incentive","","","63","72","","","","","1","3","5","","","","","","","","","","","","","","","","","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-12125837449654745fc99098d2e32ed464af96a7","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
"GPS III SV 03-10 Storage and MRT","","","14.9","42.157","","","","3.7","6.4","8.6","8.557","","","","","","","","","","","","","","","","","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-c3bc1d96aa0a0a5325fddaf034e4bdca563fbc72","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
