"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","ContractMethod_val","ContractType_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule","RevisionsAvailableDate_val","FundingVehicle_val","RFPIssueDate_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017","","Aberdeen Proving Ground, MD","2017-02","2017-05","662","2.065","true","C","FP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-c518504770bb1819046d5ab4cec1a44854778135","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-9cb3730a3b6598e610a2d1f441afcb846fbcac3c","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-5aed83d9a1381be997935055821b446e3af6fe38"
"2017","","Aberdeen Proving Ground, MD","2017-02","2017-05","1112","0.665","true","C","FP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-007c1acfa3ad16e7a6d2a167aaf2bf52e9df9053","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-70bd3dd78727879a8ee9e363393baa4db1509fc6","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-eb6e6911219d3737b61ab4225257cd1ca336498b"
"2017","","Aberdeen Proving Ground, MD","2017-02","2017-05","2500","0.084","true","C","FP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-4a0d4ba84be0cd4cd1242776579dc4d0bde462a8","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-12365c0477108a8b69dacdb717de91eca1b55056","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-7f9e6d126a21008686f23ea5b9dc4abc8e055daf"
"2017","","Aberdeen Proving Ground, MD","2017-02","2017-05","3309","0.043","true","C","FP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ecc603ca6940a1daf3633d2a7c55f1b5b94a2da1","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-27124d99a34630809d9d72682e46742633504e12","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-89a3013f16bfe7eeb4ca43f0abfc4e0b652ce55a"
"2017","","TBD","2016-12","2017-03","100","25500.00","false","C","TBD","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-34016b661d774e05fd8e219ad23c6c45050602ae-0-f33ecf86898001c15d8add1bdc793a7b35532334","2018-03","","","","","34016b661d774e05fd8e219ad23c6c45050602ae-0-c4f6f57af6ab27c022c6fc1f73e70bae8c674dc8","34016b661d774e05fd8e219ad23c6c45050602ae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","34016b661d774e05fd8e219ad23c6c45050602ae-0-a43fee4e262b418124200b6c5b64cf1b79bedfdf"
"2015","","ACC-Rock Island, IL","2015-01","2015-03","1","8228.000","","C","CPIF","","","","","","","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-2dfe211586c9055f1fab2d7ba8686a91cb22257f","8c06c11f0e303a99bc3038bb9ed0312740d39b11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-faf0bf85070f79a8da82311b24f3475dac111604"
"2015","","Fort Leonard Wood, MO","2015-01","2015-02","1","40.000","true","","","","","Reqn","","","","970611499d8279786529b7ec9fa8eff7487c5ec2-0-d272e0f9cc3d55dc1eb93bf9a33f6aa6069b54ce","970611499d8279786529b7ec9fa8eff7487c5ec2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","970611499d8279786529b7ec9fa8eff7487c5ec2-0-e3e91e17825845c6f053702ef914920f3a961d61"
"2016","","Fort Leonard Wood, MO","2015-11","2015-12","0","0.000","true","","","","","Reqn","","","","970611499d8279786529b7ec9fa8eff7487c5ec2-1-e5436a8275d9c99f5ceff2096ef8b65960a277e0","970611499d8279786529b7ec9fa8eff7487c5ec2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","970611499d8279786529b7ec9fa8eff7487c5ec2-0-e3e91e17825845c6f053702ef914920f3a961d61"
"2015","","MICC Fort Eustis, VA","2015-09","2015-09","1","739.000","true","C","FP","","","","","","","970611499d8279786529b7ec9fa8eff7487c5ec2-0-5a62895286f45279152e84c2d48b815f5840bca4","970611499d8279786529b7ec9fa8eff7487c5ec2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","970611499d8279786529b7ec9fa8eff7487c5ec2-0-298067990f3abaa48530420c2d51e550dcb88bab"
"2016","","ACC-NJ","2016-02","2016-03","1","4446.000","","C","FFP","","","","","","","a0168a46a172c79087f20b50c38a571e5621523e-0-be31e6dcbac9b63d719787c9cbc3818e209d77b9","a0168a46a172c79087f20b50c38a571e5621523e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a0168a46a172c79087f20b50c38a571e5621523e-0-b790038e7d0a1cabff6e0a41dd164e8b690c35e7"
