"Name_val","Name_@footnote","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Veterans Corp","","Fairfax","1","875","775","1","4","4","8","1","4","3","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-53341ffc57fa50e4299b0b0a34e7d4504f8f7223","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-5aed83d9a1381be997935055821b446e3af6fe38","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-1370392d8a7cd06a2f298bdb91e944ce7182f9f9"
"Veterans Corp","","Fairfax","1","875","775","1","4","4","8","1","4","3","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-a6f0c182af8ef148d04b0022f61d2f492c4ef5c2","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-eb6e6911219d3737b61ab4225257cd1ca336498b","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-8cc7a49824f50ff9d4ed03abca2c64fc1a308cd0"
"Veterans Corp","","Fairfax","1","875","775","1","4","4","8","1","4","3","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ac9020ab01105fb2dc11368ce94c4a88b7f9a26c","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-7f9e6d126a21008686f23ea5b9dc4abc8e055daf","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-6c44831c7e2e9705f375b35234c5f82f4bc90212"
"Veterans Corp","","Fairfax","1","875","775","1","4","4","8","1","4","3","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-30db3af252d09ddbd2eed48088a56c79d7bb2761","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-89a3013f16bfe7eeb4ca43f0abfc4e0b652ce55a","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-3-c26d9df335798eb6a72c5373db72187093b57731"
"TBD","","TBD","12","100","13","12","12","3","15","12","12","3","15","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-34016b661d774e05fd8e219ad23c6c45050602ae-0-15507346e474aa5df61e737382e899368d5a8a98","34016b661d774e05fd8e219ad23c6c45050602ae-0-a43fee4e262b418124200b6c5b64cf1b79bedfdf","34016b661d774e05fd8e219ad23c6c45050602ae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","34016b661d774e05fd8e219ad23c6c45050602ae-0-eab401d933da92df6600b31ef98396f9b52a57b9"
"EDC","","McLean","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-51c3d6efd7496fe8dab8fb3d2df0120a8c804ebc","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-faf0bf85070f79a8da82311b24f3475dac111604","8c06c11f0e303a99bc3038bb9ed0312740d39b11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-c22c85d8c9b4c55d69fd20682353c157cf8cb061"
"GCSS Army Supply System","","Fort Leonard Wood","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-970611499d8279786529b7ec9fa8eff7487c5ec2-0-ec437817e47f8c776442fc349d97ceae466f2428","970611499d8279786529b7ec9fa8eff7487c5ec2-0-e3e91e17825845c6f053702ef914920f3a961d61","970611499d8279786529b7ec9fa8eff7487c5ec2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","970611499d8279786529b7ec9fa8eff7487c5ec2-0-7be4118b0808604a2e8604990e9cf2525c878352"
"IMMIX Technology Inc","","McLean VA","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-970611499d8279786529b7ec9fa8eff7487c5ec2-0-fbe7c2ce71f6d4622ab0eda68ed0fcd6d1cf9653","970611499d8279786529b7ec9fa8eff7487c5ec2-0-298067990f3abaa48530420c2d51e550dcb88bab","970611499d8279786529b7ec9fa8eff7487c5ec2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","970611499d8279786529b7ec9fa8eff7487c5ec2-1-383a096861f746157bf43be2018c1d1583be6676"
"TBS","","TBS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a0168a46a172c79087f20b50c38a571e5621523e-0-7b5c7f16cdcef6fc4f06cc5b6b6792c293f747bb","a0168a46a172c79087f20b50c38a571e5621523e-0-b790038e7d0a1cabff6e0a41dd164e8b690c35e7","a0168a46a172c79087f20b50c38a571e5621523e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","a0168a46a172c79087f20b50c38a571e5621523e-0-0b1065b0532c36c7d87a55929bf96fba4013aaf5"
"Raytheon Missile System","Annual Production Rate limitations are based on 4 missiles per 1 container ratio.","Tucson, AZ","75","225","150","0","9","25","34","0","5","19","24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-8ea8a940ecd6e7c30a46f52ae3fda5697c371ddf","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-31f0883347ff051d7c3282cf4f8e16af0aefcb96","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-4796e17d34d2595a64fd2e74afc7709f192f0f5d"
"Northrop Grunman","","Midlothian, VA","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-d292bad6835cd892ce252340bffac4943124b668-0-5a0103ccf1b4f1ef48dd3a43da3469f61fd7764b","d292bad6835cd892ce252340bffac4943124b668-0-91cb72238cbeb90ca4eb4b78e0ace4266bc4aa06","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","d292bad6835cd892ce252340bffac4943124b668-0-49db6c7537aea8ea26cf57dd4d918b1cd8f48ddd"
"SSC LANT","","Charleston, SC","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e05569c60e02c1ebdf8f23c3474ef65fef324184-0-ed405efa7dbae9b10736dbf83a706df58c524e9e","e05569c60e02c1ebdf8f23c3474ef65fef324184-0-ce02ede78e12cfba8dd224fa2502500bd670be58","e05569c60e02c1ebdf8f23c3474ef65fef324184","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","e05569c60e02c1ebdf8f23c3474ef65fef324184-0-8b3a94fe1375a26ce031a09127fcc1b1eb7f893b"
"Cole Engineering Services","","Orlando","1","5","3","0","3","4","7","0","3","4","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-c045ef070ac77a87a5c345b0713c73928ced4d86","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-971555bbf2ef8a9737ce6f98c6a0b6ddda98885c","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-de9df668da8859b493730a0f96f223c81b5c99d2"
"TBD","","TBD","1","5","3","0","6","3","9","0","6","3","9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-6307138dd0c4c0f35f68c4e02b7a1b18c708f4e9","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-704202a8da11890010bbd616267be46b903f2275","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-de9df668da8859b493730a0f96f223c81b5c99d2"
"Raytheon Missile Systems","","Tucson, AZ","0.00","0.00","0.00","0","0","0","0","0","5","20","25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-7e0a2f5c66592c03c64905b218cd8e763955f8b6","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","470e0018bc62797cd9610c7480dfcaf1b47ca02b-4-ae04008aab8a73a85071bb76cc940d760ec87f92"
"TBD","","TBD","12","833","600","0","10","6","16","0","10","6","16","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7144e0845629d417c2134eb674d7c53063f2ff5c-0-ea8e897e940e68e2bf2d06d6d3b752f5de906929","7144e0845629d417c2134eb674d7c53063f2ff5c-0-e1bd487bea86d39cf3fa56e1e5b5ae2fd8e75542","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","7144e0845629d417c2134eb674d7c53063f2ff5c-1-0897dcb4efcf36fe20c728a88a6164e38f050354"
"TBD","","TBD","12","833","600","0","10","6","16","0","10","6","16","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7144e0845629d417c2134eb674d7c53063f2ff5c-0-f0dfbd440dd62b5217d51e89a0cab326cc02f795","7144e0845629d417c2134eb674d7c53063f2ff5c-0-5a42c202e1a8779aabb77593378ba58caa4634e0","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","7144e0845629d417c2134eb674d7c53063f2ff5c-2-ec7cbd0e34799aaceebf8d819934615ab85e38eb"
"Raytheon Missile System"," This item pertains to Containers","Tucson, AZ","300","800","600","0","9","25","34","0","5","19","24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-9a03ab9c3e0e400888e784087947ea606e15a589-0-9b0a35547d8f87492e30d7c2d1a24f97195f5897","9a03ab9c3e0e400888e784087947ea606e15a589-0-24e12399af4207bcfe2b40e491886b017608c52f","9a03ab9c3e0e400888e784087947ea606e15a589","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","9a03ab9c3e0e400888e784087947ea606e15a589-1-ae5a3d0837e15f88b46cc85d8f7959990d666e8b"
"General Atomics Poway","","CA","2.00","5.00","4.00","9","7","19","26","12","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-dcd05ae606b4ef5307570de25c4623c649ca2b84-0-b0af2596a4a274b3d3a647a550cdc1762c096e2e","dcd05ae606b4ef5307570de25c4623c649ca2b84-0-95a5d92d8d8423cc8acd9a9deea70fb335172d81","dcd05ae606b4ef5307570de25c4623c649ca2b84","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","dcd05ae606b4ef5307570de25c4623c649ca2b84-0-638772dd5820987034afceea632d329ff7321da6"
"Northrop Grumman","","CA","0.50","3.00","1.00","4","0","0","0","2","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-dcd05ae606b4ef5307570de25c4623c649ca2b84-0-a5daaa417e53b06cfef275d5dd3907213fc3c2c0","dcd05ae606b4ef5307570de25c4623c649ca2b84-0-b920f006b26f873350466bdfacc3d818067e0b63","dcd05ae606b4ef5307570de25c4623c649ca2b84","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","dcd05ae606b4ef5307570de25c4623c649ca2b84-1-360364e61051a42776aaf7cdbb949ffa162b0d4f"
"General Atomics Poway","","CA","0.33","8.00","4.00","9","6","17","23","9","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-dcd05ae606b4ef5307570de25c4623c649ca2b84-0-8934d6d45130f9afbe16ef5a43d3f560b41839cf","dcd05ae606b4ef5307570de25c4623c649ca2b84-0-fe7ed573d5b53e03dff3f30d501fa868f0044c8b","dcd05ae606b4ef5307570de25c4623c649ca2b84","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","dcd05ae606b4ef5307570de25c4623c649ca2b84-3-002b71583b2b75d84aef03f131b9daad9092fa9d"
"General Atomic Poway","","CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-dcd05ae606b4ef5307570de25c4623c649ca2b84-1-3eec3e2cbc20dda1a7b654310cfc86297de4f437","dcd05ae606b4ef5307570de25c4623c649ca2b84-1-15f1f1390e5d49a111e96d1cfb25eba8a6a81529","dcd05ae606b4ef5307570de25c4623c649ca2b84","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","dcd05ae606b4ef5307570de25c4623c649ca2b84-3-002b71583b2b75d84aef03f131b9daad9092fa9d"
