"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"RQ-21 utilizes an Interim Contractor Support (ICS) strategy to sustain RQ-21A systems prior to material support date (MSD) in accordance with Financial Management Regulations.  ICS is funded within procurement appropriation prior to MSD. ICS includes logistics support for existing and newly procured RQ-21A systems and funds prime contractor logistics support, field service representatives, repair of repairables, and mobile training teams.  ICS transitions to organic support in FY18 after which logistics support for fielded systems will be funded with O&M. RQ-21A has an associated Procurement Marine Corps (PMC) 7000 funding account that provides for the procurement of initial spares.  ICS costs increase from FY14 through FY17 based upon the number of fielded RQ-21 systems, number of mobile training teams, CONUS based FSRs, material repairs, and MEU deployments scheduled during the year.  ICS costs are directly tied to the RQ-21A fielding plan and the overall Marine Corps employment plan.    FY16 increased the number of Field Service representatives in support of an emergent Marine Expeditionary Unit (MEU) deployment, and increased FSRs support during MTTs.  FY17 ICS costs continue FSR support during MTTs.","1.2.1) ICS","11.5","12.616","20.934","19.726","19.726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00d80ab471aa62b1c9c271e06b7efa51714173df-0-39970fd06470101201a029d1357414384b2a6cb0","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","00d80ab471aa62b1c9c271e06b7efa51714173df-0-6cfe89cb58d6ab20f1c516e395d802221a63ab99"
"Ship Installation includes the procurement of infrastructure hardware and equipment, and labor costs associated with actual amphibious ship class installations in support of the RQ-21A program.  Ship hardware and equipment consists of directional and omni-directional antennas, amplifiers, antenna interface modules, monitors, cross domain solution, power distribution panels, associated cables and fiber optics lines, operational system racks, cabinets, and connectors.  Labor associated with ship installation includes the contracted Alteration Installation Team conducting the ship installation and OEM post install system integration test support.    The program intends to complete three ship installs in FY17, tentatively planned for the forward deployed USS GREEN BAY (LPD 20) during the scheduled availability in Japan, newly commissioned USS MURTHA (LPD 26), and the first LHD class ship USS KEARSARGE (LHD 3).  Preliminary work for the LPD and LHD class ship installations including the planning yard ship check and Ship Installation Drawings was completed in FY16.  All commissioned LPD class ship installations will be completed in FY17.  There will be two remaining non-commissioned LPD class ships that require the RQ-21A ship installation; 1 in FY18 (USS PORTLAND (LPD 27)) and the second LPD 28 (TBD) in the FY20 timeframe.  Cost and schedule reductions from coordination with Commander Naval Surface Forces, the allowance of pier side installations, and realized efficiencies gained during installation have allowed the program to shift focus from LPD class ships to installation onboard LHD/LHA class ships.    The FY17 installation schedule completes 2 ship installs in FY18, (LPD 27 and LHD 4); 2 in FY19 (LHD 2 and LHD 8): and 2 in FY20 (LPD 28 and LHA 6).  In FY20 and beyond, ship installation focuses solely on the LHD/LHA class ship.","1.2.2) Ship Installation","4.946","5.04","5.136","2.616","2.616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00d80ab471aa62b1c9c271e06b7efa51714173df-1-d313bc7cfc1ddb2562435215ac4f10a6e147ed97","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","00d80ab471aa62b1c9c271e06b7efa51714173df-0-6cfe89cb58d6ab20f1c516e395d802221a63ab99"
"","2.1.1) SPECIAL TOOLING AND TEST EQUIPMENT","84.938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","019d84bd4db720f14c846053dd510d024bc79131-0-1ad3e305dcb52b9b17f03c7905dc54814f8c55fd","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","019d84bd4db720f14c846053dd510d024bc79131-1-2dfe945d17e176f50519c494703a7d6dac10df3f"
"Containers are required to maintain pace with quantities, ensure the updated in-container reprogramming capability continues and replace outdated/damaged containers.  The containers are  typically funded every four years based on procurement quantities.","2.1.2) CONTAINERS","5.204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","019d84bd4db720f14c846053dd510d024bc79131-1-c95c9da93b9e3f4136542e681be1723f540e8935","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","019d84bd4db720f14c846053dd510d024bc79131-1-2dfe945d17e176f50519c494703a7d6dac10df3f"
"Fiscal Years 2016 and 2017 provides funding for costs associated with the production line shut down of the JPATS T-6 Texan II program. This includes but is not limited to tooling, data rights, and other required contractor support.","1.2.1) Non-recurring cost","73.404","","8.914","5.849","5.849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-46c2f71cb4d4957341f9e862345d7cf674fa7a94","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-a7d8b88a500545378f31c8dce32b872e4963d957"
"","Nonrecurring Tooling Cost","96.56","","","","","0","96.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","093acf038559e24184a8c8ac7cc477f3c62c43af-0-df1d441e7d00bb117e5041ad79d24440f43df0ae","093acf038559e24184a8c8ac7cc477f3c62c43af","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","093acf038559e24184a8c8ac7cc477f3c62c43af-1-53d110d33593cb7abbe2fb884fb653a50bd31249"
"","Ancillary Equipment","28.76","","","","","0","28.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","093acf038559e24184a8c8ac7cc477f3c62c43af-1-ee95f3b7f21a65391595593dffcc14f683c7af85","093acf038559e24184a8c8ac7cc477f3c62c43af","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","093acf038559e24184a8c8ac7cc477f3c62c43af-1-53d110d33593cb7abbe2fb884fb653a50bd31249"
"","Parts Obsolescence","20.834","15","","","","0","35.834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","093acf038559e24184a8c8ac7cc477f3c62c43af-2-7b9faef4df93aea3c99fc05b7454217e7e68a614","093acf038559e24184a8c8ac7cc477f3c62c43af","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","093acf038559e24184a8c8ac7cc477f3c62c43af-1-53d110d33593cb7abbe2fb884fb653a50bd31249"
"","PPE Suit NFPA Class 2","2","14.505","4.959","1.367","1.367","","","","","","","","","662","662","","","","","","","","","","","2.065","2.065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-a15446046e52a6843105923676036ba7bee4fc8c","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-1370392d8a7cd06a2f298bdb91e944ce7182f9f9","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ad2a15275e61b486c56d77b995da0cb858bb7f0c"
"","PPE Suit NFPA Class 3","2","","","0.74","0.74","","","","","","","","","1112","1112","","","","","","","","","","","0.665","0.665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-02c406a245c1fb38f4a9ae5e2bc8109a8989df0b","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-8cc7a49824f50ff9d4ed03abca2c64fc1a308cd0","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ad2a15275e61b486c56d77b995da0cb858bb7f0c"
"","HAZMAT Boots","","","","0.21","0.21","","","","","","","","","2500","2500","","","","","","","","","","","0.084","0.084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-59c6581754678bb910f8f03073e70d500664c3a9","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-6c44831c7e2e9705f375b35234c5f82f4bc90212","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ad2a15275e61b486c56d77b995da0cb858bb7f0c"
