"Name_val","Name_@footnote","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Raytheon","","Tucson","2100","16800","7200","3","2","16","18","3","2","16","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-da1b5d16c4c8550658fad9822b97006ff58c79e1","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-08fc2bd829c9b265af45487a8c79f3891367ba32","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-d5805237cf35c0ff6c3e55e12f9c812042ad8b33"
"Raytheon OCO","","Tucson","2100","16800","7200","3","2","16","18","3","2","16","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-e12d590b0fe537d4ac8d4540eff7babfa1fd5682","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-0974ad8e4d05af1fd6d9b22afdbea4a55369614b","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-d5805237cf35c0ff6c3e55e12f9c812042ad8b33"
"INSITU, Inc","","Bingen, WA","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-711f845ad28361d741dd0297ece171ff9b73058a","00d80ab471aa62b1c9c271e06b7efa51714173df-0-acff734897d9b147856d40ed97b313d289bee7db","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","00d80ab471aa62b1c9c271e06b7efa51714173df-0-52bbce2db70d22efda18d426a86634de99fba2b9"
"INSITU, Inc","The Prime Contractor's minimum sustainment rate is six (6). Due to current program level funding; RQ-21A is procuring below minimum sustainment.  The Prime Contractor is looking at Direct Commercial Sales to make up the delta.","Bingen, WA","6","12","8","0","6","10","16","0","0","7","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-49069a397d0c379853ac0263658fe9087027a8d4","00d80ab471aa62b1c9c271e06b7efa51714173df-0-4cd9a999c4c115e7141d047c613b8c51c9ae78bd","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","00d80ab471aa62b1c9c271e06b7efa51714173df-1-af3491c5375aedfba4735e92dd1b677b1b9308ae"
"Raytheon Missile System","","Tucson, AZ","400","700","400","6","3","21","24","7","6","23","29","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-019d84bd4db720f14c846053dd510d024bc79131-0-d2cb53adb72e61831f99bb3a948b307abc4ba278","019d84bd4db720f14c846053dd510d024bc79131-0-58708ffde762bc8e4a307e1d109c409eb1f7c5af","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","019d84bd4db720f14c846053dd510d024bc79131-0-c1d23356cd8e0306beff910285d43cef78756dbb"
"Raytheon Missile System","","Tucson, AZ","400","700","400","6","3","24","27","7","6","23","29","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-019d84bd4db720f14c846053dd510d024bc79131-0-8a341696f3ac06970b6d51d6514b4548e4bde9ca","019d84bd4db720f14c846053dd510d024bc79131-0-a6191da68a3c6095cfeb0328777967afc41381ae","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","019d84bd4db720f14c846053dd510d024bc79131-1-731b0a3dea7f86ff4eb61ef813db1589934f6c7c"
"Lockheed Martin","","Marietta GA","12.00","36.00","24.00","0","0","0","0","6","3","25","28","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-051c46b7b10d7990f42aa21568cfd38fc10dc009-0-1d48b48b856fb4f18019e8ccdc1f5d3a25081325","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-c47c34e105d7bfe7d33c4219fbef3e0b3c75e8f5","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-90f1c31d2b61a1bdce11cc4869621bbb3e32d1a5"
"JJV  All Up Round","","Tucson AZ Orlando FL","850","6480","3960","11","3","23","26","6","3","29","32","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0561521cebf08349168b642b91c8d05bc7d3e65e-0-843c2306a9e20ec4df398dbd8848fe5311cc069b","0561521cebf08349168b642b91c8d05bc7d3e65e-0-345b32ea272c8324376674021d28a6999b6a35ab","0561521cebf08349168b642b91c8d05bc7d3e65e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0561521cebf08349168b642b91c8d05bc7d3e65e-0-4dc81721c3e12e0e31c1259286d0c2f507dc3648"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-d98a3aaa645ac848ccacb8c2cf4851e72a522f91","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-a662e0ff41903a3eecf72889dc2b33fcfee7ff24","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-7d225a0f82da010792ff4b85139d95c3365dfe73"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-fe5f7008adbeec205762fab297daf105046cb537","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-9b8bc90872ef0d0248ccdeee35b278604b002e6a","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-1-fb1b038c87a06c065b75401ff689d64b32a52d95"
