"Name_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOne_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"--MTV Cargo M1083","3838","354","257","8","240","248","584.333","71.179","54.025","1.662","49.867","51.529","152.249","201.071","210.214","207.75","207.779","207.778","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-0-c5c10cc4787ac388ac6842f101d3e66d4ce85c02","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV Cargo w/winch M1083","845","","","","","","133.739","","","","","","158.271","","","","","","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-1-0424856abe2053a5abe8d6b48478f928962bab03","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV Cargo-Long Wheel Base (LWB) M1085","1313","29","219","","298","298","422.299","5.931","46.833","","62.98","62.98","321.629","204.517","213.849","","211.342","211.342","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-2-f1b1d19ca33dee35287ca69fcc805597db8d80e9","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV Cargo-LWB w/winch M1085","65","","","","","","10.563","","","","","","162.508","","","","","","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-3-7c11decbb9ae1da7b434699c8bcc7a1637dd2cd3","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV Cargo MHE M1084","223","33","3","","","","97.727","9.151","0.869","","","","438.238","277.303","289.667","","","","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-4-431b8ab7e5d91340c40f486cb9c7f8438ba6b3e0","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV LWB Cargo w/MHE M1086","9","","","","","","1.931","","","","","","214.556","","","","","","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-5-1d687690a390927868448d261ade66b0829ab949","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV 10 Ton Dump M1157","825","","23","","","","147.659","","5.749","","","","178.981","","249.957","","","","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-6-d63f4f1e2b9a63d7cda2fb48a58e92857f12214c","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV 10 Ton Dump M1157 w/winch","818","","","","","","306.397","","","","","","374.568","","","","","","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-7-f66e2de17b0f6fe3ed21125a1f64f4e76a11eca6","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV Tractor M1088","1722","55","241","","297","297","547.991","11.2","51.352","","62.498","62.498","318.229","203.636","213.079","","210.431","210.431","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-8-2069f84651ce4cc3142a6060830879f9ea6b39dc","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
"--MTV Wrecker M1089","269","16","36","","77","77","195.014","7.308","17.172","","36.342","36.342","724.959","456.75","477","","471.974","471.974","","","","","","","e3926cbdef61e5ac455f995dc532e87403f825a3-9-f9ba37ece1778d6aefd1df3cf54a3f6ba3b9532b","e3926cbdef61e5ac455f995dc532e87403f825a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","e3926cbdef61e5ac455f995dc532e87403f825a3-0-378965de92f9cf2e611f49c2971a31371abb3d4a"
