"Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-fae8050965a15c9da6af93f926f748a7a4e1289c","3130.02","70.333","107.509","64.922","80.652","145.573","","","","","","","","3130.02","70.333","107.509","64.922","80.652","145.573","","","","","","","","","","","","","","","","","","","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-b222cd52d3e34c035070bad70c6bd46ab091f381","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-0a06952628136d631a34e0f31335208dd2797c01","48.839","40.989","40.946","49.15","","49.15","","","","","","","","65.285","58.645","67.016","71.492","","71.492","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-4ee2a51b55c8cd19a6a2994ff84a56b3783cc7eb","16.446","17.656","26.07","22.342","22.342","","","","","","","","","","00d80ab471aa62b1c9c271e06b7efa51714173df-0-6cfe89cb58d6ab20f1c516e395d802221a63ab99","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item","00d80ab471aa62b1c9c271e06b7efa51714173df-0-bb0e86f1247ff3c9faee15200f6b84bc4c6ab0d5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-012921c780cec387dcf5463ca3a8e4374fce23f5-0-65ef4372c6558e6cc2e5e1846fe1d973eb0c21bc","64.037","0","60.6","3.97","","3.97","3.969","1.984","1.984","4.961","141.505","","","64.037","","60.6","3.97","","3.97","3.969","1.984","1.984","4.961","0","141.505","","","","","","","","","","","","","","","","Air Vehicle","012921c780cec387dcf5463ca3a8e4374fce23f5-0-62de668851046658999a089f198b2814c065db27","012921c780cec387dcf5463ca3a8e4374fce23f5","root.record.ItemExhibitList.P5Item","012921c780cec387dcf5463ca3a8e4374fce23f5-0-e9512e5fa74b75e84c1559cdfaefb67dd971fab3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-019d84bd4db720f14c846053dd510d024bc79131-0-567ac6acc8a166944a8d7e1e5ae2b2f6ea50b978","1510.416","","190.87","193.401","","193.401","","","","","","","","1510.416","","190.87","193.401","","193.401","","","","","","","","","","","","","","","","","","","","","","MISSILE","019d84bd4db720f14c846053dd510d024bc79131-0-f33e0c6b7f7e374b3bfc68086abdc9545e2b589e","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item","019d84bd4db720f14c846053dd510d024bc79131-0-0d9d7bf10104278d34340961028656d55320dd84"
"","","","","","","","","","","","","","","90.142","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-019d84bd4db720f14c846053dd510d024bc79131-1-2f0e3984ad0ff03ad0bc1e53d72823d158934adc","90.142","","","","","","","","","","","","","NONRECURRING and ANCILLARY EQUIPMENT","019d84bd4db720f14c846053dd510d024bc79131-1-2dfe945d17e176f50519c494703a7d6dac10df3f","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item","019d84bd4db720f14c846053dd510d024bc79131-0-0d9d7bf10104278d34340961028656d55320dd84"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-019d84bd4db720f14c846053dd510d024bc79131-2-e8a97f84b1333e35783ae3a8a5a901aa6e5b1a37","378.785","2.165","9.548","9.61","","9.61","","","","","","","","378.785","2.165","9.548","9.61","","9.61","","","","","","","","","","","","","","","","","","","","","","PRODUCTION SUPPORT","019d84bd4db720f14c846053dd510d024bc79131-2-78906f9d4cc53344d027d5218dbf950b50069d11","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item","019d84bd4db720f14c846053dd510d024bc79131-0-0d9d7bf10104278d34340961028656d55320dd84"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-051c46b7b10d7990f42aa21568cfd38fc10dc009-0-395d0b67538d3b7d158f54f92ab7646b8947856e","1514.902","224.612","617.247","476.2","0","476.2","395.263","265.265","550.548","381.212","6061.269","1636.02","","1514.902","224.612","617.247","476.2","0","476.2","395.263","265.265","550.548","381.212","1636.02","6061.269","","","","","","","","","","","","","","","","Flyaway End Item","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-6bb169f3f2362cc3b5779ebdca6d738bc8c2fd4a","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-e5b29adc990be37e7b73c0b87b15787ca717ec1b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0561521cebf08349168b642b91c8d05bc7d3e65e-0-de8b42da683da731b9712dd6610cbd806313b0f3","4589.049","72.877","168.163","73.508","15.567","89.075","","","","","","","","4589.049","72.877","168.163","73.508","15.567","89.075","","","","","","","","","","","","","","","","","","","","","","","0561521cebf08349168b642b91c8d05bc7d3e65e-0-4e918a3251f0ceb6bd7106ca8c56ba867c4bd22c","0561521cebf08349168b642b91c8d05bc7d3e65e","root.record.ItemExhibitList.P5Item","0561521cebf08349168b642b91c8d05bc7d3e65e-0-8b8f43d223f5b1c9b08dd64b8a53dc422a4d7f64"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-059b62cf2ec1d204d94488773da42bf7a95cbed7-0-01c2c412ead438a1e7f85f78852491b03e973932","36.747","0.329","2.386","","","","","","","","","","","36.747","0.329","2.386","","","","","","","","","","","","","","","","","","","","","","","","","","059b62cf2ec1d204d94488773da42bf7a95cbed7-0-f35f1606636a71c6228392211cb92450cbdb2714","059b62cf2ec1d204d94488773da42bf7a95cbed7","root.record.ItemExhibitList.P5Item","059b62cf2ec1d204d94488773da42bf7a95cbed7-0-97e30dd5ffd702aea4df30dff62e0e30f3641784"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-5c49d7671a3e047c6194842caaac611cc238a972","426.653","3.657","3.717","4.915","","4.915","","","","","","","","426.653","3.657","3.717","4.915","","4.915","","","","","","","","","","","","","","","","","","","","","","","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-6a3c66c880f5aef8256e62478cf90d95160f3b8d","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-1fdaf9966e8af1cfefbb2c0d2f4c1c53deda1b64"
