"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","FundingVehicle_val","ContractMethod_val","ContractType_val","ItemNameSuffix_val","OCO_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","RevisionsAvailableDate_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","","DTRA-TS(SCI)","2015-11","2016-03","1","1734.000","true","2015-05","TBD","","","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-ff6abbde20f70c206765612779495d6c8a2cb0a6","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-d87fc35ce213d170b3ac579935497f8a5cac9082"
"2016","","TBD","2016-05","2016-08","2","1159.500","false","","TBD","","","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-06a61c60a42dda036eeddc0afac2f892b1d4b9f4","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-d87fc35ce213d170b3ac579935497f8a5cac9082"
"2017","","TBD","2016-12","2017-03","3","1519.300","false","","TBD","","","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-2-34c6fddb1a626b3ddef706d52c2e7b214edd7ab5","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-d87fc35ce213d170b3ac579935497f8a5cac9082"
"2015","","AMC-ARL, Aberdeen","2015-06","2015-06","1","780.000","true","2015-05","TBD","","","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-49d2616125c92a84405ee65404b16704bffd3fb7","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-369a24d211db017763b37a6b3d0cc11eac72a1f8"
"2015","","AFRL, Wright Patterson AFB","2014-12","2015-05","1","30987.700","true","2014-05","","C","BOA","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-8bd381908378705ee21dff51e27c8ad30f20b284","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-66338eb67b92d090d23443805683bd00807d957c"
"2015","","Navy DSRC Stennis Space Ctr","2014-12","2015-04","1","31750.000","true","2014-05","","C","BOA","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-aa638fdd0adb87989669e3524e21cc07c7319488","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-2fe24bbe6b8475890dadf83d94212416022aef3c"
"2016","","Army ERDC DSRC Vicksburg","2015-12","2016-03","1","30000.000","false","2015-02","","C","BOA","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-eb0742e2bdd2b11f15796b019561b3c689dddd74","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-2-90c578df5c6dd7eab002bf902c37148d513d2ec2"
"2016","","Army ARL DSRC Aberdeen, MD","2015-12","2016-03","1","30000.000","false","2015-02","","C","BOA","2","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-6f411c61ca3ae2d020c71c2f38cd2371719a89ef","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-2-90c578df5c6dd7eab002bf902c37148d513d2ec2"
"2017","","AFRL, Wright Patterson AFB","2016-12","2017-03","1","27028.000","false","2016-02","","C","BOA","","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-2-b6adc4e07804a8f4fe55eedc6d3869cde4ef4cea","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-2-90c578df5c6dd7eab002bf902c37148d513d2ec2"
"2017","","Navy DSCR Stennis Space Ctr","2016-12","2017-03","1","27028.000","false","2016-02","","C","BOA","2","","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-3-a2feb8d26196d9d5d6d05f54cbf807eaa6655214","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0eeb201d434d2955fb31a40759d2911ddc6973e2-2-90c578df5c6dd7eab002bf902c37148d513d2ec2"
"2015","","DISA","2014-12","2016-01","2.000","1.000","false","","MIPR","","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-67c81242e24c2c50f71d5cf168ba4b3b4ef8eb2f","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-90eca9e472ba06cd0688692e21122439778277ad"
