"Name_val","Location_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"TBD","TBD","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0eeb201d434d2955fb31a40759d2911ddc6973e2-0-a90d06e3660c7971e8807335471288a07ceb0e4f","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-d87fc35ce213d170b3ac579935497f8a5cac9082","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-0023a33d0ca60e0c620e5ac24d432643fc8dd245"
"SGI, Silicon Graphics, Inc","Silver Spring, MD","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0eeb201d434d2955fb31a40759d2911ddc6973e2-1-f6d4d8af2e4e22417675e3215c8bb06060a6a65f","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-369a24d211db017763b37a6b3d0cc11eac72a1f8","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-0023a33d0ca60e0c620e5ac24d432643fc8dd245"
"SGI, Silicon Graphics, Inc","Silver Spring, MD","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0eeb201d434d2955fb31a40759d2911ddc6973e2-0-e67cc878b2fd693cceaff51c4078d6c3748e4efe","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-66338eb67b92d090d23443805683bd00807d957c","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-f011e48ef51bd40137e64fada9d5cba70b4da613"
"Cray, Inc.","Seattle, WA","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0eeb201d434d2955fb31a40759d2911ddc6973e2-1-9ae1e2954310d2dcf977ebc6cdd45e7256f2f0ea","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-2fe24bbe6b8475890dadf83d94212416022aef3c","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-f011e48ef51bd40137e64fada9d5cba70b4da613"
"TBD","TBD","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0eeb201d434d2955fb31a40759d2911ddc6973e2-2-d18f3548a0c1de66c1d149ac843985dd56b38f77","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-2-90c578df5c6dd7eab002bf902c37148d513d2ec2","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","0eeb201d434d2955fb31a40759d2911ddc6973e2-1-f011e48ef51bd40137e64fada9d5cba70b4da613"
"TBD","DISA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-f08135d9ba9d47fdb10e2f0ee8955353828a9ebd","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-90eca9e472ba06cd0688692e21122439778277ad","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-d9d6fa772927fa6822ee3421f49856301dc8ed4c"
"TBD","DISA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-7f88b9152297c31429790406b55c9669ae561164","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-91fec97aa632c5e00ef54040f8b14ded6f0124d8","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-18a9259527b17e87fe2780df9afc1e0151361304"
"TBD","DISA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-8eb86887f4694207323c918c9cf7118d447e9748","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-09c4fd28059558129796d581d35532639f68305c","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-2-69071a5cf359ce1dd39bd4d1d53633ce436b080e"
"MANTECH Advanced Systems","Fairfax","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-29aac650f3205f38e0a16b1e6bde996ca7975423-0-e28e16d5860d13eaa0c3f7448dffc4450665c402","","","","29aac650f3205f38e0a16b1e6bde996ca7975423-0-3fc116a0ede90199d5af952b6bc5ea7aead0dd0e","29aac650f3205f38e0a16b1e6bde996ca7975423","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","29aac650f3205f38e0a16b1e6bde996ca7975423-0-ad8da371de30f7dc06e7d3d4d4001a9d45d8ce52"
"Unknown","Various","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-2f57950a964560dac5fb1e27226ebffd9ab25762-0-442644559b229b63674317932afe4145f65eda8d","","","","2f57950a964560dac5fb1e27226ebffd9ab25762-0-3801fd5d8e7823fca97ad59ddd172fc977d9de60","2f57950a964560dac5fb1e27226ebffd9ab25762","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2f57950a964560dac5fb1e27226ebffd9ab25762-2-28ce8b3d1df5eb333a6bd3c9b4e1ae79103ea1c4"
