"Name_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"AFNET INC 1 - Prime Contract","0.000","0.002","18","0.043","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.002","18","0.043","2aaa9303717d43429a178d297a6fb6e08423593b-0-6618db29822fc2b5911e2bdf322f285ec10ba6cf","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-0-d99afbf2255e4e30af859a1b7276e06893a9d3a3"
"AFNET INC 1 - A & AS","0.000","","","2.323","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","2.323","2aaa9303717d43429a178d297a6fb6e08423593b-1-df7e5fc777a807c81fe011cc3c48b9512d5a46c5","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-0-d99afbf2255e4e30af859a1b7276e06893a9d3a3"
"AFNET INC 1 - Other","0.000","","","7.581","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","7.581","2aaa9303717d43429a178d297a6fb6e08423593b-2-71a4307eeac9bf7285ee2be0359e44628f5354cb","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-0-d99afbf2255e4e30af859a1b7276e06893a9d3a3"
"AFNET INC 2 - Prime Contract","0.000","0.811","45","36.484","27.202","0.486","56","44.595","0.409","109","0.000","44.595","0.409","109","15.896","0.568","28","13.651","0.268","51","7.995","0.286","28","9.133","0.761","12","0.000","0","0.000","0.471","329","154.956","2aaa9303717d43429a178d297a6fb6e08423593b-0-863fe3ad2867e50bc9f71fd977a962313140edcf","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-1-ff9fb7ebc556da2d69e0fd001db15578d916c751"
"AFNET INC 2 - A & AS","0.000","","","2.515","2.496","","","2.089","","","0.000","2.089","","","1.954","","","1.925","","","1.024","","","1.043","","","","","0.000","","","13.046","2aaa9303717d43429a178d297a6fb6e08423593b-1-6a9ab6c2cca394a6cc244ce38575b8eb76bdc28d","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-1-ff9fb7ebc556da2d69e0fd001db15578d916c751"
"AFNET INC 2 - Other","0.000","","","11.208","4.726","","","3.763","","","0.000","3.763","","","2.823","","","2.706","","","1.48","","","1.506","","","","","0.000","","","28.212","2aaa9303717d43429a178d297a6fb6e08423593b-2-f5df03c19747b4b10c920aa50de224b284a92fb2","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-1-ff9fb7ebc556da2d69e0fd001db15578d916c751"
"AFNET INC 3 - Prime Contract","0.000","","","4.076","12.97","0.102","127","22.341","0.302","74","0.000","22.341","0.302","74","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.196","201","39.387","2aaa9303717d43429a178d297a6fb6e08423593b-0-289f0eb9a14f6106ce6cde6aa9c45773552e05ad","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-2-e8dfefe33e621f66d3dbc3dc1fd8bade24d8c666"
"AFNET Inc 3 - A & AS","0.000","","","0.551","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","0.551","2aaa9303717d43429a178d297a6fb6e08423593b-1-841646510f79c444e4f5dca8da9565f18570311b","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-2-e8dfefe33e621f66d3dbc3dc1fd8bade24d8c666"
"AFNET INC 3 - Other","0.000","","","0.136","1.667","","","0.62","","","0.000","0.62","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","2.423","2aaa9303717d43429a178d297a6fb6e08423593b-2-821935f4aa7186ed20b4d25fa5e0331e7cefef7c","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-2-e8dfefe33e621f66d3dbc3dc1fd8bade24d8c666"
"Host Based Security System - Prime Contract","0.000","","","0.000","0.000","","","6.375","0.06","106","0.000","6.375","0.06","106","6.603","0.062","106","12.304","0.116","106","14.477","0.137","106","11.25","0.106","106","0.000","0","0.000","0.096","530","51.009","2aaa9303717d43429a178d297a6fb6e08423593b-0-17a2b2c72823415efe820d820617a7a3bbe124f2","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-3-cbdbb91ca0e13f1f76851a9f821170ec3d0a4bc3"
