"Name_@footnote","Name_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_Continuing_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","IdCode_val","SubCostElementList_SubCostElement","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Q2895 BLU-109 Laser Capability Non-recurring effort is required to modify, produce and certify the BLU-109 Precision Laser Guidance Set (PLGS) configuration.","2.2.1) Q2895 BLU-109 Laser Capability Non Recurring","20.98","23.701","23.701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-b27f3c0d1de4c127524a342b2372c67c79a44661","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","01a66471d57444735bcfe046df410bd9488b9810-1-08c1572fb3457a6311724d2c4ded5ae5de81201a"
"","3.2.1) Q2896 FUZE Non Recurring","7.066","","","24.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-ba40373176a06595a99752b97cc95f249212311b","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","01a66471d57444735bcfe046df410bd9488b9810-2-9b3912c173eaf3116aa42761662fe2eeb6abf164"
"Q2861 Production Acceptance Test & Evaluation FUZE HTVSF Production Acceptance Test and Evaluation (PAT&E) is required for deliveries that will occur in FY2016.","3.2.2) Q2861 Production Acceptance Test & Evaluation FUZE","3.363","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-1-1ec563e31b32535a9cee8d3e52d2b1ef2e11044b","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","01a66471d57444735bcfe046df410bd9488b9810-2-9b3912c173eaf3116aa42761662fe2eeb6abf164"
"","5.1.1) Prior Years Cumulative Funding","","","","","1679.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-30ffb2ef3214d08ead95582e22d6f0579650093b","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","01a66471d57444735bcfe046df410bd9488b9810-4-348558ba48b43f94b8ec3fc6f7c0bcade20e1dd4"
"","2.1.1) FK830 SM-2 PRODUCTION ENGINEERING/SUPPORT","","0.927","0.927","","11.404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-71f13ed6ebbcc78e5b4f04981030fd43677037ef","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-780c37041fb270268989589ce79eabded86b02cc"
"","2.1.2) FK850 SM-2 COMPONENT IMPROVEMENT","","","","","1.737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-484893533269e0e4ce6be7d6410b3f6202ab9998","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-780c37041fb270268989589ce79eabded86b02cc"
"","2.1.3) FK950 SM-2 TOOLS AND TEST EQUIPMENT","","0.965","0.965","","8.309","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-2-309737e9eb0d8df7a28f05ea87567450efee4160","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-780c37041fb270268989589ce79eabded86b02cc"
"","2.1.4) FK957 SM-2 CONTAINERS","","","","","0.297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-3-cf88af9800de4bb7e59d139da14d7a64e918953f","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-780c37041fb270268989589ce79eabded86b02cc"
"","2.1.5) FK970 SM-2 INSTALLATION/CHECKOUT EQUIP/TRAINING MATERIAL","","","","","2.377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-4-e204d5fca78dc2497ca62981f6dc6a8dc7247bad","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-780c37041fb270268989589ce79eabded86b02cc"
"","2.1.6) FK980 SM-2 ILS/FLEET DOCUMENTATION","","","","","3.018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-5-d029c5cf1427c1ee252b10ea0d9ab1cd16f04037","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-780c37041fb270268989589ce79eabded86b02cc"
