"Name_val","Name_@footnote","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","Rate185_@footnote","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"General Dynamics BLU-111","","Garland, TX/MCAAP","21359","100200","38544","","0","10","24","34","0","10","36","46","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-316baa72d1ebafd84befa95e99f25ec7c221d76d","01a66471d57444735bcfe046df410bd9488b9810-0-d2194c8e3042f7d9fc0cf32980cfd0df1ab4cb10","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-0-c7b9738264402b13bf137f86db0b9a2e591224c6"
"General Dynamics BLU-110","","Garland TX/MCAAP","12222","55296","21300","","0","9","24","33","0","11","36","47","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-2443ec873f35ba99b23ab5c4b8d257bd9fca3254","01a66471d57444735bcfe046df410bd9488b9810-0-730fec1686321b710ff44aa2a82bea4f8ba4e48c","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-1-3d8c4bac9f4b18a772ab0ad52ae0aa3ad81bf706"
"National Forge BLU-109","","Irving, PA/MCAPP","1344","6480","2232","","0","12","24","36","0","8","36","44","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-03a3d241288ea93ad45ddcaf1819a28e96e4aace","01a66471d57444735bcfe046df410bd9488b9810-0-c063403bfde8d15c955cbc879a21e7d13cfd478c","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-2-e1fc14bbe258f047e413c3b1017c2e94cde7ed52"
"TBD","","TBD","0","0","0","","0","12","24","36","0","8","36","44","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-1-03ddcc8e34af5da082192b34a80b844eb1eb6eff","01a66471d57444735bcfe046df410bd9488b9810-1-4dcbfb2d16a1082e340ca240aa98100b73f15dce","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-2-e1fc14bbe258f047e413c3b1017c2e94cde7ed52"
"The Boeing Company","","St. Charles, MO","1200","5760","4800","","0","14","12","26","0","6","12","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-f220bfadb23fb85462d9a36ad48eaf2ef4cbfa03","01a66471d57444735bcfe046df410bd9488b9810-0-deb871fe93735457fb9e282af6daa470a806eab1","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-0-cc40e3f1b6eefb2a8fb91b0052a6139203fb02f1"
"Raytheon Missile Systems LGB (Raytheon)","","Tucson, AZ","1800","14400","4800","","0","7","20","27","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-6fb0f9143bba9da32f7c86ef57e512c8b6df7cd7","01a66471d57444735bcfe046df410bd9488b9810-0-c96a666afed9dc5b1763626e434107e28c8abaad","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-1-dca15eaedcdbe1f4518fa0c71af8bf67fc87f01e"
"Lockheed Martin Corporation LGB","","Archbald, PA","1728","36000","4500","","0","7","20","27","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-6082d41f337a35ddfe7ab39e2a453b6b1e412236","01a66471d57444735bcfe046df410bd9488b9810-0-d351cb07bfe6b9784ad695ef7963ea6f4e35eafd","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-2-d736c5e0494d6f3193012fc4967b23895bde6169"
"Raytheon Missile Systems LGB (Raytheon)AFG","","Tucson, AZ","1800","14400","4800","","0","7","20","27","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-ff2eee313d8289c56126c42ba267d0604f8a832a","01a66471d57444735bcfe046df410bd9488b9810-0-f84962c04076b6537a3847abfdef53073ead20af","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-3-6fafd130f31af3b2378bf03eb388fc00aef14b2d"
"The Boeing Company Guided Bombs (Tailkits)","","St. Charles, MO","4000","36000","10000","","0","12","12","24","0","7","12","19","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-1a735939cf802df9f02d50aaf6d027865f9cac93","01a66471d57444735bcfe046df410bd9488b9810-0-acafeb651de096e42a4517b139f7260497aefbfd","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-4-18c6adbf5e43b003166f436ad54d383c2620eaa9"
"ATK Tactical Systems (143)","","JMC Rock Island, IL","6000","20000","10000","","0","0","0","0","0","12","48","60","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-b6f2581949b17338ba849e39c814178998d28f83","01a66471d57444735bcfe046df410bd9488b9810-0-50bee553c4843ba2e10020801cd338c04ac581bc","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-0-27875cfb1122c26f7235e515a44287e7866ef5f4"
