"Name_@footnote","Name_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Reference footnote (1)","Automated Data Processor (ADP)","0.433","2","0.866","0.482","2","0.964","0.466","1","0.466","0.466","1","0.466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-30d3433ac448dffa2b817f0d04d525af50f1e93f","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-34b1f092260b2570562038b71e899e5da7ef454a"
"Reference footnote (1)","ADP Testbed","","","0.000","","","0.000","0.934","2","1.867","0.934","2","1.867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-54fc27dd9f8102c5015bf6cf0ce9abe136c89d06","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-34b1f092260b2570562038b71e899e5da7ef454a"
"","ADP","","","","0.576","7","4.033","0.628","1","0.628","0.628","1","0.628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-33305c512cae6daa9fb16edbdae1f1d3c72b9013","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-174a5d82b9aa7f890bf4fa2a5a41c6d8d1c4d4a8"
"","REMOTE EQUIPMENT SHELTER","3.997","1","3.997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-1693298a2674831f69a13cb22242128698e55425","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-174a5d82b9aa7f890bf4fa2a5a41c6d8d1c4d4a8"
"Reference footnote (1)","Automated Data Processor (ADP)","","","","","","","","","","","","","2","2","1","1","1.644","1.059","0.3","0.3","0.822","0.53","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-0-15193a4c08bd62fb25574f3c5397c15e36561c0f","b717569e7c6fbc6d94ea886ad37cb094a63d4d94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-0-447406907c55d39fe42876b2d19cce7a15e454b6"
"","ADP + Spares","","","","","","","","","","","","","2","","2","2","2.166","","3.307","3.307","1.083","","1.654","1.654","","","","","","","","","","","","","","","","","","","","","","","","","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-0-3b2c951f0c0a1c1a4229395e1bfb593ac2a57c31","b717569e7c6fbc6d94ea886ad37cb094a63d4d94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-1-f26d7f90c6fc2199975a965604b39dbde8c3d4ac"
"","ADP Testbed","","","","","","","","","","","","","","2","","","","1.5","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-1-5c9466ced1b4c3c94c9f7d213991c8faeb7c88eb","b717569e7c6fbc6d94ea886ad37cb094a63d4d94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-1-f26d7f90c6fc2199975a965604b39dbde8c3d4ac"
"","RFTS SYSTEM","2.6","1","2.6","2.6","1","2.6","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-ffd76f8c7679866d3966d50137052fa201d2eaba","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
"","DATA","","","0.65","","","0.65","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-1-9a1beecf29a6cee36a8084f4f2bd0a7d2d174a61","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
"","GOVERNMENT COSTS","","","1","","","3.15","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-2-2e19c233d56f48560220116962bd8bac7ded36ca","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
