"Name_val","Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GP Bombs","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-0-6b51ecc9465001b888be2a7090390539bdb94ee3","53.964","2.002","0","7.833","7.833","","","","","","","","","53.964","2.002","0","7.833","7.833","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-177633084064af5065e71d7cab424b826838a7ea","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"Guided Bombs Cost","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-1-05a79a6d0e0683abf723a632f8497b9e0ab3a968","134.816","43.301","49.778","28.796","78.574","44.973","","","","","","","","134.816","43.301","73.479","28.796","102.275","65.953","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-1-01c472ea7da9b7269d1e88387ed5a739307e5531","20.98","23.701","23.701","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-1-08c1572fb3457a6311724d2c4ded5ae5de81201a","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"Fuzes Cost","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-2-5f52acba40056bb689b15636c93322a7461b2e40","57.46","8.71","11.205","2.217","13.422","17.606","","","","","","","","57.46","33.04","11.205","2.217","13.422","28.035","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-2-8a1f719e0ba8f1cc4188d0fd56d2c7ec1f3b8517","10.429","","","24.33","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-2-9b3912c173eaf3116aa42761662fe2eeb6abf164","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"Acceptance Testing - Guided Bombs","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-3-ffb5c70cf7b7f9dc5f800b86e62bd7b6cb06e95a","22.178","1.356","","","","1.383","","","","","","","","22.178","1.356","","","","1.383","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-3-9ab1e2b41fe5e9bb3cce3c24033a10aaedd09bbf","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"Prior Years","","","","","","","","","","","","","","","1679.69","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-4-efda79ef01fda7eaabdddf94e37cc64efb5b7352","","","","","1679.69","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-4-348558ba48b43f94b8ec3fc6f7c0bcade20e1dd4","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"Hardware NGEN - R","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-04d256f0f463c3a786fa0fd104827587c01a896c-0-066c25df92c10f12538926e7e8f372061b5f502f","","106.165","98.216","","98.216","99.014","","","","","","","","","106.165","98.216","","98.216","99.014","","","","","","","","","","","","","","","","","","","","","","04d256f0f463c3a786fa0fd104827587c01a896c-0-c5f66fda82d052b6e583e510d15f617cf9a5c6fa","04d256f0f463c3a786fa0fd104827587c01a896c","root.record.ItemExhibitList.P5Item","04d256f0f463c3a786fa0fd104827587c01a896c-0-b290774f2556fe92265aaf3247bbb77defc9393a"
"HARDWARE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-3b151dc4fbf82df19b8c32121cc2392d307b422c","712.92","","6.272","","6.272","","","","","","","","","712.92","","6.272","","6.272","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-d8c10908a74edd15dc803651d74a6933b623a9d5","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-53fa7b4954e7b23b71bddec2a7360eacc9d0f7e8"
"PRODUCTION","","","","","","","","","","","","","","","34.892","","1.892","","1.892","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-edea3381166463e1cf2cbf5a22cbfe0f49d03a8c","","1.892","1.892","","34.892","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-1-780c37041fb270268989589ce79eabded86b02cc","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-53fa7b4954e7b23b71bddec2a7360eacc9d0f7e8"
"AA51, CTG, 12 GAUGE NON-LETHAL POINT CONTROL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-541f026e2f4a572737f88146921c154278cf1a0a","0.065","0.61","","","","","","","","","","","","0.065","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-29a1a150b35d24827e08499a2b7940279b93e512","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc","root.record.ItemExhibitList.P5Item","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-9c9ae77f263cdc93bcbb58544b2af32913b0ed78"
"BA06, CTG 40MM XM/M1006, NON-LETHAL (SPONGE GR)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-1-435beb9d54e1ae0e33f0b492dece6679dd80ff6c","0.859","0.238","","","","","","","","","","","","0.859","0.238","","","","","","","","","","","","","","","","","","","","","","","","","","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-1-637af454ee7b7f00f5cc93f9a79b64afdf8bfe79","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc","root.record.ItemExhibitList.P5Item","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-9c9ae77f263cdc93bcbb58544b2af32913b0ed78"
"GG04, GRENADE, HAND, RUBBER BALL NON-LETHAL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-2-65adaedf216966bb366d37e2f7b4bbbf6e27fc9e","3.721","0.25","","","","","","","","","","","","3.721","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-2-d20a9f1869805990d4927df14d9507372ab55a57","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc","root.record.ItemExhibitList.P5Item","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-9c9ae77f263cdc93bcbb58544b2af32913b0ed78"
"MPMN, MISSION PAYLOAD MODULE NON-LETHAL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-3-9011640c5a6797ae653099a50c4736945e155e15","","","","","","3.868","","","","","","","","","","","","","3.868","","","","","","","","","","","","","","","","","","","","","","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-3-99b4385abeeb73c3d69a8e31644d68271efd7a39","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc","root.record.ItemExhibitList.P5Item","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-9c9ae77f263cdc93bcbb58544b2af32913b0ed78"
"PRIOR YEAR CUMULATIVE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-4-586743aabdf5adfadd7cbe270504fd2ddf11a632","6.245","","","","","","","","","","","","","6.245","","","","","","","","","","","","","","","","","","","","","","","","","","","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-4-df2a39491112d2383d938118b0780a5d70d4083b","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc","root.record.ItemExhibitList.P5Item","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-9c9ae77f263cdc93bcbb58544b2af32913b0ed78"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-465c0469b60f5c1fc6c4dc8db94e086bf6c63bb3","5.897","0.098","0.039","","0.039","0.179","","","","","","","","5.897","0.098","0.039","","0.039","0.179","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-0c0009a5623b53b705f01f923588c8fec565dee9","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-ea0a4f04bbfcbb7d63658d310008e0ebed23f90f"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-0018af0132546cdcbc877e821c944e5a55e2c46e","27.695","0.624","","","","","","","","","","","","27.695","0.624","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-bc38a990a7fa8e75e32716c5c06feebf64e2f9dd","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-9dc4de8a83e45c7df28ee4c24a4feb68058a760d"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-e9aa879892eb7c94d4ec35d80dd28d87faa7f58f","8.903","","","","","0.285","","","","","","","","8.903","","","","","0.285","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-2b287dc22181b89b15a0f4febca3b243b2907299","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-2-1822febb695e26ed4c34744d62bdb7a4bcb15b09"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-4e32a88402673a20d168b01a6d33987597945b61","","","0.007","","0.007","","","","","","","","","","","0.007","","0.007","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-e146a27b3d97509a0fab172c89f662560ef8f07c","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-3-d7d747bbd31ad13a5dcbf81d0c045102b7527109"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-0366ae8b1227c4e4ffc34a25badf28466ddd2102","","","0.661","","0.661","","","","","","","","","","","0.661","","0.661","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-20c78cac3a724e723c417c123637bd047acae345","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-4-a424e4d22ecb54a727fab43d0a0c436c117192ba"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-0fa40c799f6bd74408d760d1a604514fd353170f","","","0.412","","0.412","","","","","","","","","","","0.412","","0.412","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-75943e03fa572ac5cf7652ea79b880bb379bc669","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-5-00e84e992ac50b738154389a35181622270acf79"
